knockdown_PmSTAT-UP	WSSV_infection-UP
TRINITY_DN82883_c0_g3	TRINITY_DN92506_c6_g1
TRINITY_DN93103_c3_g1	TRINITY_DN90218_c9_g1
TRINITY_DN77976_c6_g1	TRINITY_DN72297_c9_g1
TRINITY_DN77616_c8_g1	TRINITY_DN92378_c1_g2
TRINITY_DN82883_c0_g1	TRINITY_DN89641_c5_g1
TRINITY_DN80047_c2_g1	TRINITY_DN76831_c11_g2
TRINITY_DN86259_c5_g3	TRINITY_DN92810_c0_g2
TRINITY_DN81856_c6_g1	TRINITY_DN91975_c1_g1
TRINITY_DN77616_c8_g2	TRINITY_DN81092_c8_g1
TRINITY_DN88506_c5_g1	TRINITY_DN76218_c9_g2
TRINITY_DN89789_c6_g2	TRINITY_DN92721_c14_g5
TRINITY_DN85452_c1_g1	TRINITY_DN89641_c0_g1
TRINITY_DN89789_c6_g1	TRINITY_DN93288_c11_g1
TRINITY_DN85834_c4_g1	TRINITY_DN93288_c12_g1
TRINITY_DN82695_c4_g1	TRINITY_DN87781_c12_g1
TRINITY_DN81856_c6_g2	TRINITY_DN89641_c2_g1
TRINITY_DN85834_c3_g1	TRINITY_DN93288_c13_g1
TRINITY_DN90300_c6_g4	TRINITY_DN83954_c7_g1
TRINITY_DN81856_c5_g1	TRINITY_DN91050_c6_g3
TRINITY_DN90844_c5_g1	TRINITY_DN92853_c0_g2
TRINITY_DN81261_c7_g2	TRINITY_DN82818_c2_g1
TRINITY_DN90492_c0_g1	TRINITY_DN84095_c9_g1
TRINITY_DN81856_c6_g3	TRINITY_DN86840_c1_g1
TRINITY_DN81856_c5_g3	TRINITY_DN91050_c5_g1
TRINITY_DN89600_c0_g1	TRINITY_DN90515_c1_g1
TRINITY_DN80230_c7_g1	TRINITY_DN90125_c11_g2
TRINITY_DN88474_c12_g1	TRINITY_DN93288_c11_g2
	TRINITY_DN72302_c3_g1
	TRINITY_DN83136_c13_g1
	TRINITY_DN93025_c5_g3
	TRINITY_DN72369_c2_g1
	TRINITY_DN75179_c3_g5
	TRINITY_DN79912_c9_g1
	TRINITY_DN71712_c13_g1
	TRINITY_DN93174_c0_g1
	TRINITY_DN93399_c3_g1
	TRINITY_DN86840_c3_g1
	TRINITY_DN77025_c11_g4
	TRINITY_DN80356_c8_g1
	TRINITY_DN76180_c10_g1
	TRINITY_DN75179_c4_g1
	TRINITY_DN91982_c2_g1
	TRINITY_DN86459_c10_g1
	TRINITY_DN91050_c6_g4
	TRINITY_DN85878_c16_g2
	TRINITY_DN77025_c11_g2
	TRINITY_DN69702_c0_g1
	TRINITY_DN72479_c9_g3
	TRINITY_DN81098_c13_g1
	TRINITY_DN93344_c4_g10
	TRINITY_DN86171_c2_g5
	TRINITY_DN84453_c15_g1
	TRINITY_DN91273_c9_g2
	TRINITY_DN91050_c5_g2
	TRINITY_DN72302_c3_g2
	TRINITY_DN76545_c9_g1
	TRINITY_DN86840_c7_g1
	TRINITY_DN91273_c9_g6
	TRINITY_DN81092_c8_g2
	TRINITY_DN90125_c11_g1
	TRINITY_DN85861_c9_g1
	TRINITY_DN78394_c14_g1
	TRINITY_DN81387_c14_g1
	TRINITY_DN93024_c5_g1
	TRINITY_DN85393_c11_g1
	TRINITY_DN89122_c12_g1
	TRINITY_DN11295_c0_g1
	TRINITY_DN75179_c8_g1
	TRINITY_DN91852_c8_g2
	TRINITY_DN89641_c6_g1
	TRINITY_DN92499_c2_g6
	TRINITY_DN77350_c12_g1
	TRINITY_DN91505_c3_g1
	TRINITY_DN78496_c13_g1
	TRINITY_DN89752_c3_g2
	TRINITY_DN93012_c8_g1
	TRINITY_DN73434_c10_g7
	TRINITY_DN86963_c9_g4
	TRINITY_DN91154_c2_g1
	TRINITY_DN91775_c10_g1
	TRINITY_DN88570_c5_g2
	TRINITY_DN93132_c17_g2
	TRINITY_DN74861_c6_g6
	TRINITY_DN92499_c2_g4
	TRINITY_DN93054_c12_g1
	TRINITY_DN84918_c10_g1
	TRINITY_DN90595_c13_g1
	TRINITY_DN92410_c4_g2
	TRINITY_DN74993_c15_g3
	TRINITY_DN91607_c10_g1
	TRINITY_DN86452_c19_g4
	TRINITY_DN80188_c10_g2
