#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-      -            156 111730at33208        -            629   2.8e-76  254.0   0.4   1   1   5.3e-77   3.1e-76  253.8   0.4   161   311     2   156     1   156 0.96 -
111730at33208_176946_0:001a89|TRINITY_DN78597_c13_g5_i1:7-555|-      -            183 111730at33208        -            629     8e-69  229.3   0.0   1   1   1.6e-69   9.3e-69  229.1   0.0     1   161     1   183     1   183 0.90 -
111730at33208_10224_0:003992|TRINITY_DN78597_c13_g4_i1:5-715|+       -            237 111730at33208        -            629   8.1e-46  153.3   4.5   1   1   4.6e-45   2.7e-44  148.3   4.5   479   626    27   207    19   210 0.87 -
111730at33208_80966_0:0030f6|TRINITY_DN86682_c13_g1_i1:766-1635|-    -            290 111730at33208        -            629   6.1e-24   81.1   4.0   1   3   1.6e-05   9.2e-05   17.7   0.0   165   225     1    78     1    78 0.72 -
111730at33208_80966_0:0030f6|TRINITY_DN86682_c13_g1_i1:766-1635|-    -            290 111730at33208        -            629   6.1e-24   81.1   4.0   2   3   8.5e-18   5.1e-17   58.2   2.2    46   216    54   235    35   238 0.86 -
111730at33208_80966_0:0030f6|TRINITY_DN86682_c13_g1_i1:766-1635|-    -            290 111730at33208        -            629   6.1e-24   81.1   4.0   3   3    0.0014    0.0085   11.2   0.0   160   219   217   289   211   290 0.71 -
111730at33208_80966_0:0030f6|TRINITY_DN86682_c13_g1_i5:766-1635|-    -            290 111730at33208        -            629   6.1e-24   81.1   4.0   1   3   1.6e-05   9.2e-05   17.7   0.0   165   225     1    78     1    78 0.72 -
111730at33208_80966_0:0030f6|TRINITY_DN86682_c13_g1_i5:766-1635|-    -            290 111730at33208        -            629   6.1e-24   81.1   4.0   2   3   8.5e-18   5.1e-17   58.2   2.2    46   216    54   235    35   238 0.86 -
111730at33208_80966_0:0030f6|TRINITY_DN86682_c13_g1_i5:766-1635|-    -            290 111730at33208        -            629   6.1e-24   81.1   4.0   3   3    0.0014    0.0085   11.2   0.0   160   219   217   289   211   290 0.71 -
448514at33208_6087_0:00120f|TRINITY_DN93367_c10_g1_i10:266-958|-     -            231 111730at33208        -            629   1.9e-21   72.9   3.4   1   2   1.6e-15   9.6e-15   50.7   1.7    91   196     3   115     1   123 0.87 -
448514at33208_6087_0:00120f|TRINITY_DN93367_c10_g1_i10:266-958|-     -            231 111730at33208        -            629   1.9e-21   72.9   3.4   2   2   4.6e-07   2.7e-06   22.8   0.0   161   233   122   200   114   226 0.77 -
448514at33208_6087_0:00120f|TRINITY_DN93367_c10_g1_i11:266-958|-     -            231 111730at33208        -            629   1.9e-21   72.9   3.4   1   2   1.6e-15   9.6e-15   50.7   1.7    91   196     3   115     1   123 0.87 -
448514at33208_6087_0:00120f|TRINITY_DN93367_c10_g1_i11:266-958|-     -            231 111730at33208        -            629   1.9e-21   72.9   3.4   2   2   4.6e-07   2.7e-06   22.8   0.0   161   233   122   200   114   226 0.77 -
448514at33208_6087_0:00120f|TRINITY_DN93367_c10_g1_i13:266-958|-     -            231 111730at33208        -            629   1.9e-21   72.9   3.4   1   2   1.6e-15   9.6e-15   50.7   1.7    91   196     3   115     1   123 0.87 -
