#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
465401at33208_91411_0:001757|TRINITY_DN85362_c8_g2_i4:128-1450|+    -            198 465401at33208        -            212   1.4e-22   77.2   0.0   1   1   1.9e-24   1.7e-22   76.9   0.0     4   153    35   188    32   197 0.83 -
465401at33208_7739_0:002b9d|TRINITY_DN85362_c8_g2_i1:755-1459|+     -            235 465401at33208        -            212     2e-22   76.7   0.0   1   1   2.8e-24   2.5e-22   76.3   0.0    12   154    41   192    34   222 0.84 -
465401at33208_7739_0:002b9d|TRINITY_DN85362_c8_g2_i2:714-1418|+     -            235 465401at33208        -            212     2e-22   76.7   0.0   1   1   2.8e-24   2.5e-22   76.3   0.0    12   154    41   192    34   222 0.84 -
465401at33208_7739_0:002b9d|TRINITY_DN85362_c8_g2_i3:807-1511|+     -            235 465401at33208        -            212     2e-22   76.7   0.0   1   1   2.8e-24   2.5e-22   76.3   0.0    12   154    41   192    34   222 0.84 -
465401at33208_51655_0:0020b5|TRINITY_DN88129_c11_g1_i4:1048-1915|-  -            252 465401at33208        -            212   2.2e-15   53.7   0.0   1   1   3.1e-17   2.8e-15   53.3   0.0    29   165    51   199    25   228 0.79 -
465401at33208_7739_0:002b9d|TRINITY_DN85362_c8_g2_i5:120-581|+      -            154 465401at33208        -            212     3e-15   53.2   0.0   1   1   3.4e-17     3e-15   53.2   0.0    55   154     8   111     1   145 0.87 -
465401at33208_51655_0:0020b5|TRINITY_DN88129_c11_g1_i1:1048-1914|-  -            289 465401at33208        -            212   3.1e-15   53.2   0.0   1   1   4.6e-17   4.1e-15   52.7   0.0    29   165    88   236    62   265 0.79 -
465401at33208_51655_0:0020b5|TRINITY_DN88129_c11_g1_i2:1048-1914|-  -            289 465401at33208        -            212   3.1e-15   53.2   0.0   1   1   4.6e-17   4.1e-15   52.7   0.0    29   165    88   236    62   265 0.79 -
465401at33208_51655_0:0020b5|TRINITY_DN88129_c11_g1_i3:1048-1914|-  -            289 465401at33208        -            212   3.1e-15   53.2   0.0   1   1   4.6e-17   4.1e-15   52.7   0.0    29   165    88   236    62   265 0.79 -
465401at33208_51655_0:0020b5|TRINITY_DN88129_c11_g1_i5:1015-1881|-  -            289 465401at33208        -            212   3.1e-15   53.2   0.0   1   1   4.6e-17   4.1e-15   52.7   0.0    29   165    88   236    62   265 0.79 -
465401at33208_51655_0:0020b5|TRINITY_DN88129_c11_g1_i6:1048-1914|-  -            289 465401at33208        -            212   3.1e-15   53.2   0.0   1   1   4.6e-17   4.1e-15   52.7   0.0    29   165    88   236    62   265 0.79 -
