#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
315044at33208_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+      -             51 315044at33208        -            407   1.4e-20   70.3   0.1   1   1   1.4e-22   1.5e-20   70.2   0.1   236   282     1    51     1    51 0.88 -
315044at33208_1608454_0:009274|TRINITY_DN90170_c5_g2_i1:177-1285|+  -            107 315044at33208        -            407   1.1e-11   40.9   0.4   1   2   0.00071     0.073    8.6   0.0   336   363     2    38     1    54 0.76 -
315044at33208_1608454_0:009274|TRINITY_DN90170_c5_g2_i1:177-1285|+  -            107 315044at33208        -            407   1.1e-11   40.9   0.4   2   2   3.7e-11   3.8e-09   32.6   0.1   328   406    28   106    26   107 0.79 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i2:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   1   3      0.45        47   -0.6   0.0   296   323    15    42    11    62 0.74 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i2:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   2   3   8.2e-05    0.0085   11.7   2.4   275   393    62   183    31   194 0.60 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i2:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   3   3   4.6e-06   0.00048   15.8   2.2   209   331   162   291   132   301 0.79 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i5:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   1   3      0.45        47   -0.6   0.0   296   323    15    42    11    62 0.74 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i5:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   2   3   8.2e-05    0.0085   11.7   2.4   275   393    62   183    31   194 0.60 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i5:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   3   3   4.6e-06   0.00048   15.8   2.2   209   331   162   291   132   301 0.79 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i6:133-1059|+     -            309 315044at33208        -            407   1.3e-06   24.3   9.1   1   3      0.45        47   -0.6   0.0   296   323    15    42    11    62 0.74 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i6:133-1059|+     -            309 315044at33208        -            407   1.3e-06   24.3   9.1   2   3   8.2e-05    0.0085   11.7   2.4   275   393    62   183    31   194 0.60 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i6:133-1059|+     -            309 315044at33208        -            407   1.3e-06   24.3   9.1   3   3   4.6e-06   0.00048   15.8   2.2   209   331   162   291   132   301 0.79 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i8:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   1   3      0.45        47   -0.6   0.0   296   323    15    42    11    62 0.74 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i8:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   2   3   8.2e-05    0.0085   11.7   2.4   275   393    62   183    31   194 0.60 -
137383at33208_7539_0:002e79|TRINITY_DN82081_c6_g1_i8:1023-1949|+    -            309 315044at33208        -            407   1.3e-06   24.3   9.1   3   3   4.6e-06   0.00048   15.8   2.2   209   331   162   291   132   301 0.79 -
315044at33208_217634_0:002f49|TRINITY_DN93210_c8_g2_i7:965-1735|-   -            257 315044at33208        -            407   1.1e-05   21.2   1.3   1   2   0.00035     0.037    9.6   0.1   178   246     1    69     1    80 0.91 -
315044at33208_217634_0:002f49|TRINITY_DN93210_c8_g2_i7:965-1735|-   -            257 315044at33208        -            407   1.1e-05   21.2   1.3   2   2   0.00019      0.02   10.5   0.2   242   288   121   168    92   179 0.86 -
315044at33208_70779_0:002bc6|TRINITY_DN78267_c12_g2_i1:20-571|+     -            184 315044at33208        -            407   1.4e-05   20.8   0.7   1   2      0.11        12    1.3   0.0   204   227    20    43     7    94 0.71 -
315044at33208_70779_0:002bc6|TRINITY_DN78267_c12_g2_i1:20-571|+     -            184 315044at33208        -            407   1.4e-05   20.8   0.7   2   2   1.1e-06   0.00012   17.8   0.1   180   254   101   178    93   182 0.83 -
315044at33208_1868482_0:001bda|TRINITY_DN76637_c9_g1_i2:1723-2514|+ -            264 315044at33208        -            407   2.4e-05   20.1   1.1   1   2   7.8e-05     0.008   11.8   0.3   251   332    73   157     6   157 0.73 -
315044at33208_1868482_0:001bda|TRINITY_DN76637_c9_g1_i2:1723-2514|+ -            264 315044at33208        -            407   2.4e-05   20.1   1.1   2   2   1.4e-06   0.00014   17.5   0.1   224   321   113   211    96   214 0.83 -
315044at33208_1868482_0:001bda|TRINITY_DN76637_c9_g1_i3:1723-2514|+ -            264 315044at33208        -            407   2.4e-05   20.1   1.1   1   2   7.8e-05     0.008   11.8   0.3   251   332    73   157     6   157 0.73 -
315044at33208_1868482_0:001bda|TRINITY_DN76637_c9_g1_i3:1723-2514|+ -            264 315044at33208        -            407   2.4e-05   20.1   1.1   2   2   1.4e-06   0.00014   17.5   0.1   224   321   113   211    96   214 0.83 -
315044at33208_279965_0:0012a5|TRINITY_DN82081_c6_g1_i3:2400-2921|+  -            174 315044at33208        -            407   3.9e-05   19.4   0.9   1   1     9e-07   9.3e-05   18.1   0.9   213   331     8   133     5   149 0.82 -
315044at33208_279965_0:0012a5|TRINITY_DN82081_c6_g1_i4:1510-2031|+  -            174 315044at33208        -            407   3.9e-05   19.4   0.9   1   1     9e-07   9.3e-05   18.1   0.9   213   331     8   133     5   149 0.82 -
315044at33208_279965_0:0012a5|TRINITY_DN82081_c6_g1_i7:2400-2921|+  -            174 315044at33208        -            407   3.9e-05   19.4   0.9   1   1     9e-07   9.3e-05   18.1   0.9   213   331     8   133     5   149 0.82 -
315044at33208_279965_0:0012a5|TRINITY_DN82081_c6_g1_i9:2400-2921|+  -            174 315044at33208        -            407   3.9e-05   19.4   0.9   1   1     9e-07   9.3e-05   18.1   0.9   213   331     8   133     5   149 0.82 -
137383at33208_187382_0:0016d9|TRINITY_DN76938_c8_g4_i1:0-614|-      -            205 315044at33208        -            407   0.00036   16.2   1.8   1   1   4.3e-06   0.00045   15.9   1.8   240   332    48   145    27   194 0.81 -
137383at33208_279965_0:0009a5|TRINITY_DN89176_c7_g1_i8:490-891|+    -            134 315044at33208        -            407    0.0028   13.3   0.2   1   2    0.0002     0.021   10.4   0.1   258   322    21    86     1    90 0.75 -
137383at33208_279965_0:0009a5|TRINITY_DN89176_c7_g1_i8:490-891|+    -            134 315044at33208        -            407    0.0028   13.3   0.2   2   2      0.11        12    1.4   0.0   350   389    92   131    88   134 0.85 -
315044at33208_1629725_0:000e35|TRINITY_DN89800_c11_g2_i1:856-1275|+ -            140 315044at33208        -            407    0.0033   13.0   0.2   1   1   0.00043     0.045    9.3   0.2   171   244    14   100     6   136 0.63 -
315044at33208_1629725_0:000e35|TRINITY_DN89800_c11_g2_i3:505-924|+  -            140 315044at33208        -            407    0.0033   13.0   0.2   1   1   0.00043     0.045    9.3   0.2   171   244    14   100     6   136 0.63 -
315044at33208_1629725_0:000e35|TRINITY_DN89800_c11_g2_i5:430-849|+  -            140 315044at33208        -            407    0.0033   13.0   0.2   1   1   0.00043     0.045    9.3   0.2   171   244    14   100     6   136 0.63 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/315044at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/rerun_results/315044at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/315044at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:13:21 2026
# [ok]
