#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
567809at33208_7994_0:0013c1|TRINITY_DN85820_c0_g1_i2:2-256|-      -             84 567809at33208        -            117   2.8e-43  143.8   1.1   1   1   6.7e-45   3.2e-43  143.6   1.1    36   115     6    84     3    84 0.98 -
567809at33208_61853_0:003755|TRINITY_DN85820_c0_g1_i3:2-205|-     -             68 567809at33208        -            117   4.2e-39  130.3   0.8   1   1   9.5e-41   4.6e-39  130.2   0.8    48   115     1    68     1    68 0.99 -
567809at33208_9940_0:0033ea|TRINITY_DN85820_c0_g1_i4:38-229|-     -             64 567809at33208        -            117   2.5e-38  127.8   0.8   1   1   5.8e-40   2.8e-38  127.7   0.8    54   117     1    64     1    64 0.99 -
567809at33208_114398_0:00131c|TRINITY_DN85820_c0_g1_i11:0-230|-   -             76 567809at33208        -            117   5.1e-38  126.8   0.2   1   1   1.2e-39   5.7e-38  126.7   0.2    36   106     7    76     3    76 0.97 -
567809at33208_59894_0:00053d|TRINITY_DN85820_c1_g1_i1:1-213|+     -             70 567809at33208        -            117   1.3e-33  112.6   0.2   1   1   3.1e-35   1.5e-33  112.5   0.2    47   117     1    70     1    70 0.98 -
567809at33208_9940_0:0033ea|TRINITY_DN85820_c0_g1_i7:38-223|-     -             61 567809at33208        -            117   3.7e-33  111.2   0.6   1   1   8.4e-35     4e-33  111.0   0.6    56   117     1    61     1    61 0.98 -
567809at33208_9940_0:0033ea|TRINITY_DN85820_c0_g1_i1:38-211|-     -             58 567809at33208        -            117   4.5e-33  110.9   0.4   1   1     1e-34   4.9e-33  110.8   0.4    60   117     1    58     1    58 0.99 -
567809at33208_104452_0:000330|TRINITY_DN85820_c0_g1_i6:56-211|-   -             52 567809at33208        -            117   5.8e-31  104.1   1.3   1   1   1.3e-32   6.3e-31  104.0   1.3    66   117     1    52     1    52 0.99 -
567809at33208_59894_0:00053d|TRINITY_DN80672_c0_g1_i9:2-226|+     -             75 567809at33208        -            117   9.8e-30  100.1   0.2   1   1   2.3e-31   1.1e-29   99.9   0.2    24    89     6    75     2    75 0.93 -
567809at33208_9940_0:0033ea|TRINITY_DN85820_c0_g1_i10:2-172|-     -             56 567809at33208        -            117   1.2e-28   96.6   0.1   1   1   2.7e-30   1.3e-28   96.5   0.1    59   115     1    56     1    56 0.97 -
567809at33208_9940_0:0033ea|TRINITY_DN85820_c0_g1_i8:40-219|-     -             60 567809at33208        -            117   1.9e-28   96.0   1.2   1   1   4.5e-30   2.2e-28   95.8   1.2    36    90     6    60     3    60 0.97 -
567809at33208_59894_0:00053d|TRINITY_DN80672_c0_g1_i10:1-222|+    -             74 567809at33208        -            117   3.1e-28   95.3   0.4   1   1   6.9e-30   3.3e-28   95.2   0.4    24    89     5    74     1    74 0.93 -
567809at33208_61853_0:003755|TRINITY_DN80672_c0_g1_i1:1-198|+     -             66 567809at33208        -            117   7.7e-28   94.0   0.5   1   1   1.8e-29   8.4e-28   93.9   0.5    24    84     2    66     1    66 0.94 -
567809at33208_8355_0:002b6f|TRINITY_DN80672_c1_g1_i1:1-297|+      -             98 567809at33208        -            117   2.7e-27   92.2   1.2   1   1   1.6e-28   7.5e-27   90.8   1.2     6    86     1    98     1    98 0.86 -
