#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
257339at33208_246812_0:000eec|TRINITY_DN83124_c3_g2_i1:902-1120|+ -             73 257339at33208        -            294   3.2e-07   26.7  10.8   1   1   1.2e-09   3.5e-07   26.6  10.8   260   294    33    70    19    70 0.80 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i1:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   1   2   1.7e-07   4.8e-05   19.5   9.0   270   294     2    26     1    26 0.97 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i1:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   2   2     2e-05    0.0055   12.8   2.0   260   293    85   122    32   123 0.79 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i2:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   1   2   1.7e-07   4.8e-05   19.5   9.0   270   294     2    26     1    26 0.97 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i2:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   2   2     2e-05    0.0055   12.8   2.0   260   293    85   122    32   123 0.79 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i3:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   1   2   1.7e-07   4.8e-05   19.5   9.0   270   294     2    26     1    26 0.97 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i3:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   2   2     2e-05    0.0055   12.8   2.0   260   293    85   122    32   123 0.79 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i4:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   1   2   1.7e-07   4.8e-05   19.5   9.0   270   294     2    26     1    26 0.97 -
257339at33208_158441_0:000a16|TRINITY_DN88989_c5_g1_i4:311-688|+  -            126 257339at33208        -            294   4.3e-07   26.3  18.7   2   2     2e-05    0.0055   12.8   2.0   260   293    85   122    32   123 0.79 -
257339at33208_28612_0:005714|TRINITY_DN81031_c5_g5_i3:386-958|+   -            191 257339at33208        -            294    0.0031   13.6   2.0   1   1   1.8e-05    0.0052   12.9   2.0   259   292    30    64    21    66 0.83 -
257339at33208_28612_0:005714|TRINITY_DN81031_c5_g5_i4:613-1185|+  -            191 257339at33208        -            294    0.0031   13.6   2.0   1   1   1.8e-05    0.0052   12.9   2.0   259   292    30    64    21    66 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/257339at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/rerun_results/257339at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/257339at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:13:19 2026
# [ok]
