# BUSCO version is: 5.7.1 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	TRINITY_DN92722_c0_g1_i1:333-7454	4172.1	1957	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	TRINITY_DN91022_c13_g5_i3:1-4344	1585.1	1154	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	TRINITY_DN92873_c0_g1_i5:1380-10070	1962.2	1474	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Complete	TRINITY_DN93566_c4_g2_i10:136-8571	2494.2	1802	https://v10-1.orthodb.org/?query=14776at33208	Translational activator Gcn1
16244at33208	Complete	TRINITY_DN90988_c4_g4_i3:0-5066	1703.3	1099	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	TRINITY_DN73774_c14_g3_i3:125-2980	734.2	540	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Complete	TRINITY_DN91996_c9_g2_i18:1166-5201	860.2	824	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
49474at33208	Complete	TRINITY_DN92399_c5_g2_i2:695-5863	1466.0	1182	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	TRINITY_DN84466_c6_g1_i4:2-2725	1034.6	699	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	TRINITY_DN85566_c11_g1_i1:25-3267	1411.1	918	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	TRINITY_DN84498_c11_g3_i3:530-3610	1577.9	853	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	TRINITY_DN86809_c12_g1_i4:168-3713	1972.1	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	TRINITY_DN90301_c4_g1_i5:303-3942	201.2	337	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Complete	TRINITY_DN89515_c8_g1_i2:88-3486	1478.0	975	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	TRINITY_DN71200_c0_g1_i1:303-4511	1518.6	861	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	TRINITY_DN84589_c11_g1_i2:225-2648	600.5	599	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Complete	TRINITY_DN88790_c6_g1_i2:160-4428	856.0	861	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	TRINITY_DN89213_c13_g1_i1:12-2654	793.1	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	TRINITY_DN85134_c16_g1_i3:60-1308	375.7	279	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Complete	TRINITY_DN92879_c5_g1_i3:469-2695	403.2	470	https://v10-1.orthodb.org/?query=92367at33208	WD40 repeat
99614at33208	Complete	TRINITY_DN90595_c12_g1_i2:103-3570	1230.8	939	https://v10-1.orthodb.org/?query=99614at33208	WASH complex, subunit strumpellin
99987at33208	Complete	TRINITY_DN77327_c10_g2_i3:177-3017	675.1	687	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	TRINITY_DN77773_c9_g1_i4:1342-4707	1367.8	859	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	TRINITY_DN91361_c6_g1_i9:260-2853	579.2	639	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	TRINITY_DN92590_c12_g1_i3:619-3996	1314.7	780	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	TRINITY_DN75455_c7_g4_i2:671-4279	734.2	691	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
