knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN90813_c1_g1_i3	TRINITY_DN89150_c12_g1_i3
TRINITY_DN80418_c10_g1_i3	TRINITY_DN84920_c15_g3_i2
TRINITY_DN89012_c11_g1_i2	TRINITY_DN90515_c1_g1_i5
TRINITY_DN80418_c10_g1_i2	TRINITY_DN89641_c0_g1_i1
TRINITY_DN88471_c2_g3_i1	TRINITY_DN90565_c0_g3_i1
TRINITY_DN86973_c3_g1_i4	TRINITY_DN85095_c2_g2_i1
TRINITY_DN89212_c6_g1_i1	TRINITY_DN92810_c0_g2_i6
TRINITY_DN72829_c0_g2_i1	TRINITY_DN93288_c12_g1_i1
TRINITY_DN88471_c2_g2_i8	TRINITY_DN92810_c0_g2_i3
TRINITY_DN81229_c3_g1_i1	TRINITY_DN73748_c12_g1_i2
TRINITY_DN88471_c2_g3_i2	TRINITY_DN90447_c9_g2_i3
TRINITY_DN80418_c10_g1_i7	TRINITY_DN89641_c0_g1_i7
TRINITY_DN71033_c0_g1_i1	TRINITY_DN88085_c7_g1_i1
TRINITY_DN92343_c5_g1_i5	TRINITY_DN91691_c7_g1_i4
TRINITY_DN80418_c10_g1_i11	TRINITY_DN89641_c0_g1_i3
TRINITY_DN89600_c0_g1_i7	TRINITY_DN76831_c11_g2_i1
TRINITY_DN81229_c4_g1_i6	TRINITY_DN89641_c0_g1_i8
TRINITY_DN88471_c2_g2_i4	TRINITY_DN89641_c0_g1_i6
TRINITY_DN88471_c2_g2_i6	TRINITY_DN90447_c9_g1_i1
TRINITY_DN82695_c4_g1_i7	TRINITY_DN72369_c2_g1_i7
TRINITY_DN86973_c5_g1_i1	TRINITY_DN92810_c0_g2_i8
TRINITY_DN81229_c1_g1_i1	TRINITY_DN72369_c2_g1_i3
TRINITY_DN88471_c2_g2_i7	TRINITY_DN89641_c0_g1_i2
TRINITY_DN89600_c0_g1_i5	TRINITY_DN90515_c1_g1_i1
TRINITY_DN91064_c7_g1_i3	TRINITY_DN72369_c2_g1_i10
TRINITY_DN92998_c1_g2_i1	TRINITY_DN91467_c15_g1_i1
TRINITY_DN83567_c15_g1_i1	TRINITY_DN93288_c11_g1_i1
TRINITY_DN80418_c10_g1_i5	TRINITY_DN89316_c6_g2_i3
TRINITY_DN88471_c2_g1_i2	TRINITY_DN76458_c10_g1_i1
TRINITY_DN89197_c2_g2_i2	TRINITY_DN92810_c0_g2_i4
TRINITY_DN72829_c0_g1_i3	TRINITY_DN85820_c0_g1_i9
TRINITY_DN72829_c0_g1_i7	TRINITY_DN72803_c1_g2_i2
TRINITY_DN82695_c4_g1_i4	TRINITY_DN89641_c2_g1_i1
TRINITY_DN91522_c4_g1_i2	TRINITY_DN91298_c10_g1_i1
TRINITY_DN89999_c0_g1_i6	TRINITY_DN89641_c5_g1_i1
TRINITY_DN92602_c11_g2_i3	TRINITY_DN90515_c1_g1_i10
TRINITY_DN90492_c0_g1_i3	TRINITY_DN93288_c11_g1_i4
TRINITY_DN90492_c0_g2_i1	TRINITY_DN72302_c3_g1_i1
TRINITY_DN81229_c4_g1_i7	TRINITY_DN93701_c4_g2_i2
TRINITY_DN86973_c3_g1_i5	TRINITY_DN92810_c0_g2_i1
TRINITY_DN88471_c1_g1_i1	TRINITY_DN92506_c6_g1_i3
TRINITY_DN82695_c4_g1_i5	TRINITY_DN72369_c2_g1_i2
TRINITY_DN91829_c2_g1_i7	TRINITY_DN93288_c13_g1_i1
TRINITY_DN81229_c2_g1_i1	TRINITY_DN83136_c13_g1_i1
TRINITY_DN90492_c0_g1_i4	TRINITY_DN93296_c9_g1_i8
TRINITY_DN93748_c7_g3_i3	TRINITY_DN85095_c2_g1_i1
TRINITY_DN90492_c0_g1_i1	TRINITY_DN77075_c3_g1_i4
TRINITY_DN81856_c6_g3_i1	TRINITY_DN79987_c2_g3_i9
TRINITY_DN92998_c1_g1_i1	TRINITY_DN80615_c0_g1_i4
TRINITY_DN90492_c0_g1_i2	TRINITY_DN72297_c9_g1_i1
TRINITY_DN92761_c2_g1_i5	TRINITY_DN89332_c16_g1_i1
TRINITY_DN89600_c0_g1_i4	TRINITY_DN72862_c11_g1_i2
TRINITY_DN93748_c7_g1_i10	TRINITY_DN81250_c1_g1_i5
TRINITY_DN86357_c3_g1_i1	TRINITY_DN65756_c0_g1_i1
TRINITY_DN81229_c4_g1_i2	TRINITY_DN88068_c13_g1_i2
TRINITY_DN84871_c5_g1_i3	TRINITY_DN76399_c10_g1_i2
TRINITY_DN82021_c8_g3_i5	TRINITY_DN72369_c2_g1_i9
TRINITY_DN74491_c8_g1_i9	TRINITY_DN91982_c2_g1_i7
TRINITY_DN89600_c0_g1_i2	TRINITY_DN73052_c14_g1_i5
TRINITY_DN89634_c5_g1_i6	TRINITY_DN92506_c6_g1_i7
TRINITY_DN93470_c1_g1_i2	TRINITY_DN71712_c13_g1_i1
TRINITY_DN90749_c10_g1_i1	TRINITY_DN81998_c5_g2_i3
TRINITY_DN81856_c5_g3_i1	TRINITY_DN91982_c2_g1_i2
TRINITY_DN93006_c5_g1_i1	TRINITY_DN91634_c1_g1_i2
TRINITY_DN90150_c8_g1_i18	TRINITY_DN89948_c9_g2_i2
TRINITY_DN89600_c0_g1_i12	TRINITY_DN81619_c1_g1_i17
TRINITY_DN93748_c7_g1_i8	TRINITY_DN72369_c2_g1_i8
TRINITY_DN74491_c8_g1_i8	TRINITY_DN93012_c8_g1_i1
TRINITY_DN93470_c1_g1_i10	TRINITY_DN86647_c0_g1_i5
