235501	35+192	0	16639	1	613851at33208_1049336_0:000393|TRINITY_DN89045_c7_g1_i3|+|77|1.748e-16|1|35|226|35[35]:226[226]:192[192]
36771	2734-546	0	16235	-1	552764at33208_2015173_0:0006ff|TRINITY_DN77566_c2_g2_i2|-|119|3.975e-29|1|2189|2734|2734[2734]:2189[2189]:546[546]
36774	1230-1059	0	14648	-1	432287at33208_34740_0:002259|TRINITY_DN93814_c9_g1_i8|-|91|1.067e-20|1|172|1230|1230[1230]:172[172]:1059[1059]
73548	380+477	0	24611	1	552764at33208_7719_0:0001f9|TRINITY_DN93082_c2_g2_i2|+|132|4.852e-33|1|380|856|380[380]:856[856]:477[477]
110250	57+228	0	11426	1	547099at33208_225164_0:005b50|TRINITY_DN93654_c3_g1_i7|+|52|5.866e-09|1|57|284|57[57]:284[284]:228[228]
422172	1381-723	0	18512	-1	510174at33208_294128_0:0003e3|TRINITY_DN77137_c14_g3_i2|-|187|1.347e-49|1|659|1381|1381[1381]:659[659]:723[723]
183644	334+618	0	6669	1	552764at33208_43151_0:001787|TRINITY_DN88378_c10_g2_i1|+|142|4.739e-36|1|334|951|334[334]:951[951]:618[618]
293690	144+813	0	13127	1	631662at33208_51031_0:0022ad|TRINITY_DN90539_c15_g4_i2|+|112|5.088e-27|1|144|956|144[144]:956[956]:813[813]
293696	1662-420	0	14966	-1	529092at33208_6526_0:002139|TRINITY_DN91001_c4_g3_i6|-|36|0.0003845|1|1243|1662|1662[1662]:1243[1243]:420[420]
293749	294+831	0	21492	1	623324at33208_7004_0:001451|TRINITY_DN84571_c12_g1_i2|+|96|3.335e-22|1|294|1124|294[294]:1124[1124]:831[831]
293915	2+657	0	22842	1	284059at33208_54383_0:002a99|TRINITY_DN78749_c8_g2_i7|+|260|1.426e-71|2|2|658|2[2]:268[268]:267[267]|392[395]:658[658]:267[264]
423886	577-174	0	20203	-1	612760at33208_67767_0:00249d|TRINITY_DN84271_c6_g5_i1|-|99|4.168e-23|1|404|577|577[577]:404[404]:174[174]
256893	222+717	0	8722	1	446031at33208_38626_0:001dd0|TRINITY_DN77371_c8_g3_i1|+|79|4.371e-17|1|222|938|222[222]:938[938]:717[717]
