#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
510522at33208_6573_0:00127a|TRINITY_DN85602_c13_g1_i1:161-886|+      -            242 510522at33208        -            200   2.1e-66  222.4  15.8   1   1     1e-67   1.2e-65  220.0  15.8     2   181     4   207     3   242 0.83 -
510522at33208_294128_0:00350b|TRINITY_DN85602_c13_g1_i6:90-722|+     -            211 510522at33208        -            200   1.7e-57  193.4  18.3   1   1   8.9e-59   1.1e-56  190.8  18.3    27   182     1   177     1   211 0.81 -
510522at33208_6832_0:002a70|TRINITY_DN85602_c13_g1_i4:93-575|+       -            161 510522at33208        -            200   4.1e-34  117.1  12.4   1   1   2.1e-35   2.5e-33  114.5  12.4    70   183     5   128     2   161 0.79 -
445031at33208_6087_0:002f55|TRINITY_DN70914_c0_g1_i1:85-1077|+       -            331 510522at33208        -            200   1.1e-17   63.4   0.9   1   1   1.5e-19   1.7e-17   62.8   0.9    13    75     4    70     2    73 0.91 -
391896at33208_8208_0:0044bd|TRINITY_DN85094_c13_g4_i1:144-476|+      -            111 510522at33208        -            200   8.1e-17   60.6   0.1   1   2   1.8e-18   2.1e-16   59.2   0.1     7    77     2    76     1    86 0.86 -
391896at33208_8208_0:0044bd|TRINITY_DN85094_c13_g4_i1:144-476|+      -            111 510522at33208        -            200   8.1e-17   60.6   0.1   2   2         4   4.7e+02   -0.7   0.0   111   123    88   100    75   103 0.80 -
391896at33208_8208_0:0044bd|TRINITY_DN85094_c13_g4_i3:144-476|+      -            111 510522at33208        -            200   8.1e-17   60.6   0.1   1   2   1.8e-18   2.1e-16   59.2   0.1     7    77     2    76     1    86 0.86 -
391896at33208_8208_0:0044bd|TRINITY_DN85094_c13_g4_i3:144-476|+      -            111 510522at33208        -            200   8.1e-17   60.6   0.1   2   2         4   4.7e+02   -0.7   0.0   111   123    88   100    75   103 0.80 -
391896at33208_294128_0:001145|TRINITY_DN86507_c13_g1_i2:553-1578|-   -            342 510522at33208        -            200   2.7e-15   55.6   0.1   1   1   3.7e-17   4.4e-15   54.9   0.1    13    75    11    78     6    87 0.88 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i2:2633-4362|-   -            447 510522at33208        -            200   1.1e-14   53.6   0.1   1   2   9.3e-17   1.1e-14   53.6   0.1    13    81    34   106    24   124 0.83 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i2:2633-4362|-   -            447 510522at33208        -            200   1.1e-14   53.6   0.1   2   2       5.7   6.8e+02   -1.2   0.2   150   165   362   377   314   408 0.58 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i5:2633-3976|-   -            448 510522at33208        -            200   1.1e-14   53.6   0.1   1   2   9.4e-17   1.1e-14   53.6   0.1    13    81    34   106    24   124 0.83 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i5:2633-3976|-   -            448 510522at33208        -            200   1.1e-14   53.6   0.1   2   2       5.7   6.8e+02   -1.2   0.2   150   165   362   377   314   408 0.58 -
391896at33208_259920_0:001c66|TRINITY_DN93210_c8_g2_i7:491-814|-     -            108 510522at33208        -            200     3e-14   52.2   1.0   1   1   3.5e-16   4.2e-14   51.7   1.0    14    79     2    77     1    80 0.82 -
391896at33208_259920_0:001c66|TRINITY_DN92669_c11_g2_i3:108-428|+    -            107 510522at33208        -            200   5.1e-14   51.4   0.1   1   1   4.8e-16   5.8e-14   51.3   0.1    12    76    14    83     4    98 0.86 -
391896at33208_34638_0:0003a6|TRINITY_DN93361_c3_g2_i1:687-1838|+     -            384 510522at33208        -            200   9.5e-14   50.6   0.5   1   1   1.1e-15   1.4e-13   50.0   0.5    11    79    18    91    11    95 0.89 -
391896at33208_34638_0:0003a6|TRINITY_DN93361_c3_g2_i2:687-1838|+     -            384 510522at33208        -            200   9.5e-14   50.6   0.5   1   1   1.1e-15   1.4e-13   50.0   0.5    11    79    18    91    11    95 0.89 -
391896at33208_34638_0:0003a6|TRINITY_DN93361_c3_g2_i4:688-1839|+     -            384 510522at33208        -            200   9.5e-14   50.6   0.5   1   1   1.1e-15   1.4e-13   50.0   0.5    11    79    18    91    11    95 0.89 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i2:696-2315|-  -            540 510522at33208        -            200   1.1e-13   50.3   0.1   1   3   9.4e-16   1.1e-13   50.3   0.1    13    75     2    70     1    82 0.88 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i2:696-2315|-  -            540 510522at33208        -            200   1.1e-13   50.3   0.1   2   3       7.5   8.9e+02   -1.6   1.2   130   161   369   397   294   414 0.64 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i2:696-2315|-  -            540 510522at33208        -            200   1.1e-13   50.3   0.1   3   3       4.3   5.1e+02   -0.8   0.5   160   176   493   507   463   531 0.56 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i4:696-2561|-  -            541 510522at33208        -            200   1.1e-13   50.3   0.1   1   3   9.4e-16   1.1e-13   50.3   0.1    13    75     2    70     1    82 0.88 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i4:696-2561|-  -            541 510522at33208        -            200   1.1e-13   50.3   0.1   2   3       7.5     9e+02   -1.6   1.2   130   161   369   397   294   414 0.64 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i4:696-2561|-  -            541 510522at33208        -            200   1.1e-13   50.3   0.1   3   3       4.7   5.6e+02   -0.9   0.4   163   176   494   507   464   525 0.53 -
456998at33208_294128_0:0023f8|TRINITY_DN79417_c11_g1_i3:177-746|+    -            190 510522at33208        -            200   1.7e-13   49.7   0.1   1   2   1.5e-15   1.7e-13   49.7   0.1    13    72     9    73     3    85 0.90 -
456998at33208_294128_0:0023f8|TRINITY_DN79417_c11_g1_i3:177-746|+    -            190 510522at33208        -            200   1.7e-13   49.7   0.1   2   2       9.2   1.1e+03   -1.9   3.4   147   184    98   135    86   150 0.73 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i11:378-557|+     -             60 510522at33208        -            200   1.7e-13   49.7   0.2   1   1   1.6e-15   1.9e-13   49.6   0.2    13    67     1    59     1    60 0.91 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i12:378-557|+     -             60 510522at33208        -            200   1.7e-13   49.7   0.2   1   1   1.6e-15   1.9e-13   49.6   0.2    13    67     1    59     1    60 0.91 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i1:378-557|+      -             60 510522at33208        -            200   1.7e-13   49.7   0.2   1   1   1.6e-15   1.9e-13   49.6   0.2    13    67     1    59     1    60 0.91 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i3:378-557|+      -             60 510522at33208        -            200   1.7e-13   49.7   0.2   1   1   1.6e-15   1.9e-13   49.6   0.2    13    67     1    59     1    60 0.91 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i6:378-557|+      -             60 510522at33208        -            200   1.7e-13   49.7   0.2   1   1   1.6e-15   1.9e-13   49.6   0.2    13    67     1    59     1    60 0.91 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i7:378-557|+      -             60 510522at33208        -            200   1.7e-13   49.7   0.2   1   1   1.6e-15   1.9e-13   49.6   0.2    13    67     1    59     1    60 0.91 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i9:378-557|+      -             60 510522at33208        -            200   1.7e-13   49.7   0.2   1   1   1.6e-15   1.9e-13   49.6   0.2    13    67     1    59     1    60 0.91 -
391896at33208_400682_0:003314|TRINITY_DN83730_c9_g4_i1:36-1148|+     -            371 510522at33208        -            200   1.8e-13   49.7   0.1   1   1   2.5e-15   2.9e-13   49.0   0.1    13    74     4    67     1    73 0.92 -
391896at33208_6526_0:001006|TRINITY_DN93485_c13_g1_i7:5391-5690|-    -            100 510522at33208        -            200   2.8e-13   49.0   0.4   1   1   2.6e-15   3.1e-13   48.9   0.4    15    79     3    71     1    85 0.88 -
391896at33208_6526_0:001006|TRINITY_DN93485_c13_g1_i9:6665-6964|-    -            100 510522at33208        -            200   2.8e-13   49.0   0.4   1   1   2.6e-15   3.1e-13   48.9   0.4    15    79     3    71     1    85 0.88 -
456998at33208_294128_0:0023f8|TRINITY_DN79417_c11_g1_i2:177-1037|+   -            287 510522at33208        -            200   4.1e-13   48.5   0.1   1   1   3.5e-15   4.1e-13   48.5   0.1    13    72     9    73     3    81 0.90 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i3:266-1006|-    -            247 510522at33208        -            200   8.4e-13   47.5   0.1   1   2   7.1e-15   8.4e-13   47.5   0.1    18    81     2    69     1    87 0.82 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i3:266-1006|-    -            247 510522at33208        -            200   8.4e-13   47.5   0.1   2   2       9.2   1.1e+03   -1.9   0.3   163   182   120   139   108   149 0.54 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i6:308-1048|-    -            247 510522at33208        -            200   8.4e-13   47.5   0.1   1   2   7.1e-15   8.4e-13   47.5   0.1    18    81     2    69     1    87 0.82 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i6:308-1048|-    -            247 510522at33208        -            200   8.4e-13   47.5   0.1   2   2       9.2   1.1e+03   -1.9   0.3   163   182   120   139   108   149 0.54 -
510522at33208_7159_0:0010f2|TRINITY_DN71136_c0_g1_i1:707-1096|-      -            130 510522at33208        -            200   1.6e-12   46.6   0.9   1   1   1.8e-14   2.1e-12   46.2   0.5    15    72     3    65     1    71 0.90 -
510522at33208_7159_0:0010f2|TRINITY_DN71136_c0_g1_i2:707-1096|-      -            130 510522at33208        -            200   1.6e-12   46.6   0.9   1   1   1.8e-14   2.1e-12   46.2   0.5    15    72     3    65     1    71 0.90 -
407472at33208_1155016_0:000932|TRINITY_DN76929_c10_g1_i1:191-355|+   -             55 510522at33208        -            200   1.6e-12   46.5   0.1   1   1   1.5e-14   1.7e-12   46.4   0.1    16    63     2    55     1    55 0.88 -
407472at33208_1155016_0:000932|TRINITY_DN76929_c10_g1_i3:70-234|+    -             55 510522at33208        -            200   1.6e-12   46.5   0.1   1   1   1.5e-14   1.7e-12   46.4   0.1    16    63     2    55     1    55 0.88 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i11:1216-1620|-   -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i12:1780-2184|-   -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i15:1790-2194|-   -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i1:1854-2258|-    -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i2:1780-2184|-    -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
