#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
616613at33208_294128_0:0019af|TRINITY_DN82909_c10_g1_i2:288-659|+    -            124 616613at33208        -             80   2.5e-44  148.0   0.2   1   1   4.3e-47     3e-44  147.8   0.2     1    78     8    89     8    91 0.94 -
608011at33208_225400_0:003837|TRINITY_DN88639_c11_g1_i2:117-314|+    -             66 616613at33208        -             80   4.3e-07   28.7   0.0   1   1   6.5e-10   4.5e-07   28.7   0.0     8    63     6    65     1    66 0.92 -
616613at33208_37621_0:0015de|TRINITY_DN75439_c8_g1_i1:193-543|+      -            117 616613at33208        -             80   4.3e-07   28.7   0.1   1   1     8e-10   5.6e-07   28.3   0.1     6    64    10    72     2    84 0.90 -
616613at33208_37621_0:0015de|TRINITY_DN75439_c8_g1_i2:81-431|+       -            117 616613at33208        -             80   4.3e-07   28.7   0.1   1   1     8e-10   5.6e-07   28.3   0.1     6    64    10    72     2    84 0.90 -
608011at33208_225400_0:003837|TRINITY_DN88639_c11_g1_i4:117-311|+    -             65 616613at33208        -             80   5.4e-07   28.4   0.0   1   1   8.3e-10   5.7e-07   28.3   0.0     8    62     6    64     1    65 0.92 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i3:60-278|+     -             73 616613at33208        -             80   2.4e-06   26.3   0.0   1   1   4.6e-09   3.2e-06   25.9   0.0     8    63    11    71     4    72 0.90 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i10:1211-1441|+ -             77 616613at33208        -             80   2.8e-06   26.1   0.0   1   1   5.6e-09   3.9e-06   25.6   0.0     8    63    15    75     8    76 0.90 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i2:1211-1441|+  -             77 616613at33208        -             80   2.8e-06   26.1   0.0   1   1   5.6e-09   3.9e-06   25.6   0.0     8    63    15    75     8    76 0.90 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i4:1718-1948|+  -             77 616613at33208        -             80   2.8e-06   26.1   0.0   1   1   5.6e-09   3.9e-06   25.6   0.0     8    63    15    75     8    76 0.90 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i5:1700-1930|+  -             77 616613at33208        -             80   2.8e-06   26.1   0.0   1   1   5.6e-09   3.9e-06   25.6   0.0     8    63    15    75     8    76 0.90 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i7:1262-1492|+  -             77 616613at33208        -             80   2.8e-06   26.1   0.0   1   1   5.6e-09   3.9e-06   25.6   0.0     8    63    15    75     8    76 0.90 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i8:1262-1492|+  -             77 616613at33208        -             80   2.8e-06   26.1   0.0   1   1   5.6e-09   3.9e-06   25.6   0.0     8    63    15    75     8    76 0.90 -
608011at33208_6945_0:0043c5|TRINITY_DN71819_c12_g2_i1:58-327|+       -             90 616613at33208        -             80   3.2e-06   25.9   0.1   1   1   6.5e-09   4.5e-06   25.4   0.1     7    75    14    87     9    90 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/616613at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/616613at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/616613at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:54 2026
# [ok]
