#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+  -           1081 56573at33208         -            932         0 1411.1   5.9   1   1         0         0 1410.8   5.9     1   919     7  1045     7  1068 0.90 -
56573at33208_378494_0:0021b6|TRINITY_DN85566_c11_g1_i2:25-1147|+  -            314 56573at33208         -            932   5.2e-72  242.2   4.6   1   1   1.1e-74   5.9e-72  242.0   4.6     1   249     7   314     7   314 0.83 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i4:621-3857|-   -           1079 56573at33208         -            932   2.1e-40  137.6   0.0   1   1   1.1e-41   5.8e-39  132.9   0.0    33   901    43  1013     2  1032 0.72 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i6:822-4032|-  -            969 56573at33208         -            932   8.4e-38  129.0   0.8   1   2   2.3e-07   0.00012   19.3   0.0    34   204    42   239    30   256 0.64 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i6:822-4032|-  -            969 56573at33208         -            932   8.4e-38  129.0   0.8   2   2   5.6e-33     3e-30  104.0   0.1   291   898   307   967   277   969 0.75 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i8:1270-4047|-  -            926 56573at33208         -            932   4.7e-33  113.3   0.2   1   1   2.4e-34   1.3e-31  108.5   0.2    33   819    43   926     2   926 0.71 -
56573at33208_133901_0:002399|TRINITY_DN80034_c5_g1_i3:726-2777|-  -            684 56573at33208         -            932   1.1e-31  108.8   0.2   1   1   7.2e-33   3.8e-30  103.7   0.2   303   901     2   653     1   671 0.76 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 56573at33208         -            932   5.4e-30  103.2   4.0   1   2   1.9e-07    0.0001   19.5   0.0    34   204    42   239    30   256 0.64 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 56573at33208         -            932   5.4e-30  103.2   4.0   2   2   1.3e-25   6.9e-23   79.7   1.5   291   819   307   883   277   883 0.75 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 56573at33208         -            932   1.7e-16   58.5   2.0   1   3      0.29   1.5e+02   -0.9   0.0    30   114    45   128    25   141 0.74 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 56573at33208         -            932   1.7e-16   58.5   2.0   2   3    0.0017      0.89    6.5   0.5   288   407   122   246   115   253 0.67 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 56573at33208         -            932   1.7e-16   58.5   2.0   3   3   8.6e-17   4.6e-14   50.5   0.0   268   458   371   561   348   588 0.73 -
56573at33208_6973_0:001689|TRINITY_DN80034_c5_g1_i5:711-1220|-    -            170 56573at33208         -            932   6.1e-09   33.5   0.0   1   1   1.3e-11   7.1e-09   33.3   0.0   794   901    22   134    12   158 0.79 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 56573at33208         -            932   1.6e-07   28.8   0.4   1   6     0.053        28    1.5   0.0   792   871   177   255   165   262 0.65 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 56573at33208         -            932   1.6e-07   28.8   0.4   2   6   1.7e-05    0.0093   13.0   0.0   278   380   288   389   265   414 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 56573at33208         -            932   1.6e-07   28.8   0.4   3   6     0.018       9.3    3.1   0.0   328   402   418   493   400   509 0.54 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 56573at33208         -            932   1.6e-07   28.8   0.4   4   6      0.81   4.3e+02   -2.4   0.0   797   840   730   773   723   789 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 56573at33208         -            932   1.6e-07   28.8   0.4   5   6     0.023        12    2.7   0.0   776   848   793   856   780   890 0.73 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 56573at33208         -            932   1.6e-07   28.8   0.4   6   6       1.3   6.8e+02   -3.1   0.1   795   857  1353  1419  1349  1436 0.64 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i2:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   1   3      0.47   2.5e+02   -1.6   0.1     5    27   200   222   150   282 0.52 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i2:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   2   3     4e-08   2.1e-05   21.8   0.0   284   391   369   481   325   487 0.82 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i2:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   3   3    0.0045       2.4    5.1   0.1   351   467   544   666   518   701 0.70 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i3:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   1   3      0.47   2.5e+02   -1.6   0.1     5    27   200   222   150   282 0.52 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i3:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   2   3     4e-08   2.1e-05   21.8   0.0   284   391   369   481   325   487 0.82 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i3:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   3   3    0.0045       2.4    5.1   0.1   351   467   544   666   518   701 0.70 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i4:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   1   3      0.47   2.5e+02   -1.6   0.1     5    27   200   222   150   282 0.52 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i4:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   2   3     4e-08   2.1e-05   21.8   0.0   284   391   369   481   325   487 0.82 -
56573at33208_35525_0:00183d|TRINITY_DN75587_c8_g3_i4:76-2178|+    -            701 56573at33208         -            932   1.9e-07   28.6   1.6   3   3    0.0045       2.4    5.1   0.1   351   467   544   666   518   701 0.70 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 56573at33208         -            932   4.1e-07   27.4   0.0   1   3    0.0023       1.2    6.0   0.0   786   840    48   101     8   118 0.87 -
