#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
348449at33208_116153_0:00196b|TRINITY_DN93220_c14_g1_i2:157-1299|+ -            381 348449at33208        -            306  1.8e-121  404.1   1.1   1   1  6.7e-124  2.2e-121  403.8   1.1     2   306    42   381    41   381 0.92 -
567809at33208_299123_0:000c63|TRINITY_DN80672_c0_g1_i11:0-272|+    -             91 348449at33208        -            306   1.6e-07   29.9   0.1   1   1   9.5e-10   3.1e-07   29.0   0.1   202   271     5    87     1    90 0.77 -
567809at33208_294128_0:004764|TRINITY_DN80672_c0_g1_i6:3-269|+     -             89 348449at33208        -            306   5.6e-06   24.8   0.1   1   1   3.5e-08   1.1e-05   23.8   0.1   202   265    13    89     5    89 0.76 -
567809at33208_299123_0:000c63|TRINITY_DN91773_c2_g1_i1:8-298|+     -             97 348449at33208        -            306   7.5e-06   24.4   0.1   1   1   6.6e-08   2.1e-05   22.9   0.1   202   266    13    90     5    96 0.72 -
567809at33208_31234_0:001ad5|TRINITY_DN85820_c0_g1_i2:2-256|-      -             83 348449at33208        -            306     1e-05   23.9   0.0   1   1   4.1e-08   1.3e-05   23.6   0.0   236   302     4    81     1    83 0.75 -
567809at33208_294128_0:004764|TRINITY_DN80672_c0_g1_i5:3-290|+     -             94 348449at33208        -            306   2.9e-05   22.5   0.0   1   1   1.2e-07   3.8e-05   22.1   0.0   202   270    13    92     4    94 0.73 -
567809at33208_6238_0:002be4|TRINITY_DN85820_c0_g1_i11:0-230|-      -             75 348449at33208        -            306   5.6e-05   21.5   0.0   1   1   1.7e-07   5.6e-05   21.5   0.0   236   281     5    52     2    73 0.84 -
567809at33208_9555_0:0043b7|TRINITY_DN91773_c2_g1_i7:8-319|+       -            104 348449at33208        -            306   8.5e-05   20.9   0.1   1   1   6.8e-07   0.00022   19.6   0.1   200   266    18    97     3   103 0.68 -
567809at33208_9940_0:0033ea|TRINITY_DN85820_c0_g1_i8:40-219|-      -             60 348449at33208        -            306   8.8e-05   20.9   0.0   1   1   2.7e-07   8.8e-05   20.9   0.0   236   272     4    40     1    59 0.86 -
567809at33208_10160_0:001518|TRINITY_DN80672_c0_g1_i1:1-198|+      -             66 348449at33208        -            306   0.00017   19.9   0.0   1   1   5.8e-07   0.00019   19.8   0.0   236   271    16    51    10    65 0.85 -
567809at33208_7741_0:004a80|TRINITY_DN91773_c2_g1_i6:28-303|+      -             89 348449at33208        -            306   0.00022   19.6   0.0   1   1     1e-06   0.00032   19.0   0.0   203   266     9    82     2    88 0.71 -
567809at33208_7668_0:003300|TRINITY_DN80672_c1_g1_i1:1-297|+       -             94 348449at33208        -            306   0.00025   19.4   0.0   1   1   8.5e-07   0.00028   19.3   0.0   205   271     3    77     1    91 0.79 -
567809at33208_61853_0:003755|TRINITY_DN80672_c0_g1_i3:2-199|+      -             66 348449at33208        -            306   0.00035   18.9   0.0   1   1   1.2e-06   0.00038   18.8   0.0   236   271    29    64    23    66 0.91 -
567809at33208_400682_0:00180b|TRINITY_DN80672_c0_g1_i2:0-224|+     -             73 348449at33208        -            306   0.00037   18.8   0.0   1   1   1.6e-06   0.00051   18.4   0.0   204   263     3    73     1    73 0.71 -
567809at33208_80972_0:00030d|TRINITY_DN80672_c0_g1_i14:0-227|+     -             76 348449at33208        -            306    0.0005   18.4   0.1   1   1   6.1e-06     0.002   16.4   0.1   202   260     5    76     1    76 0.70 -
567809at33208_59894_0:00053d|TRINITY_DN80672_c0_g1_i9:2-226|+      -             75 348449at33208        -            306   0.00075   17.8   0.0   1   1   2.5e-06   0.00079   17.8   0.0   236   271    20    55    13    74 0.83 -
567809at33208_67767_0:0045cf|TRINITY_DN80672_c0_g1_i4:11-211|+     -             65 348449at33208        -            306   0.00082   17.7   0.0   1   1   2.6e-06   0.00084   17.7   0.0   236   271    28    63    17    65 0.89 -
567809at33208_61853_0:003755|TRINITY_DN80672_c0_g1_i13:0-203|+     -             68 348449at33208        -            306     0.002   16.5   0.0   1   1   6.9e-06    0.0022   16.3   0.0   236   271    27    62    17    66 0.90 -
567809at33208_80972_0:00030d|TRINITY_DN80672_c0_g1_i7:2-232|+      -             77 348449at33208        -            306    0.0023   16.2   0.1   1   1   2.2e-05     0.007   14.7   0.1   202   260     6    77     1    77 0.69 -
