#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135294at33208_7668_0:005d61|TRINITY_DN92321_c1_g2_i16:396-1873|+    -            313 595858at33208        -            348   1.4e-05   23.4   3.7   1   1   4.5e-08     2e-05   22.9   3.7   188   321   122   258   111   282 0.75 -
135294at33208_52612_0:0025bd|TRINITY_DN92321_c1_g2_i4:408-1726|+    -            368 595858at33208        -            348   1.6e-05   23.2   3.5   1   1   5.3e-08   2.4e-05   22.6   3.5   188   322   117   254   106   277 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i9:93-1987|+    -            501 595858at33208        -            348   3.8e-05   22.0   3.8   1   1   1.3e-07   5.7e-05   21.4   3.8   188   322   163   300   152   322 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i11:93-1778|+   -            502 595858at33208        -            348   3.8e-05   22.0   3.8   1   1   1.3e-07   5.7e-05   21.4   3.8   188   322   164   301   153   323 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i14:93-2075|+   -            661 595858at33208        -            348   6.2e-05   21.3   3.8   1   1   2.1e-07   9.4e-05   20.7   3.8   188   321   323   459   312   482 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i12:301-2547|+  -            749 595858at33208        -            348   7.4e-05   21.0   3.8   1   1   2.6e-07   0.00012   20.4   3.8   188   321   498   634   487   657 0.75 -
135294at33208_9986_0:0028e6|TRINITY_DN92321_c1_g2_i10:301-3096|+    -            782 595858at33208        -            348     8e-05   20.9   3.8   1   1   2.7e-07   0.00012   20.3   3.8   188   321   444   580   433   603 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i13:110-2545|+  -            812 595858at33208        -            348     8e-05   20.9   3.8   1   1   2.9e-07   0.00013   20.2   3.8   188   321   561   697   550   720 0.75 -
135294at33208_7004_0:0026b0|TRINITY_DN92321_c1_g2_i2:125-3091|+     -            841 595858at33208        -            348   8.6e-05   20.8   3.8   1   1   3.1e-07   0.00014   20.1   3.8   188   321   504   640   493   663 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i7:301-2808|+   -            836 595858at33208        -            348   8.8e-05   20.8   3.8   1   1     3e-07   0.00014   20.1   3.8   188   321   498   634   487   657 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i5:110-2806|+   -            899 595858at33208        -            348   9.5e-05   20.7   3.8   1   1   3.4e-07   0.00015   20.0   3.8   188   321   561   697   550   720 0.75 -
135294at33208_438503_0:0009e2|TRINITY_DN92321_c1_g2_i15:110-2653|+  -            739 595858at33208        -            348    0.0001   20.6   4.3   1   1   3.7e-07   0.00017   19.8   4.3   188   321   561   697   550   719 0.76 -
206858at33208_123851_0:00463d|TRINITY_DN79387_c6_g1_i1:5-556|-      -            184 595858at33208        -            348    0.0032   15.6   0.3   1   1   9.4e-06    0.0043   15.2   0.3   254   295   141   183   132   184 0.90 -
206858at33208_123851_0:00463d|TRINITY_DN79387_c6_g1_i2:5-556|-      -            184 595858at33208        -            348    0.0032   15.6   0.3   1   1   9.4e-06    0.0043   15.2   0.3   254   295   141   183   132   184 0.90 -
206858at33208_123851_0:00463d|TRINITY_DN79387_c6_g1_i4:5-556|-      -            184 595858at33208        -            348    0.0032   15.6   0.3   1   1   9.4e-06    0.0043   15.2   0.3   254   295   141   183   132   184 0.90 -
206858at33208_123851_0:00463d|TRINITY_DN73512_c11_g1_i5:273-1364|-  -            283 595858at33208        -            348    0.0075   14.4   0.3   1   1   2.2e-05      0.01   14.0   0.3   216   327   135   244   123   256 0.82 -
534757at33208_34740_0:004c24|TRINITY_DN73917_c10_g1_i2:2121-2564|-  -            148 595858at33208        -            348    0.0078   14.4   0.3   1   1   2.1e-05    0.0093   14.1   0.3   248   326    44   125    30   140 0.76 -
206858at33208_1629725_0:001a93|TRINITY_DN73512_c11_g1_i6:138-1109|- -            324 595858at33208        -            348      0.01   14.0   0.3   1   1     3e-05     0.014   13.6   0.3   216   326   131   239   119   252 0.82 -
206858at33208_294128_0:0022e1|TRINITY_DN73512_c11_g1_i4:797-2860|-  -            688 595858at33208        -            348     0.036   12.2   0.3   1   1   0.00012     0.053   11.6   0.3   216   326   135   243   123   256 0.82 -
206858at33208_294128_0:0022e1|TRINITY_DN73512_c11_g1_i3:797-3103|-  -            688 595858at33208        -            348     0.036   12.2   0.3   1   1   0.00012     0.053   11.6   0.3   216   326   135   243   123   256 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/595858at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/595858at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/595858at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:54 2026
# [ok]
