#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-       -            156 111730at33208        -            629   1.3e-75  254.0   0.4   1   1   7.7e-77   1.4e-75  253.8   0.4   161   311     2   156     1   156 0.96 -
111730at33208_176946_0:001a89|TRINITY_DN78597_c13_g5_i1:7-555|-       -            183 111730at33208        -            629   3.7e-68  229.3   0.0   1   1   2.3e-69   4.3e-68  229.1   0.0     1   161     1   183     1   183 0.90 -
111730at33208_10224_0:003992|TRINITY_DN78597_c13_g4_i1:5-715|+        -            237 111730at33208        -            629   3.7e-45  153.3   4.5   1   1   6.6e-45   1.2e-43  148.3   4.5   479   626    27   207    19   210 0.87 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-     -            485 111730at33208        -            629   8.5e-31  105.9   9.8   1   3   1.3e-06   2.4e-05   21.8   0.0   157   225   132   217   127   218 0.74 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-     -            485 111730at33208        -            629   8.5e-31  105.9   9.8   2   3   3.8e-17     7e-16   56.6   1.7    46   216   193   374   179   377 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-     -            485 111730at33208        -            629   8.5e-31  105.9   9.8   3   3   1.1e-11     2e-10   38.6   1.1   159   270   355   480   349   483 0.79 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-     -            485 111730at33208        -            629   8.5e-31  105.9   9.8   1   3   1.3e-06   2.4e-05   21.8   0.0   157   225   132   217   127   218 0.74 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-     -            485 111730at33208        -            629   8.5e-31  105.9   9.8   2   3   3.8e-17     7e-16   56.6   1.7    46   216   193   374   179   377 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-     -            485 111730at33208        -            629   8.5e-31  105.9   9.8   3   3   1.1e-11     2e-10   38.6   1.1   159   270   355   480   349   483 0.79 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 111730at33208        -            629   3.1e-27   94.1   6.3   1   3   1.5e-06   2.7e-05   21.7   0.0   157   225   132   217   126   217 0.74 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 111730at33208        -            629   3.1e-27   94.1   6.3   2   3   2.9e-14   5.3e-13   47.1   0.2    47   192   194   346   189   350 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 111730at33208        -            629   3.1e-27   94.1   6.3   3   3     2e-09   3.7e-08   31.1   0.7   179   270   367   463   359   466 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-     -            468 111730at33208        -            629   3.1e-27   94.1   6.3   1   3   1.5e-06   2.7e-05   21.7   0.0   157   225   132   217   126   217 0.74 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-     -            468 111730at33208        -            629   3.1e-27   94.1   6.3   2   3   2.9e-14   5.3e-13   47.1   0.2    47   192   194   346   189   350 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-     -            468 111730at33208        -            629   3.1e-27   94.1   6.3   3   3     2e-09   3.7e-08   31.1   0.7   179   270   367   463   359   466 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
