#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
474302at33208_64838_0:0001da|TRINITY_DN78589_c7_g4_i1:748-1500|+  -            251 474302at33208        -            276   3.2e-47  160.1   2.1   1   1   1.7e-49   3.1e-46  156.8   2.1     1   196     2   248     2   250 0.80 -
474302at33208_52283_0:001162|TRINITY_DN73809_c18_g1_i2:59-994|+   -            312 474302at33208        -            276   1.9e-10   39.4   0.4   1   2   7.6e-10   1.4e-06   26.8   0.0     3   191     1   200     1   211 0.65 -
474302at33208_52283_0:001162|TRINITY_DN73809_c18_g1_i2:59-994|+   -            312 474302at33208        -            276   1.9e-10   39.4   0.4   2   2     0.022        39    2.3   0.1   229   267   267   306   243   312 0.76 -
239597at33208_114398_0:0035a2|TRINITY_DN73809_c18_g1_i1:59-1087|+ -            343 474302at33208        -            276   2.1e-10   39.3   0.6   1   2   9.9e-10   1.8e-06   26.4   0.0     3   191     1   200     1   211 0.64 -
239597at33208_114398_0:0035a2|TRINITY_DN73809_c18_g1_i1:59-1087|+ -            343 474302at33208        -            276   2.1e-10   39.3   0.6   2   2     0.016        30    2.7   0.2   230   268   268   307   250   323 0.73 -
474302at33208_186990_0:00421d|TRINITY_DN90129_c11_g1_i1:87-494|+  -            136 474302at33208        -            276   3.7e-05   22.1   0.1   1   1   1.3e-07   0.00023   19.5   0.1     4    55     2    68     1    83 0.68 -
239597at33208_7741_0:001680|TRINITY_DN91089_c6_g3_i4:411-1463|-   -            351 474302at33208        -            276   0.00098   17.4   0.4   1   3   1.3e-05     0.023   12.9   0.1     2    40     2    45     1    57 0.87 -
239597at33208_7741_0:001680|TRINITY_DN91089_c6_g3_i4:411-1463|-   -            351 474302at33208        -            276   0.00098   17.4   0.4   2   3      0.46   8.3e+02   -2.0   0.0   151   175   171   195   154   202 0.74 -
239597at33208_7741_0:001680|TRINITY_DN91089_c6_g3_i4:411-1463|-   -            351 474302at33208        -            276   0.00098   17.4   0.4   3   3     0.044        79    1.3   0.0   231   264   300   334   287   341 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/474302at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/474302at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/474302at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:52 2026
# [ok]
