#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 537718at33208        -            243     1e-64  217.4   3.0   1   1   2.2e-65   3.9e-64  215.5   3.0     1   242     1   298     1   299 0.84 -
537718at33208_218467_0:0005fc|TRINITY_DN85821_c14_g1_i2:201-942|+   -            158 537718at33208        -            243   5.4e-49  165.9   0.1   1   1   3.8e-50   6.9e-49  165.5   0.1     1   140     1   157     1   158 0.91 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 537718at33208        -            243   9.2e-36  122.6   3.1   1   4   3.6e-08   6.6e-07   28.1   0.0    64   152     2   101     1   103 0.80 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 537718at33208        -            243   9.2e-36  122.6   3.1   2   4   4.2e-12   7.6e-11   41.0   0.2    25   129    84   199    79   200 0.84 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 537718at33208        -            243   9.2e-36  122.6   3.1   3   4   2.8e-15   5.1e-14   51.4   0.0    26   138   127   250   126   252 0.90 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 537718at33208        -            243   9.2e-36  122.6   3.1   4   4     6e-06   0.00011   20.8   0.0    37    90   227   283   226   284 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   3.7e-34  117.3   4.9   1   4   3.2e-08   5.8e-07   28.3   0.0    63   151    14   113     7   114 0.80 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   3.7e-34  117.3   4.9   2   4   2.7e-12   4.9e-11   41.6   0.1    25   130    97   213    92   217 0.84 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   3.7e-34  117.3   4.9   3   4   3.2e-15   5.8e-14   51.2   0.2    27   139   141   264   140   268 0.89 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   3.7e-34  117.3   4.9   4   4    0.0001    0.0019   16.8   0.0    38    86   241   291   240   292 0.94 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 537718at33208        -            243   7.6e-28   96.6   5.1   1   3   1.4e-16   2.7e-15   55.6   1.8    35   135    17   123     3   128 0.90 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 537718at33208        -            243   7.6e-28   96.6   5.1   2   3   0.00051    0.0093   14.5   0.0    20    77   125   186   122   196 0.79 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 537718at33208        -            243   7.6e-28   96.6   5.1   3   3   9.6e-08   1.8e-06   26.7   0.0    76   130   206   264   199   265 0.90 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 537718at33208        -            243   2.5e-27   95.0   8.9   1   2   2.9e-17   5.3e-16   57.9   1.6    35   135    17   123     2   128 0.90 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 537718at33208        -            243   2.5e-27   95.0   8.9   2   2   3.2e-14   5.8e-13   47.9   0.9    36   128    60   158    59   158 0.96 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   1   3   3.1e-07   5.6e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   2   3   1.2e-14   2.1e-13   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 537718at33208        -            243   1.1e-26   92.8   3.7   3   3   5.3e-05   0.00096   17.7   0.1    36   118   226   272   216   286 0.55 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 537718at33208        -            243   8.9e-26   89.9   3.4   1   3   5.8e-08   1.1e-06   27.4   0.2    36    96    21    82     4    86 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 537718at33208        -            243   8.9e-26   89.9   3.4   2   3   8.2e-14   1.5e-12   46.6   0.2    26   135    88   202    83   207 0.94 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 537718at33208        -            243   8.9e-26   89.9   3.4   3   3     2e-08   3.7e-07   28.9   0.1    35    89   180   238   169   248 0.84 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   1.2e-21   76.3   3.2   1   4   1.8e-05   0.00033   19.2   0.0    36    89    78   132    72   149 0.85 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   1.2e-21   76.3   3.2   2   4    0.0019     0.035   12.6   0.0    36    90   161   218   144   230 0.80 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   1.2e-21   76.3   3.2   3   4       3.9        70    1.8   0.0    99   131   503   535   495   571 0.77 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   1.2e-21   76.3   3.2   4   4   6.2e-11   1.1e-09   37.1   0.1    35   129   614   715   592   719 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   1   4      0.53       9.7    4.6   0.0    35    57   153   175   139   186 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   2   4   4.4e-06   8.1e-05   21.3   0.0    36   130   209   307   199   315 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   3   4   3.3e-06     6e-05   21.7   0.1    79   150   294   374   287   385 0.71 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   4   4   6.6e-07   1.2e-05   24.0   0.0    37    96   385   447   377   467 0.88 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   1   4      0.53       9.7    4.6   0.0    35    57   153   175   139   186 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   2   4   4.4e-06   8.1e-05   21.3   0.0    36   130   209   307   199   315 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   3   4   3.3e-06     6e-05   21.7   0.1    79   150   294   374   287   385 0.71 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 537718at33208        -            243   2.4e-21   75.4   0.8   4   4   6.6e-07   1.2e-05   24.0   0.0    37    96   385   447   377   467 0.88 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   2.5e-21   75.3   0.7   1   4      0.08       1.5    7.3   0.0   104   130    58    84    48    90 0.82 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   2.5e-21   75.3   0.7   2   4   0.00016    0.0028   16.2   0.3    37   104    69   142    67   151 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   2.5e-21   75.3   0.7   3   4   5.6e-11     1e-09   37.3   0.1    35   130   153   253   137   288 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   2.5e-21   75.3   0.7   4   4   3.7e-05   0.00067   18.2   0.0    36    87   287   340   260   344 0.88 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 537718at33208        -            243   2.6e-21   75.3   0.2   1   3   3.6e-12   6.7e-11   41.2   0.0    26   131   160   276   156   285 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 537718at33208        -            243   2.6e-21   75.3   0.2   2   3     8e-09   1.5e-07   30.2   0.0    28   133   291   402   279   406 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 537718at33208        -            243   2.6e-21   75.3   0.2   3   3     0.016      0.29    9.6   0.0    38    88   344   395   341   448 0.81 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 537718at33208        -            243   2.6e-21   75.3   0.2   1   3   3.6e-12   6.7e-11   41.2   0.0    26   131   160   276   156   285 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 537718at33208        -            243   2.6e-21   75.3   0.2   2   3     8e-09   1.5e-07   30.2   0.0    28   133   291   402   279   406 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 537718at33208        -            243   2.6e-21   75.3   0.2   3   3     0.016      0.29    9.6   0.0    38    88   344   395   341   448 0.81 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 537718at33208        -            243   2.7e-21   75.2   0.3   1   3   3.8e-12     7e-11   41.1   0.0    26   131   160   276   156   286 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 537718at33208        -            243   2.7e-21   75.2   0.3   2   3   7.7e-09   1.4e-07   30.3   0.0    28   133   291   402   279   409 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 537718at33208        -            243   2.7e-21   75.2   0.3   3   3     0.016       0.3    9.6   0.0    38    88   344   395   341   449 0.81 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 537718at33208        -            243   2.7e-21   75.2   0.3   1   3   3.8e-12     7e-11   41.1   0.0    26   131   160   276   156   286 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 537718at33208        -            243   2.7e-21   75.2   0.3   2   3   7.7e-09   1.4e-07   30.3   0.0    28   133   291   402   279   409 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 537718at33208        -            243   2.7e-21   75.2   0.3   3   3     0.016       0.3    9.6   0.0    38    88   344   395   341   449 0.81 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   3.2e-21   75.0   6.6   1   4       8.6   1.6e+02    0.6   0.0    36    50    65    79    61    93 0.85 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   3.2e-21   75.0   6.6   2   4     2e-06   3.7e-05   22.4   0.0   100   172    98   179    90   190 0.80 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   3.2e-21   75.0   6.6   3   4   7.6e-09   1.4e-07   30.3   0.1    36   101   197   267   187   280 0.82 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   3.2e-21   75.0   6.6   4   4   2.7e-06     5e-05   21.9   0.4    37    89   282   336   279   339 0.93 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 537718at33208        -            243   7.6e-21   73.7   2.8   1   2   9.1e-17   1.7e-15   56.2   1.8    35   135    17   123     3   128 0.90 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 537718at33208        -            243   7.6e-21   73.7   2.8   2   2   0.00039    0.0071   14.9   0.0    20    77   125   186   122   195 0.79 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 537718at33208        -            243   1.8e-20   72.5   1.8   1   3   1.7e-10   3.2e-09   35.7   0.3    37   135    54   158    47   170 0.91 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 537718at33208        -            243   1.8e-20   72.5   1.8   2   3     8e-08   1.5e-06   27.0   0.0    38    96   183   244   180   265 0.87 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 537718at33208        -            243   1.8e-20   72.5   1.8   3   3       0.2       3.7    6.0   0.0    36    86   266   316   257   317 0.86 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i9:681-1631|+    -            317 537718at33208        -            243   1.8e-20   72.5   1.8   1   3   1.7e-10   3.2e-09   35.7   0.3    37   135    54   158    47   170 0.91 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i9:681-1631|+    -            317 537718at33208        -            243   1.8e-20   72.5   1.8   2   3     8e-08   1.5e-06   27.0   0.0    38    96   183   244   180   265 0.87 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i9:681-1631|+    -            317 537718at33208        -            243   1.8e-20   72.5   1.8   3   3       0.2       3.7    6.0   0.0    36    86   266   316   257   317 0.86 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i5:1287-2204|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   1   4       4.7        86    1.5   0.0   100   135     7    43     2    59 0.61 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i5:1287-2204|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   2   4   0.00058     0.011   14.3   0.0    37    87    65   115    44   128 0.89 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i5:1287-2204|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   3   4   1.1e-05   0.00021   19.9   0.1   101   153   157   214   144   232 0.64 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i5:1287-2204|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   4   4   9.1e-08   1.7e-06   26.8   0.0    25    88   237   305   227   306 0.90 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i6:2015-2932|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   1   4       4.7        86    1.5   0.0   100   135     7    43     2    59 0.61 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i6:2015-2932|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   2   4   0.00058     0.011   14.3   0.0    37    87    65   115    44   128 0.89 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i6:2015-2932|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   3   4   1.1e-05   0.00021   19.9   0.1   101   153   157   214   144   232 0.64 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i6:2015-2932|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   4   4   9.1e-08   1.7e-06   26.8   0.0    25    88   237   305   227   306 0.90 -
