#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
311438at33208_218467_0:000a5f|TRINITY_DN89292_c10_g1_i1:1-528|+    -            176 311438at33208        -            263   2.8e-55  186.8   0.0   1   1   5.1e-58   3.3e-55  186.6   0.0   114   263     1   167     1   167 0.90 -
323473at33208_294128_0:0032e5|TRINITY_DN93531_c8_g1_i2:1138-2127|- -            330 311438at33208        -            263   7.8e-50  169.0   0.0   1   1   1.6e-52     1e-49  168.6   0.0     5   253    38   304    34   310 0.88 -
323473at33208_294128_0:0032e5|TRINITY_DN93531_c8_g1_i6:1138-2401|- -            330 311438at33208        -            263   7.8e-50  169.0   0.0   1   1   1.6e-52     1e-49  168.6   0.0     5   253    38   304    34   310 0.88 -
323473at33208_294128_0:0032e5|TRINITY_DN93531_c8_g1_i7:1138-2377|- -            330 311438at33208        -            263   8.3e-50  168.9   0.0   1   1   1.7e-52   1.1e-49  168.5   0.0     5   253    38   304    34   310 0.88 -
311438at33208_407821_0:001703|TRINITY_DN89292_c10_g1_i2:245-721|+  -            159 311438at33208        -            263   1.4e-47  161.7   0.0   1   1   2.4e-50   1.6e-47  161.4   0.0   132   263     2   150     1   150 0.89 -
323473at33208_294128_0:0032e5|TRINITY_DN93531_c8_g1_i1:1138-2095|- -            228 311438at33208        -            263   4.6e-41  140.3   0.0   1   1   8.7e-44   5.6e-41  140.0   0.0    67   253     3   202     1   208 0.89 -
323473at33208_294128_0:0032e5|TRINITY_DN93531_c8_g1_i3:1138-1821|- -            228 311438at33208        -            263   4.6e-41  140.3   0.0   1   1   8.7e-44   5.6e-41  140.0   0.0    67   253     3   202     1   208 0.89 -
323473at33208_294128_0:0032e5|TRINITY_DN93531_c8_g1_i5:1138-2071|- -            228 311438at33208        -            263   4.8e-41  140.2   0.0   1   1   9.2e-44   5.9e-41  139.9   0.0    67   253     3   202     1   208 0.89 -
323473at33208_143995_0:001b6b|TRINITY_DN71761_c6_g1_i1:139-1074|+  -            312 311438at33208        -            263     1e-38  132.6   0.0   1   1   3.2e-41   2.1e-38  131.5   0.0     8   246    36   283    31   312 0.88 -
323473at33208_143995_0:001b6b|TRINITY_DN71761_c6_g1_i2:253-1188|+  -            312 311438at33208        -            263     1e-38  132.6   0.0   1   1   3.2e-41   2.1e-38  131.5   0.0     8   246    36   283    31   312 0.88 -
323473at33208_294128_0:0032e5|TRINITY_DN93531_c8_g1_i4:1138-1665|- -            176 311438at33208        -            263   1.9e-30  105.4   0.0   1   1   3.5e-33   2.3e-30  105.2   0.0   118   253     6   150     1   156 0.88 -
311438at33208_187382_0:00076d|TRINITY_DN89292_c10_g3_i2:0-200|-    -             67 311438at33208        -            263   6.5e-25   87.3   0.2   1   1   1.1e-27   7.2e-25   87.2   0.2    61   121     1    67     1    67 0.96 -
311438at33208_9713_0:001dbd|TRINITY_DN93404_c16_g1_i4:0-338|-      -            113 311438at33208        -            263   4.9e-10   38.5   0.2   1   2   3.1e-12     2e-09   36.5   0.0     7    46    27    72    22    92 0.81 -
311438at33208_9713_0:001dbd|TRINITY_DN93404_c16_g1_i4:0-338|-      -            113 311438at33208        -            263   4.9e-10   38.5   0.2   2   2      0.47   3.1e+02   -0.1   0.0    50    61   102   113    94   113 0.87 -
311438at33208_57397_0:0035af|TRINITY_DN93404_c16_g1_i1:0-248|-     -             83 311438at33208        -            263   3.8e-08   32.3   0.2   1   2   2.4e-10   1.5e-07   30.4   0.0    13    47     3    43     1    69 0.80 -
311438at33208_57397_0:0035af|TRINITY_DN93404_c16_g1_i1:0-248|-     -             83 311438at33208        -            263   3.8e-08   32.3   0.2   2   2      0.28   1.8e+02    0.6   0.0    50    61    72    83    60    83 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/311438at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/311438at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/311438at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:47 2026
# [ok]
