#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
628082at33208_294128_0:003f8a|TRINITY_DN87195_c13_g1_i1:527-772|-    -             82 628082at33208        -             75   5.9e-47  157.0   0.5   1   1   3.2e-49   6.7e-47  156.9   0.5     1    74     6    82     6    82 0.97 -
621808at33208_294128_0:003f1b|TRINITY_DN85658_c12_g3_i1:164-466|+    -            101 628082at33208        -             75   6.5e-08   32.0   0.0   1   1   3.9e-10   8.2e-08   31.6   0.0     5    52    17    64    14    90 0.87 -
629763at33208_6334_0:001a7f|TRINITY_DN91536_c13_g2_i1:402-554|+      -             51 628082at33208        -             75   2.1e-06   27.1   0.2   1   1     1e-08   2.2e-06   27.0   0.2    26    70     5    50     1    51 0.80 -
629763at33208_6334_0:001a7f|TRINITY_DN91536_c13_g2_i3:402-554|+      -             51 628082at33208        -             75   2.1e-06   27.1   0.2   1   1     1e-08   2.2e-06   27.0   0.2    26    70     5    50     1    51 0.80 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i12:89-289|+      -             67 628082at33208        -             75   1.9e-05   24.0   0.2   1   1   1.3e-07   2.8e-05   23.5   0.2    11    70     6    61     2    63 0.81 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i2:89-289|+       -             67 628082at33208        -             75   1.9e-05   24.0   0.2   1   1   1.3e-07   2.8e-05   23.5   0.2    11    70     6    61     2    63 0.81 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i3:89-289|+       -             67 628082at33208        -             75   1.9e-05   24.0   0.2   1   1   1.3e-07   2.8e-05   23.5   0.2    11    70     6    61     2    63 0.81 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i5:89-289|+       -             67 628082at33208        -             75   1.9e-05   24.0   0.2   1   1   1.3e-07   2.8e-05   23.5   0.2    11    70     6    61     2    63 0.81 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i6:89-289|+       -             67 628082at33208        -             75   1.9e-05   24.0   0.2   1   1   1.3e-07   2.8e-05   23.5   0.2    11    70     6    61     2    63 0.81 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i7:89-289|+       -             67 628082at33208        -             75   1.9e-05   24.0   0.2   1   1   1.3e-07   2.8e-05   23.5   0.2    11    70     6    61     2    63 0.81 -
617667at33208_114398_0:000b50|TRINITY_DN85605_c15_g1_i1:192-392|+    -             67 628082at33208        -             75   2.7e-05   23.6   0.0   1   1   1.3e-07   2.8e-05   23.5   0.0    17    48    13    44     4    66 0.84 -
617667at33208_294128_0:0028c4|TRINITY_DN85605_c15_g1_i3:192-479|+    -             96 628082at33208        -             75   3.4e-05   23.3   0.1   1   1   2.3e-07   4.8e-05   22.8   0.1    17    48    13    44     5    72 0.74 -
617667at33208_294128_0:0028c4|TRINITY_DN85605_c15_g1_i4:192-479|+    -             96 628082at33208        -             75   3.4e-05   23.3   0.1   1   1   2.3e-07   4.8e-05   22.8   0.1    17    48    13    44     5    72 0.74 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i1:253-480|+     -             76 628082at33208        -             75   3.8e-05   23.1   0.2   1   1   2.3e-07   4.9e-05   22.7   0.2    26    70    25    69     9    71 0.84 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i4:458-685|+     -             76 628082at33208        -             75   3.8e-05   23.1   0.2   1   1   2.3e-07   4.9e-05   22.7   0.2    26    70    25    69     9    71 0.84 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i5:531-758|+     -             76 628082at33208        -             75   3.8e-05   23.1   0.2   1   1   2.3e-07   4.9e-05   22.7   0.2    26    70    25    69     9    71 0.84 -
