#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
495100at33208_136037_0:0016f5|TRINITY_DN72801_c16_g1_i1:400-1986|-  -            371 495100at33208        -            231    3e-112  372.4   0.0   1   1    5e-114  4.4e-112  371.9   0.0    13   230    96   319    93   320 0.97 -
495100at33208_29159_0:001863|TRINITY_DN72801_c16_g1_i2:400-1809|-   -            407 495100at33208        -            231  3.4e-112  372.3   0.0   1   1  5.5e-114  4.9e-112  371.8   0.0    13   230    95   318    92   319 0.97 -
495100at33208_29159_0:001863|TRINITY_DN72801_c16_g1_i5:400-1794|-   -            406 495100at33208        -            231  3.4e-112  372.3   0.0   1   1  5.7e-114    5e-112  371.7   0.0    13   230    95   318    92   319 0.97 -
495100at33208_29159_0:001863|TRINITY_DN72801_c16_g1_i3:400-1620|-   -            407 495100at33208        -            231  3.5e-112  372.2   0.0   1   1  5.7e-114    5e-112  371.7   0.0    13   230    95   318    92   319 0.97 -
495100at33208_29159_0:001863|TRINITY_DN72801_c16_g1_i6:400-2883|-   -            407 495100at33208        -            231  3.5e-112  372.2   0.0   1   1  5.7e-114    5e-112  371.7   0.0    13   230    95   318    92   319 0.97 -
495100at33208_7224_0:001ee2|TRINITY_DN81940_c6_g2_i3:122-976|+      -            285 495100at33208        -            231   5.6e-22   77.1   0.0   1   1   1.2e-23   1.1e-21   76.1   0.0    69   224    57   201    51   205 0.90 -
495100at33208_7224_0:001ee2|TRINITY_DN81940_c6_g2_i4:122-976|+      -            285 495100at33208        -            231   5.6e-22   77.1   0.0   1   1   1.2e-23   1.1e-21   76.1   0.0    69   224    57   201    51   205 0.90 -
495100at33208_52612_0:002dcc|TRINITY_DN72801_c16_g1_i4:400-819|-    -            140 495100at33208        -            231   9.1e-22   76.4   0.0   1   1   1.4e-23   1.2e-21   76.0   0.0   180   230     1    51     1    52 0.97 -
495100at33208_482537_0:00222f|TRINITY_DN81940_c6_g2_i2:95-688|+     -            198 495100at33208        -            231     1e-20   73.0   0.0   1   1   2.2e-22     2e-20   72.0   0.0    69   212    66   198    58   198 0.90 -
495100at33208_7994_0:0059d8|TRINITY_DN74051_c0_g1_i2:1553-2233|+    -            227 495100at33208        -            231   5.9e-20   70.5   0.0   1   1   2.2e-21   1.9e-19   68.8   0.0    67   226    37   187    33   190 0.88 -
495100at33208_7994_0:0059d8|TRINITY_DN74051_c0_g1_i4:1553-2233|+    -            227 495100at33208        -            231   5.9e-20   70.5   0.0   1   1   2.2e-21   1.9e-19   68.8   0.0    67   226    37   187    33   190 0.88 -
495100at33208_7994_0:0059d8|TRINITY_DN74051_c0_g1_i6:1515-2195|+    -            227 495100at33208        -            231   5.9e-20   70.5   0.0   1   1   2.2e-21   1.9e-19   68.8   0.0    67   226    37   187    33   190 0.88 -
495100at33208_7994_0:0059d8|TRINITY_DN74051_c0_g1_i8:1624-2304|+    -            227 495100at33208        -            231   5.9e-20   70.5   0.0   1   1   2.2e-21   1.9e-19   68.8   0.0    67   226    37   187    33   190 0.88 -
463071at33208_72036_0:002b2e|TRINITY_DN83187_c17_g3_i1:163-1365|-   -            401 495100at33208        -            231   8.4e-20   70.0   0.0   1   1   1.6e-21   1.4e-19   69.2   0.0    67   222   158   301   155   308 0.89 -
463071at33208_72036_0:002b2e|TRINITY_DN83187_c17_g3_i2:364-1665|-   -            434 495100at33208        -            231   9.9e-20   69.7   0.0   1   1   1.9e-21   1.7e-19   69.0   0.0    67   222   158   301   155   308 0.89 -
495100at33208_144197_0:0021ca|TRINITY_DN74051_c0_g1_i7:1386-2117|+  -            244 495100at33208        -            231   1.3e-19   69.4   0.0   1   1   2.5e-21   2.2e-19   68.6   0.0    67   226    93   243    82   244 0.88 -
463071at33208_72036_0:002b2e|TRINITY_DN83187_c17_g3_i3:364-1920|-   -            434 495100at33208        -            231   3.8e-18   64.5   0.0   1   1   7.4e-20   6.5e-18   63.8   0.0    67   222   158   301   155   308 0.89 -
