#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 361100at33208        -            270  1.4e-130  433.6   5.5   1   1  1.9e-131  2.9e-130  432.5   5.5     1   270    10   312    10   312 0.92 -
361100at33208_136037_0:002f09|TRINITY_DN71308_c0_g1_i6:287-1123|-     -            279 361100at33208        -            270  6.5e-116  385.4   4.3   1   1  9.5e-117  1.5e-115  384.3   4.3     1   238    10   278    10   279 0.92 -
361100at33208_7574_0:00589d|TRINITY_DN71308_c0_g1_i5:331-1146|-       -            272 361100at33208        -            270  8.5e-114  378.5   2.5   1   1  1.3e-114    2e-113  377.3   2.5    31   270     1   272     1   272 0.92 -
361100at33208_7574_0:00589d|TRINITY_DN71308_c0_g1_i4:287-1003|-       -            239 361100at33208        -            270   6.5e-99  329.7   2.0   1   1     1e-99   1.6e-98  328.4   2.0    31   238     1   238     1   239 0.91 -
361100at33208_7574_0:00589d|TRINITY_DN71308_c0_g1_i1:331-933|-        -            201 361100at33208        -            270   8.4e-70  234.2   3.3   1   1   1.5e-70   2.3e-69  232.8   3.3   102   270     3   201     1   201 0.90 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   1   6   8.6e-08   1.3e-06   27.0   0.0    20   144    51   181    41   185 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   2   6     5e-06   7.8e-05   21.2   0.0    50   123   170   243   162   262 0.89 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   3   6   1.1e-05   0.00017   20.1   0.0     6   155   317   471   313   481 0.77 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   4   6     0.054      0.84    8.0   0.1   184   218   482   516   474   520 0.84 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   5   6   7.6e-08   1.2e-06   27.1   0.1   183   260   523   611   519   618 0.69 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   6   6       3.6        56    2.0   0.0    79   100   627   648   624   667 0.75 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   1   6   8.6e-08   1.3e-06   27.0   0.0    20   144    51   181    41   185 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   2   6     5e-06   7.8e-05   21.2   0.0    50   123   170   243   162   262 0.89 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   3   6   1.1e-05   0.00017   20.1   0.0     6   155   317   471   313   481 0.77 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   4   6     0.054      0.84    8.0   0.1   184   218   482   516   474   520 0.84 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   5   6   7.6e-08   1.2e-06   27.1   0.1   183   260   523   611   519   618 0.69 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-      -            797 361100at33208        -            270   6.4e-32  110.0   4.0   6   6       3.6        56    2.0   0.0    79   100   627   648   624   667 0.75 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   1   6   8.7e-08   1.4e-06   27.0   0.0    20   144    53   183    43   187 0.81 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   2   6   5.1e-06   7.9e-05   21.2   0.0    50   123   172   245   164   264 0.89 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   3   6   1.1e-05   0.00017   20.1   0.0     6   155   319   473   315   483 0.77 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   4   6     0.055      0.85    7.9   0.1   184   218   484   518   476   522 0.84 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   5   6   7.7e-08   1.2e-06   27.1   0.1   183   260   525   613   521   620 0.69 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   6   6       3.6        57    2.0   0.0    79   100   629   650   626   669 0.75 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i7:178-2729|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   1   6   8.7e-08   1.4e-06   27.0   0.0    20   144    53   183    43   187 0.81 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i7:178-2729|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   2   6   5.1e-06   7.9e-05   21.2   0.0    50   123   172   245   164   264 0.89 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i7:178-2729|-      -            806 361100at33208        -            270   7.3e-32  109.8   4.0   3   6   1.1e-05   0.00017   20.1   0.0     6   155   319   473   315   483 0.77 -
