#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
422158at33208_294128_0:000db6|TRINITY_DN79354_c9_g3_i2:111-1055|+  -            315 422158at33208        -            281  1.1e-142  473.0  12.5   1   1  3.6e-144    8e-142  470.2  12.5     1   281     1   315     1   315 0.93 -
422158at33208_1155016_0:0017d8|TRINITY_DN79354_c9_g3_i1:184-333|+  -             50 422158at33208        -            281   3.2e-27   94.2   0.2   1   1   1.6e-29   3.4e-27   94.1   0.2   232   281     1    50     1    50 0.99 -
422158at33208_7539_0:003032|TRINITY_DN71271_c0_g1_i2:203-790|+     -            196 422158at33208        -            281     1e-08   33.5   2.7   1   1   7.6e-11   1.7e-08   32.8   2.7    13    57     2    46     1    71 0.90 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i10:2349-2645|- -             99 422158at33208        -            281   5.5e-08   31.1   1.4   1   1   2.7e-10   5.9e-08   31.0   1.4     8    87    12    96     7    99 0.75 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i2:2349-2645|-  -             99 422158at33208        -            281   5.5e-08   31.1   1.4   1   1   2.7e-10   5.9e-08   31.0   1.4     8    87    12    96     7    99 0.75 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i4:2349-2645|-  -             99 422158at33208        -            281   5.5e-08   31.1   1.4   1   1   2.7e-10   5.9e-08   31.0   1.4     8    87    12    96     7    99 0.75 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i5:2349-2645|-  -             99 422158at33208        -            281   5.5e-08   31.1   1.4   1   1   2.7e-10   5.9e-08   31.0   1.4     8    87    12    96     7    99 0.75 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i6:2349-2645|-  -             99 422158at33208        -            281   5.5e-08   31.1   1.4   1   1   2.7e-10   5.9e-08   31.0   1.4     8    87    12    96     7    99 0.75 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i9:2349-2645|-  -             99 422158at33208        -            281   5.5e-08   31.1   1.4   1   1   2.7e-10   5.9e-08   31.0   1.4     8    87    12    96     7    99 0.75 -
422158at33208_29031_0:0013bc|TRINITY_DN93359_c2_g3_i2:57-359|+     -            101 422158at33208        -            281   7.4e-08   30.7   0.5   1   1   3.4e-10   7.6e-08   30.7   0.5     6    57     4    65     1    94 0.71 -
422158at33208_7539_0:003032|TRINITY_DN72144_c18_g1_i1:4693-5067|-  -            125 422158at33208        -            281   7.5e-08   30.7   1.7   1   1   3.4e-10   7.5e-08   30.7   1.7    18    65     1    49     1   103 0.87 -
422158at33208_7539_0:003032|TRINITY_DN88773_c10_g1_i1:228-584|+    -            119 422158at33208        -            281     2e-07   29.3   0.3   1   1   9.2e-10     2e-07   29.3   0.3    18    68     1    52     1    69 0.85 -
422158at33208_7539_0:003032|TRINITY_DN88773_c10_g1_i3:228-584|+    -            119 422158at33208        -            281     2e-07   29.3   0.3   1   1   9.2e-10     2e-07   29.3   0.3    18    68     1    52     1    69 0.85 -
422158at33208_7539_0:003032|TRINITY_DN88773_c10_g1_i4:228-584|+    -            119 422158at33208        -            281     2e-07   29.3   0.3   1   1   9.2e-10     2e-07   29.3   0.3    18    68     1    52     1    69 0.85 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i1:1337-3319|-  -            661 422158at33208        -            281   2.1e-07   29.3  12.3   1   2   3.1e-05    0.0069   14.4   1.8    17    74    81   135    76   153 0.86 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i1:1337-3319|-  -            661 422158at33208        -            281   2.1e-07   29.3  12.3   2   2   7.7e-07   0.00017   19.7   3.2    14    62   367   414   354   451 0.86 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i4:989-2971|-   -            661 422158at33208        -            281   2.1e-07   29.3  12.3   1   2   3.1e-05    0.0069   14.4   1.8    17    74    81   135    76   153 0.86 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i4:989-2971|-   -            661 422158at33208        -            281   2.1e-07   29.3  12.3   2   2   7.7e-07   0.00017   19.7   3.2    14    62   367   414   354   451 0.86 -
422158at33208_1218281_0:00024c|TRINITY_DN93359_c2_g3_i1:57-527|+   -            157 422158at33208        -            281   1.7e-06   26.2   4.4   1   1     1e-08   2.3e-06   25.8   4.4     6    57     4    65     1   152 0.74 -
422158at33208_121845_0:000ed4|TRINITY_DN75982_c7_g1_i1:1275-1718|- -            148 422158at33208        -            281   2.4e-05   22.5   4.3   1   1   1.1e-07   2.4e-05   22.5   4.3    13    59     2    51     1   134 0.91 -
422158at33208_121845_0:000ed4|TRINITY_DN75982_c7_g1_i2:1527-1970|- -            148 422158at33208        -            281   2.4e-05   22.5   4.3   1   1   1.1e-07   2.4e-05   22.5   4.3    13    59     2    51     1   134 0.91 -
422158at33208_121845_0:000ed4|TRINITY_DN75982_c7_g1_i4:1275-1718|- -            148 422158at33208        -            281   2.4e-05   22.5   4.3   1   1   1.1e-07   2.4e-05   22.5   4.3    13    59     2    51     1   134 0.91 -
422158at33208_88501_0:00029b|TRINITY_DN93607_c4_g1_i3:1752-2135|-  -            128 422158at33208        -            281   0.00037   18.6   0.7   1   1   2.4e-06   0.00054   18.0   0.7    18    69     4    57     1    78 0.77 -
422158at33208_88501_0:00029b|TRINITY_DN93607_c4_g1_i7:1426-1809|-  -            128 422158at33208        -            281   0.00037   18.6   0.7   1   1   2.4e-06   0.00054   18.0   0.7    18    69     4    57     1    78 0.77 -
582823at33208_6279_0:000727|TRINITY_DN75193_c19_g3_i2:156-1298|-   -            381 422158at33208        -            281   0.00049   18.2   2.7   1   1   3.3e-06   0.00073   17.6   2.7    14    57   336   378   327   381 0.87 -
582823at33208_6279_0:000727|TRINITY_DN75193_c19_g3_i3:354-1496|-   -            381 422158at33208        -            281   0.00049   18.2   2.7   1   1   3.3e-06   0.00073   17.6   2.7    14    57   336   378   327   381 0.87 -
571149at33208_56723_0:005cf3|TRINITY_DN80016_c11_g1_i3:635-946|-   -            104 422158at33208        -            281   0.00059   17.9   0.5   1   1   3.1e-06   0.00068   17.7   0.5    32    65     2    38     1    43 0.82 -
527406at33208_48498_0:002801|TRINITY_DN86404_c4_g3_i1:2257-2442|+  -             62 422158at33208        -            281   0.00072   17.6   4.3   1   1   3.4e-06   0.00075   17.6   4.3     8    55    10    57     6    62 0.82 -
527406at33208_56086_0:003292|TRINITY_DN89874_c10_g3_i1:1295-2215|- -            307 422158at33208        -            281   0.00074   17.6   0.7   1   1   5.7e-06    0.0013   16.8   0.7    17    58   242   282   229   300 0.82 -
527406at33208_56086_0:003292|TRINITY_DN89874_c10_g3_i2:1295-2215|- -            307 422158at33208        -            281   0.00074   17.6   0.7   1   1   5.7e-06    0.0013   16.8   0.7    17    58   242   282   229   300 0.82 -
571149at33208_56723_0:005cf3|TRINITY_DN80016_c11_g1_i1:430-852|-   -            141 422158at33208        -            281     0.001   17.2   0.5   1   1   5.6e-06    0.0012   16.9   0.5    32    65     2    38     1    43 0.82 -
545063at33208_218467_0:0041c5|TRINITY_DN82414_c5_g1_i3:125-896|+   -            191 422158at33208        -            281    0.0053   14.8   0.1   1   1   3.7e-05    0.0082   14.2   0.1    17    58   139   180   129   191 0.86 -
545063at33208_10141_0:0024fa|TRINITY_DN82414_c5_g1_i1:78-1226|+    -            337 422158at33208        -            281     0.013   13.5   0.1   1   1   9.4e-05     0.021   12.8   0.1    17    58   285   326   275   337 0.86 -
545063at33208_10141_0:0024fa|TRINITY_DN82414_c5_g1_i7:85-1233|+    -            337 422158at33208        -            281     0.013   13.5   0.1   1   1   9.4e-05     0.021   12.8   0.1    17    58   285   326   275   337 0.86 -
545063at33208_7741_0:00204d|TRINITY_DN82414_c5_g1_i5:85-1429|+     -            337 422158at33208        -            281     0.013   13.5   0.1   1   1   9.4e-05     0.021   12.8   0.1    17    58   285   326   275   337 0.86 -
545063at33208_7741_0:00204d|TRINITY_DN82414_c5_g1_i6:78-1287|+     -            337 422158at33208        -            281     0.013   13.5   0.1   1   1   9.4e-05     0.021   12.8   0.1    17    58   285   326   275   337 0.86 -
545063at33208_7741_0:00204d|TRINITY_DN82414_c5_g1_i8:85-1294|+     -            337 422158at33208        -            281     0.013   13.5   0.1   1   1   9.4e-05     0.021   12.8   0.1    17    58   285   326   275   337 0.86 -
545063at33208_7741_0:00204d|TRINITY_DN82414_c5_g1_i9:78-1422|+     -            337 422158at33208        -            281     0.013   13.5   0.1   1   1   9.4e-05     0.021   12.8   0.1    17    58   285   326   275   337 0.86 -
545063at33208_10141_0:0024fa|TRINITY_DN82414_c5_g1_i2:78-1091|+    -            338 422158at33208        -            281     0.013   13.5   0.1   1   1   9.5e-05     0.021   12.8   0.1    17    58   286   327   276   338 0.86 -
545063at33208_10141_0:0024fa|TRINITY_DN82414_c5_g1_i4:85-1098|+    -            338 422158at33208        -            281     0.013   13.5   0.1   1   1   9.5e-05     0.021   12.8   0.1    17    58   286   327   276   338 0.86 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i4:1006-2933|-   -            635 422158at33208        -            281     0.026   12.5   1.9   1   1    0.0002     0.044   11.8   1.9    17    55   251   289   241   306 0.92 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i3:2202-4943|-   -            914 422158at33208        -            281      0.04   11.9   2.1   1   1   0.00037     0.083   10.9   2.1    17    55   820   858   811   874 0.93 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i2:1006-4617|-   -           1204 422158at33208        -            281     0.057   11.4   2.1   1   1   0.00052      0.11   10.4   2.1    17    55   820   858   811   874 0.93 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/422158at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/422158at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/422158at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:51 2026
# [ok]
