#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
612760at33208_67767_0:00249d|TRINITY_DN84271_c6_g5_i1:404-577|-   -             58 612760at33208        -             88   1.1e-26   91.9   0.1   1   1   1.1e-29   1.2e-26   91.8   0.1    31    88     1    58     1    58 0.98 -
612760at33208_104452_0:000a57|TRINITY_DN84271_c6_g5_i2:207-317|-  -             37 612760at33208        -             88   1.5e-16   59.4   0.0   1   1   1.4e-19   1.6e-16   59.3   0.0    31    67     1    37     1    37 0.99 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|-  -            114 612760at33208        -             88     0.025   13.9   4.3   1   4     0.029        32    3.9   0.1    72    87     7    22     2    23 0.83 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|-  -            114 612760at33208        -             88     0.025   13.9   4.3   2   4     0.039        44    3.4   0.1    73    87    36    50    24    51 0.80 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|-  -            114 612760at33208        -             88     0.025   13.9   4.3   3   4    0.0093        10    5.4   0.1    71    86    62    77    54    79 0.84 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|-  -            114 612760at33208        -             88     0.025   13.9   4.3   4   4      0.43   4.8e+02    0.1   0.0    66    81    84    99    79   104 0.75 -
387079at33208_6832_0:0013d4|TRINITY_DN86766_c10_g2_i3:211-1407|+  -            399 612760at33208        -             88     0.075   12.3   0.3   1   2   0.00053       0.6    9.4   0.0    26    61   286   321   282   323 0.96 -
387079at33208_6832_0:0013d4|TRINITY_DN86766_c10_g2_i3:211-1407|+  -            399 612760at33208        -             88     0.075   12.3   0.3   2   2       0.7   7.9e+02   -0.6   0.0    49    57   346   354   334   366 0.82 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+   -            122 612760at33208        -             88      0.15   11.3   8.3   1   5      0.04        45    3.4   0.1    72    87     2    17     1    18 0.87 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+   -            122 612760at33208        -             88      0.15   11.3   8.3   2   5     0.086        98    2.3   0.1    69    87    26    44    16    45 0.78 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+   -            122 612760at33208        -             88      0.15   11.3   8.3   3   5    0.0074       8.4    5.7   0.1    69    87    53    71    43    72 0.79 -
