#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
334272at33208_7539_0:001889|TRINITY_DN88003_c6_g1_i8:86-1234|-       -            383 334272at33208        -            346   1.1e-92  309.5  19.2   1   1   4.6e-93   1.3e-90  302.7  19.2    19   326     1   359     1   365 0.83 -
334272at33208_224129_0:00122a|TRINITY_DN88003_c6_g1_i3:47-1330|-     -            428 334272at33208        -            346   1.3e-92  309.3  32.0   1   2   4.4e-30   1.2e-27   95.6  10.6    19   110     1    92     1   103 0.84 -
334272at33208_224129_0:00122a|TRINITY_DN88003_c6_g1_i3:47-1330|-     -            428 334272at33208        -            346   1.3e-92  309.3  32.0   2   2   1.2e-65   3.4e-63  212.5  13.9    87   326   120   391    99   397 0.84 -
334272at33208_224129_0:00122a|TRINITY_DN88003_c6_g1_i6:47-1330|-     -            428 334272at33208        -            346   1.3e-92  309.3  32.0   1   2   4.4e-30   1.2e-27   95.6  10.6    19   110     1    92     1   103 0.84 -
334272at33208_224129_0:00122a|TRINITY_DN88003_c6_g1_i6:47-1330|-     -            428 334272at33208        -            346   1.3e-92  309.3  32.0   2   2   1.2e-65   3.4e-63  212.5  13.9    87   326   120   391    99   397 0.84 -
334272at33208_7536_0:002ba8|TRINITY_DN88003_c6_g1_i5:77-421|-        -            115 334272at33208        -            346   2.4e-21   74.9   0.4   1   1   9.9e-24   2.8e-21   74.7   0.4   243   326     1    88     1    94 0.90 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i3:2792-3167|+ -            115 334272at33208        -            346   8.5e-10   36.9   0.8   1   2     0.004       1.1    6.9   0.0   267   285     1    19     1    28 0.85 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i3:2792-3167|+ -            115 334272at33208        -            346   8.5e-10   36.9   0.8   2   2   7.4e-10   2.1e-07   29.0   0.2   289   326    39    77    29    93 0.84 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i5:2942-3317|+ -            115 334272at33208        -            346   8.5e-10   36.9   0.8   1   2     0.004       1.1    6.9   0.0   267   285     1    19     1    28 0.85 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i5:2942-3317|+ -            115 334272at33208        -            346   8.5e-10   36.9   0.8   2   2   7.4e-10   2.1e-07   29.0   0.2   289   326    39    77    29    93 0.84 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i1:1772-2134|+ -            121 334272at33208        -            346     3e-09   35.1   6.5   1   1   4.7e-10   1.3e-07   29.7   6.5   241   326     3    83     1    99 0.79 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i2:2942-3304|+ -            121 334272at33208        -            346     3e-09   35.1   6.5   1   1   4.7e-10   1.3e-07   29.7   6.5   241   326     3    83     1    99 0.79 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i4:1922-2284|+ -            121 334272at33208        -            346     3e-09   35.1   6.5   1   1   4.7e-10   1.3e-07   29.7   6.5   241   326     3    83     1    99 0.79 -
334272at33208_1868482_0:001722|TRINITY_DN82258_c13_g1_i6:2792-3154|+ -            121 334272at33208        -            346     3e-09   35.1   6.5   1   1   4.7e-10   1.3e-07   29.7   6.5   241   326     3    83     1    99 0.79 -
334272at33208_6279_0:001ff4|TRINITY_DN89788_c8_g1_i2:1107-1289|-     -             61 334272at33208        -            346   2.8e-08   31.9   0.6   1   1     1e-10   2.8e-08   31.9   0.6   293   332     2    41     1    60 0.79 -
334272at33208_6279_0:001ff4|TRINITY_DN89788_c8_g1_i4:1107-1289|-     -             61 334272at33208        -            346   2.8e-08   31.9   0.6   1   1     1e-10   2.8e-08   31.9   0.6   293   332     2    41     1    60 0.79 -
334272at33208_1868482_0:001722|TRINITY_DN81805_c6_g1_i10:1177-1386|- -             70 334272at33208        -            346   2.2e-07   29.0   0.3   1   1   8.1e-10   2.3e-07   28.9   0.3   293   330     2    40     1    54 0.89 -
334272at33208_1868482_0:001722|TRINITY_DN81805_c6_g1_i1:157-366|-    -             70 334272at33208        -            346   2.2e-07   29.0   0.3   1   1   8.1e-10   2.3e-07   28.9   0.3   293   330     2    40     1    54 0.89 -
334272at33208_1868482_0:001722|TRINITY_DN81805_c6_g1_i2:1177-1386|-  -             70 334272at33208        -            346   2.2e-07   29.0   0.3   1   1   8.1e-10   2.3e-07   28.9   0.3   293   330     2    40     1    54 0.89 -
334272at33208_1868482_0:001722|TRINITY_DN81805_c6_g1_i4:1177-1386|-  -             70 334272at33208        -            346   2.2e-07   29.0   0.3   1   1   8.1e-10   2.3e-07   28.9   0.3   293   330     2    40     1    54 0.89 -
334272at33208_1868482_0:001722|TRINITY_DN81805_c6_g1_i6:1176-1385|-  -             70 334272at33208        -            346   2.2e-07   29.0   0.3   1   1   8.1e-10   2.3e-07   28.9   0.3   293   330     2    40     1    54 0.89 -
334272at33208_1868482_0:001722|TRINITY_DN81805_c6_g1_i7:1177-1386|-  -             70 334272at33208        -            346   2.2e-07   29.0   0.3   1   1   8.1e-10   2.3e-07   28.9   0.3   293   330     2    40     1    54 0.89 -
334272at33208_1868482_0:001722|TRINITY_DN81805_c6_g1_i9:200-409|-    -             70 334272at33208        -            346   2.2e-07   29.0   0.3   1   1   8.1e-10   2.3e-07   28.9   0.3   293   330     2    40     1    54 0.89 -
334272at33208_51655_0:000b18|TRINITY_DN81805_c6_g1_i3:74-340|-       -             89 334272at33208        -            346   1.6e-06   26.1   0.1   1   1   6.4e-09   1.8e-06   26.0   0.1   290   323    55    89    35    89 0.83 -
334272at33208_51655_0:000b18|TRINITY_DN81805_c6_g1_i8:74-340|-       -             89 334272at33208        -            346   1.6e-06   26.1   0.1   1   1   6.4e-09   1.8e-06   26.0   0.1   290   323    55    89    35    89 0.83 -
535664at33208_51655_0:003f30|TRINITY_DN91115_c18_g2_i1:113-1759|+    -            549 334272at33208        -            346   7.2e-06   24.0   0.2   1   1   7.1e-08     2e-05   22.5   0.2   232   326   385   476   333   490 0.77 -
516716at33208_10228_0:00015c|TRINITY_DN89396_c13_g1_i1:255-698|-     -            148 334272at33208        -            346     0.056   11.2   0.0   1   1   0.00031     0.087   10.6   0.0   172   192    97   117    94   144 0.80 -
516716at33208_10228_0:00015c|TRINITY_DN89396_c13_g1_i3:255-698|-     -            148 334272at33208        -            346     0.056   11.2   0.0   1   1   0.00031     0.087   10.6   0.0   172   192    97   117    94   144 0.80 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i7:173-1466|+   -            381 334272at33208        -            346     0.078   10.7   0.1   1   2       5.8   1.6e+03   -3.5   3.1   256   283   125   152   115   168 0.73 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i7:173-1466|+   -            381 334272at33208        -            346     0.078   10.7   0.1   2   2   0.00028     0.078   10.7   0.1   298   329   208   240   190   252 0.85 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i1:173-1306|+   -            378 334272at33208        -            346     0.079   10.7   0.1   1   2       4.7   1.3e+03   -3.2   2.9   256   283   125   152   115   171 0.73 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i1:173-1306|+   -            378 334272at33208        -            346     0.079   10.7   0.1   2   2   0.00028     0.079   10.7   0.1   298   329   212   244   195   256 0.85 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i2:207-1361|+   -            385 334272at33208        -            346     0.081   10.7   0.1   1   2       4.8   1.4e+03   -3.2   2.9   256   283   125   152   115   171 0.73 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i2:207-1361|+   -            385 334272at33208        -            346     0.081   10.7   0.1   2   2   0.00029     0.081   10.7   0.1   298   329   212   244   195   256 0.85 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i3:278-1432|+   -            385 334272at33208        -            346     0.081   10.7   0.1   1   2       4.8   1.4e+03   -3.2   2.9   256   283   125   152   115   171 0.73 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i3:278-1432|+   -            385 334272at33208        -            346     0.081   10.7   0.1   2   2   0.00029     0.081   10.7   0.1   298   329   212   244   195   256 0.85 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i9:173-1327|+   -            385 334272at33208        -            346     0.081   10.7   0.1   1   2       4.8   1.4e+03   -3.2   2.9   256   283   125   152   115   171 0.73 -
563426at33208_136037_0:0006b7|TRINITY_DN90750_c12_g2_i9:173-1327|+   -            385 334272at33208        -            346     0.081   10.7   0.1   2   2   0.00029     0.081   10.7   0.1   298   329   212   244   195   256 0.85 -
359075at33208_294128_0:002e27|TRINITY_DN91625_c1_g1_i3:134-1735|+    -            534 334272at33208        -            346      0.11   10.3   6.3   1   1   0.00069       0.2    9.4   6.3   227   278    57   109    50   120 0.84 -
359075at33208_294128_0:002e27|TRINITY_DN91625_c1_g1_i1:134-1990|+    -            619 334272at33208        -            346      0.13   10.0   6.3   1   1   0.00084      0.24    9.1   6.3   227   278    57   109    50   120 0.84 -
