#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
315044at33208_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+     -             51 315044at33208        -            407   6.3e-20   70.3   0.1   1   1   1.6e-22   6.7e-20   70.2   0.1   236   282     1    51     1    51 0.88 -
334820at33208_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+ -            371 315044at33208        -            407   1.5e-12   46.0   5.5   1   2    0.0044       1.9    6.1   0.2   254   315    26    88     7    96 0.66 -
334820at33208_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+ -            371 315044at33208        -            407   1.5e-12   46.0   5.5   2   2   3.2e-14   1.4e-11   42.8   4.7   145   342    36   253    29   266 0.75 -
334820at33208_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+  -            459 315044at33208        -            407   6.2e-12   44.0   7.3   1   2    0.0046         2    6.1   0.5   242   315    93   168    55   177 0.71 -
334820at33208_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+  -            459 315044at33208        -            407   6.2e-12   44.0   7.3   2   2   5.2e-14   2.2e-11   42.1   4.5   145   342   116   333   109   344 0.75 -
334820at33208_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+  -            459 315044at33208        -            407   6.5e-12   43.9   7.4   1   2    0.0046         2    6.1   0.5   241   315    92   168    53   176 0.71 -
334820at33208_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+  -            459 315044at33208        -            407   6.5e-12   43.9   7.4   2   2   4.8e-14   2.1e-11   42.2   4.5   145   342   116   333   109   346 0.75 -
315044at33208_197043_0:004bea|TRINITY_DN90170_c5_g2_i1:168-1285|+  -            102 315044at33208        -            407   2.1e-09   35.6   0.1   1   1   1.7e-11   7.5e-09   33.8   0.1   335   406     4   101     1   102 0.78 -
334820at33208_70779_0:000914|TRINITY_DN89800_c11_g2_i6:140-691|+   -            184 315044at33208        -            407   1.7e-07   29.3   0.1   1   1   7.7e-10   3.3e-07   28.4   0.1   274   342     6    77     3    93 0.85 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+  -            498 315044at33208        -            407     1e-05   23.5   5.3   1   2     4e-06    0.0017   16.1   1.9   247   330   300   386   289   389 0.89 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+  -            498 315044at33208        -            407     1e-05   23.5   5.3   2   2     0.001      0.45    8.2   0.1   203   286   388   475   385   480 0.87 -
