#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
432050at33208_35525_0:0027dd|TRINITY_DN71620_c15_g1_i5:1-273|+     -             89 432050at33208        -            249   1.7e-41  141.3   0.0   1   1   3.6e-44   1.9e-41  141.2   0.0    79   168     1    89     1    89 0.99 -
432050at33208_8839_0:0039df|TRINITY_DN71620_c15_g1_i2:1-225|+      -             75 432050at33208        -            249   5.4e-36  123.3   0.1   1   1   1.1e-38   5.9e-36  123.2   0.1    79   152     1    75     1    75 0.99 -
432050at33208_407821_0:00692f|TRINITY_DN71620_c15_g1_i3:1-213|+    -             71 432050at33208        -            249   8.1e-35  119.4   0.0   1   1   1.7e-37   8.8e-35  119.3   0.0   108   177     1    71     1    71 0.99 -
432050at33208_202946_0:000006|TRINITY_DN71620_c22_g1_i1:1-252|-    -             82 432050at33208        -            249   1.5e-31  108.8   0.0   1   1   3.1e-34   1.6e-31  108.6   0.0    53   134     1    82     1    82 0.97 -
432050at33208_1230840_0:00013e|TRINITY_DN71620_c20_g1_i1:1-249|+   -             81 432050at33208        -            249   3.3e-30  104.4   0.1   1   1   6.7e-33   3.6e-30  104.2   0.1    23   104     1    81     1    81 0.96 -
432050at33208_202946_0:000006|TRINITY_DN71620_c15_g1_i1:3-191|+    -             63 432050at33208        -            249   1.1e-29  102.6   0.0   1   1   2.3e-32   1.2e-29  102.5   0.0    92   153     1    63     1    63 0.97 -
432050at33208_202946_0:000006|TRINITY_DN71620_c0_g1_i1:9-209|+     -             67 432050at33208        -            249   4.1e-29  100.8   0.0   1   1   8.3e-32   4.4e-29  100.7   0.0    85   150     1    67     1    67 0.98 -
432050at33208_202946_0:000006|TRINITY_DN71620_c15_g1_i4:1-189|+    -             63 432050at33208        -            249   6.2e-29  100.2   0.1   1   1   1.3e-31   6.7e-29  100.1   0.1    92   153     1    63     1    63 0.97 -
432050at33208_75366_0:002fb9|TRINITY_DN71620_c15_g2_i4:4-222|-     -             73 432050at33208        -            249   9.3e-22   76.7   0.1   1   1   2.4e-24   1.3e-21   76.2   0.1   178   239     1    73     1    73 0.87 -
432050at33208_39432_0:001f48|TRINITY_DN71620_c15_g2_i2:39-431|-    -            129 432050at33208        -            249   2.9e-21   75.1   0.2   1   1   8.4e-24   4.5e-21   74.4   0.2   184   245     1    71     1    76 0.83 -
432050at33208_6238_0:0004cf|TRINITY_DN71620_c7_g1_i1:1-210|-       -             70 432050at33208        -            249   1.2e-19   69.8   0.3   1   1   3.1e-22   1.7e-19   69.3   0.3   168   226     1    70     1    70 0.90 -
432050at33208_197043_0:005c36|TRINITY_DN71620_c15_g2_i3:39-347|-   -            103 432050at33208        -            249   2.2e-15   55.8   0.2   1   2   4.1e-18   2.2e-15   55.8   0.2   204   244     4    44     3    49 0.95 -
432050at33208_197043_0:005c36|TRINITY_DN71620_c15_g2_i3:39-347|-   -            103 432050at33208        -            249   2.2e-15   55.8   0.2   2   2       9.4     5e+03   -4.3   1.2   110   118    64    72    53    80 0.49 -
532406at33208_123851_0:003be0|TRINITY_DN92890_c10_g3_i1:32-661|+   -            210 432050at33208        -            249   8.8e-12   44.0   0.0   1   1   2.1e-14   1.1e-11   43.7   0.0     9   177    14   186     6   201 0.87 -
532406at33208_123851_0:003be0|TRINITY_DN92890_c10_g3_i5:399-1052|+ -            218 432050at33208        -            249     1e-11   43.8   0.0   1   1   2.5e-14   1.3e-11   43.4   0.0     9   177    22   194    14   208 0.87 -
432050at33208_438503_0:0029c6|TRINITY_DN71620_c15_g2_i1:1-186|-    -             62 432050at33208        -            249   1.4e-09   36.8   0.1   1   2   2.6e-12   1.4e-09   36.8   0.1   216   245     1    30     1    35 0.93 -
432050at33208_438503_0:0029c6|TRINITY_DN71620_c15_g2_i1:1-186|-    -             62 432050at33208        -            249   1.4e-09   36.8   0.1   2   2         6   3.2e+03   -3.7   0.5   106   116    47    55    37    59 0.49 -
432050at33208_438503_0:0029c6|TRINITY_DN71620_c21_g1_i1:1-189|-    -             63 432050at33208        -            249   4.3e-07   28.6   0.0   1   2     8e-10   4.3e-07   28.6   0.0   218   245     1    28     1    33 0.92 -
432050at33208_438503_0:0029c6|TRINITY_DN71620_c21_g1_i1:1-189|-    -             63 432050at33208        -            249   4.3e-07   28.6   0.0   2   2       1.4   7.3e+02   -1.6   0.4    97   116    42    61    34    63 0.49 -
432050at33208_438503_0:0029c6|TRINITY_DN75947_c13_g1_i1:0-209|+    -             70 432050at33208        -            249   6.7e-07   28.0   0.0   1   2   1.3e-09   6.7e-07   28.0   0.0   217   245     1    29     1    33 0.94 -
432050at33208_438503_0:0029c6|TRINITY_DN75947_c13_g1_i1:0-209|+    -             70 432050at33208        -            249   6.7e-07   28.0   0.0   2   2       6.1   3.2e+03   -3.7   1.3   111   118    49    56    38    64 0.49 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/432050at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/432050at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/432050at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:49 2026
# [ok]
