#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
566527at33208_294128_0:000477|TRINITY_DN79789_c12_g2_i1:120-839|+ -            240 566527at33208        -            188   6.4e-47  158.2   1.0   1   1     2e-49   1.1e-46  157.5   1.0     1   164     2   187     2   227 0.84 -
566527at33208_378494_0:003419|TRINITY_DN83438_c11_g2_i3:198-920|+ -            241 566527at33208        -            188   1.3e-31  108.3   0.0   1   1   3.9e-34   2.1e-31  107.7   0.0     4   144     3   154     1   158 0.85 -
495329at33208_294128_0:00388d|TRINITY_DN92598_c7_g1_i1:87-695|-   -            203 566527at33208        -            188   2.1e-21   75.0   0.3   1   1     5e-24   2.7e-21   74.7   0.3    19   164     2   148     1   163 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 566527at33208        -            188   1.2e-17   62.8   0.2   1   4      0.19     1e+02    1.1   0.0    25    47    15    37     4    53 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 566527at33208        -            188   1.2e-17   62.8   0.2   2   4      0.21   1.1e+02    1.0   0.0   109   146   108   148    94   154 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 566527at33208        -            188   1.2e-17   62.8   0.2   3   4       3.5   1.8e+03   -3.0   0.0    59    85   252   276   247   301 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 566527at33208        -            188   1.2e-17   62.8   0.2   4   4   2.1e-17   1.1e-14   53.1   0.0     2   147   304   467   303   476 0.81 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 566527at33208        -            188   1.2e-17   62.8   0.2   1   4      0.19     1e+02    1.1   0.0    25    47    15    37     4    53 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 566527at33208        -            188   1.2e-17   62.8   0.2   2   4      0.21   1.1e+02    1.0   0.0   109   146   108   148    94   154 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 566527at33208        -            188   1.2e-17   62.8   0.2   3   4       3.5   1.8e+03   -3.0   0.0    59    85   252   276   247   301 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 566527at33208        -            188   1.2e-17   62.8   0.2   4   4   2.1e-17   1.1e-14   53.1   0.0     2   147   304   467   303   476 0.81 -
