#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
227979at33208_211228_0:0013d5|TRINITY_DN84811_c8_g2_i3:952-3102|-  -            717 227979at33208        -            609  2.8e-260  864.1   4.7   1   1  8.9e-263  3.5e-260  863.8   4.7     1   599     1   661     1   671 0.95 -
227979at33208_438503_0:0011f2|TRINITY_DN84811_c8_g2_i4:1006-2500|- -            452 227979at33208        -            609  5.3e-150  499.9   5.2   1   1  1.7e-152  6.5e-150  499.6   5.2   239   599     1   414     1   424 0.95 -
227979at33208_378494_0:00552e|TRINITY_DN84811_c8_g2_i2:1006-1749|- -            248 227979at33208        -            609   3.8e-93  312.1   6.4   1   1   1.3e-95   5.1e-93  311.7   6.4   398   599     7   210     2   220 0.94 -
227979at33208_6973_0:0052d4|TRINITY_DN84811_c8_g2_i1:103-585|-     -            161 227979at33208        -            609   2.2e-66  223.7   0.0   1   1   6.2e-69   2.4e-66  223.6   0.0     1   158     1   161     1   161 0.96 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-    -           1470 227979at33208        -            609   9.6e-12   43.3   0.0   1   6   2.4e-05    0.0096   13.5   0.0    16   111   182   275   167   282 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-    -           1470 227979at33208        -            609   9.6e-12   43.3   0.0   2   6   0.00059      0.23    9.0   0.0    67   245   310   489   301   511 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-    -           1470 227979at33208        -            609   9.6e-12   43.3   0.0   3   6     0.019       7.5    4.0   0.0    63   120   545   602   524   638 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-    -           1470 227979at33208        -            609   9.6e-12   43.3   0.0   4   6    0.0093       3.6    5.0   0.0    20   113   734   823   723   848 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-    -           1470 227979at33208        -            609   9.6e-12   43.3   0.0   5   6     0.088        35    1.8   0.0   280   397   896  1019   837  1032 0.77 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-    -           1470 227979at33208        -            609   9.6e-12   43.3   0.0   6   6      0.84   3.3e+02   -1.5   0.0   339   400  1116  1177  1061  1200 0.79 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   1   7      0.23        90    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   2   7   5.2e-05     0.021   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   3   7    0.0012      0.48    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   4   7     0.038        15    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   5   7     0.018         7    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   6   7      0.18        72    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   7   7       2.1   8.4e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i12:136-8239|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   1   7      0.23        90    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i12:136-8239|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   2   7   5.2e-05     0.021   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i12:136-8239|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   3   7    0.0012      0.48    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i12:136-8239|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   4   7     0.038        15    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i12:136-8239|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   5   7     0.018         7    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i12:136-8239|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   6   7      0.18        72    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i12:136-8239|-  -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   7   7       2.1   8.4e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i1:136-8467|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   1   7      0.23        90    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i1:136-8467|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   2   7   5.2e-05     0.021   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i1:136-8467|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   3   7    0.0012      0.48    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i1:136-8467|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   4   7     0.038        15    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i1:136-8467|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   5   7     0.018         7    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i1:136-8467|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   6   7      0.18        72    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
