#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
65302at33208_136037_0:002690|TRINITY_DN89515_c8_g1_i2:88-3486|+   -           1133 65302at33208         -            976         0 1478.0   2.5   1   1         0         0 1471.8   2.5     1   976     4  1133     4  1133 0.89 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i2:530-4177|-   -           1216 65302at33208         -            976   5.9e-45  152.4   0.0   1   5   0.00028      0.36    7.5   0.0     6    84    10    92     4   118 0.82 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i2:530-4177|-   -           1216 65302at33208         -            976   5.9e-45  152.4   0.0   2   5   2.1e-06    0.0027   14.5   0.0   177   293   226   361   201   365 0.69 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i2:530-4177|-   -           1216 65302at33208         -            976   5.9e-45  152.4   0.0   3   5   1.3e-17   1.6e-14   51.6   0.0   300   443   396   557   381   569 0.83 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i2:530-4177|-   -           1216 65302at33208         -            976   5.9e-45  152.4   0.0   4   5   0.00016      0.21    8.2   0.0   525   634   691   801   657   824 0.83 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i2:530-4177|-   -           1216 65302at33208         -            976   5.9e-45  152.4   0.0   5   5   5.3e-21   6.9e-18   62.8   0.0   710   959   936  1203   927  1212 0.79 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|-   -           1027 65302at33208         -            976   1.3e-42  144.6   0.0   1   4   1.7e-06    0.0022   14.8   0.0   177   293    37   172    13   176 0.69 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|-   -           1027 65302at33208         -            976   1.3e-42  144.6   0.0   2   4   9.6e-18   1.2e-14   52.0   0.0   300   443   207   368   192   381 0.83 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|-   -           1027 65302at33208         -            976   1.3e-42  144.6   0.0   3   4   0.00013      0.17    8.5   0.0   525   634   502   612   468   635 0.83 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|-   -           1027 65302at33208         -            976   1.3e-42  144.6   0.0   4   4     4e-21   5.1e-18   63.2   0.0   710   959   747  1014   738  1023 0.79 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i1:1211-5416|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   1   4   0.00021      0.27    7.9   0.0   231   301   325   397   227   406 0.65 -
