knockdown_PmSTAT-UP	WSSV_infection-UP
TRINITY_DN82883_c0_g3	TRINITY_DN92506_c6_g1
TRINITY_DN77976_c6_g1	TRINITY_DN72297_c9_g1
TRINITY_DN77616_c8_g1	TRINITY_DN90218_c9_g1
TRINITY_DN82883_c0_g1	TRINITY_DN92378_c1_g2
TRINITY_DN80047_c2_g1	TRINITY_DN89641_c5_g1
TRINITY_DN88506_c5_g1	TRINITY_DN76831_c11_g2
TRINITY_DN89789_c6_g2	TRINITY_DN92810_c0_g2
TRINITY_DN93103_c3_g1	TRINITY_DN81092_c8_g1
TRINITY_DN77616_c8_g2	TRINITY_DN91975_c1_g1
TRINITY_DN86259_c5_g3	TRINITY_DN89641_c0_g1
TRINITY_DN85452_c1_g1	TRINITY_DN93288_c11_g1
TRINITY_DN85834_c3_g1	TRINITY_DN93288_c12_g1
TRINITY_DN85834_c4_g1	TRINITY_DN89641_c2_g1
TRINITY_DN73327_c10_g1	TRINITY_DN87781_c12_g1
TRINITY_DN81856_c6_g1	TRINITY_DN76218_c9_g2
TRINITY_DN90844_c5_g1	TRINITY_DN93288_c13_g1
TRINITY_DN89789_c6_g1	TRINITY_DN92721_c14_g5
TRINITY_DN84195_c3_g1	TRINITY_DN82818_c2_g1
TRINITY_DN81856_c6_g2	TRINITY_DN84095_c9_g1
TRINITY_DN77887_c13_g2	TRINITY_DN86840_c1_g1
TRINITY_DN81261_c7_g2	TRINITY_DN91050_c6_g3
TRINITY_DN81856_c6_g3	TRINITY_DN83954_c7_g1
TRINITY_DN80230_c7_g1	TRINITY_DN91050_c5_g1
TRINITY_DN93788_c2_g1	TRINITY_DN92853_c0_g2
TRINITY_DN75343_c15_g1	TRINITY_DN72302_c3_g1
TRINITY_DN86818_c0_g1	TRINITY_DN90515_c1_g1
TRINITY_DN81856_c5_g1	TRINITY_DN93288_c11_g2
TRINITY_DN81856_c5_g3	TRINITY_DN83136_c13_g1
TRINITY_DN90492_c0_g1	TRINITY_DN77007_c2_g1
	TRINITY_DN75179_c3_g5
	TRINITY_DN72369_c2_g1
	TRINITY_DN90125_c11_g2
	TRINITY_DN93025_c5_g3
	TRINITY_DN91050_c5_g5
	TRINITY_DN79912_c9_g1
	TRINITY_DN71712_c13_g1
	TRINITY_DN91050_c9_g1
	TRINITY_DN93174_c0_g1
	TRINITY_DN77224_c1_g1
	TRINITY_DN80356_c8_g1
	TRINITY_DN86840_c3_g1
	TRINITY_DN93399_c3_g1
	TRINITY_DN77025_c11_g4
	TRINITY_DN91050_c6_g4
	TRINITY_DN75179_c4_g1
	TRINITY_DN91982_c2_g1
	TRINITY_DN76180_c10_g1
	TRINITY_DN85878_c16_g2
	TRINITY_DN86459_c10_g1
	TRINITY_DN81098_c13_g1
	TRINITY_DN72479_c9_g3
	TRINITY_DN77025_c11_g2
	TRINITY_DN69702_c0_g1
	TRINITY_DN91050_c5_g2
	TRINITY_DN80356_c4_g1
