knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN81229_c4_g1_i6	TRINITY_DN76831_c11_g2_i1
TRINITY_DN81229_c1_g1_i1	TRINITY_DN93024_c5_g1_i5
TRINITY_DN80418_c10_g1_i5	TRINITY_DN91237_c5_g4_i2
TRINITY_DN81229_c3_g1_i1	TRINITY_DN79974_c0_g2_i8
TRINITY_DN92631_c1_g1_i2	TRINITY_DN84920_c15_g3_i2
TRINITY_DN80418_c10_g1_i2	TRINITY_DN80947_c0_g1_i8
TRINITY_DN93507_c3_g4_i4	TRINITY_DN92810_c0_g2_i4
TRINITY_DN88471_c2_g3_i1	TRINITY_DN91339_c9_g2_i6
TRINITY_DN88471_c2_g3_i2	TRINITY_DN90125_c11_g1_i1
TRINITY_DN88471_c2_g2_i8	TRINITY_DN90515_c1_g1_i5
TRINITY_DN80418_c10_g1_i3	TRINITY_DN89027_c0_g1_i22
TRINITY_DN81229_c2_g1_i1	TRINITY_DN71712_c13_g1_i1
TRINITY_DN82695_c4_g1_i5	TRINITY_DN91982_c2_g1_i6
TRINITY_DN75844_c7_g4_i1	TRINITY_DN89641_c0_g1_i1
TRINITY_DN93605_c1_g2_i11	TRINITY_DN93288_c12_g1_i1
TRINITY_DN80418_c10_g1_i7	TRINITY_DN93367_c10_g1_i8
TRINITY_DN92748_c5_g1_i3	TRINITY_DN93288_c11_g1_i4
TRINITY_DN76920_c6_g2_i1	TRINITY_DN92810_c0_g2_i8
TRINITY_DN88471_c2_g2_i4	TRINITY_DN93025_c5_g3_i6
TRINITY_DN90300_c6_g4_i1	TRINITY_DN89641_c0_g1_i3
TRINITY_DN82695_c4_g1_i4	TRINITY_DN90515_c1_g1_i10
TRINITY_DN82695_c4_g1_i7	TRINITY_DN85878_c16_g2_i3
TRINITY_DN72829_c0_g1_i3	TRINITY_DN92073_c7_g1_i2
TRINITY_DN88471_c2_g1_i2	TRINITY_DN92810_c0_g2_i3
TRINITY_DN92575_c5_g5_i1	TRINITY_DN72297_c9_g1_i1
TRINITY_DN88471_c2_g2_i6	TRINITY_DN92066_c5_g1_i9
TRINITY_DN82397_c4_g1_i6	TRINITY_DN92810_c0_g2_i6
TRINITY_DN93424_c5_g1_i12	TRINITY_DN74861_c6_g7_i1
TRINITY_DN89012_c11_g1_i2	TRINITY_DN76180_c10_g1_i1
TRINITY_DN92088_c10_g1_i4	TRINITY_DN91237_c5_g4_i4
TRINITY_DN93087_c14_g1_i14	TRINITY_DN81092_c8_g2_i1
TRINITY_DN92343_c5_g1_i5	TRINITY_DN86021_c5_g5_i5
TRINITY_DN92442_c12_g1_i9	TRINITY_DN89641_c0_g1_i4
TRINITY_DN92375_c7_g1_i3	TRINITY_DN89641_c5_g1_i1
TRINITY_DN74946_c8_g2_i4	TRINITY_DN92506_c6_g1_i1
