#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 398013at33208        -            280    9e-155  511.2   0.3   1   1  3.8e-156    1e-154  510.9   0.3     1   279     2   309     2   310 0.95 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 398013at33208        -            280   7.8e-25   84.9   1.5   1   2   1.1e-24   3.1e-23   79.7   1.5    23   250     2   247     1   250 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 398013at33208        -            280   7.8e-25   84.9   1.5   2   2      0.15         4    3.8   0.0    88   127   243   285   241   288 0.81 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 398013at33208        -            280   1.4e-22   77.5   0.2   1   2   1.7e-05   0.00046   16.7   0.0    14    50    10    46     6    52 0.83 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 398013at33208        -            280   1.4e-22   77.5   0.2   2   2   0.00062     0.017   11.6   0.0    95   152    53   113    44   118 0.78 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 398013at33208        -            280   2.3e-20   70.2   0.1   1   1   1.2e-21   3.4e-20   69.7   0.1    14   244     7   251     3   274 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 398013at33208        -            280     5e-19   65.9   3.0   1   4    0.0025     0.069    9.6   0.0    92   133     2    42     1    47 0.80 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 398013at33208        -            280     5e-19   65.9   3.0   2   4   4.2e-06   0.00012   18.7   0.0    96   166    46   115    42   121 0.87 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 398013at33208        -            280     5e-19   65.9   3.0   3   4     4e-06   0.00011   18.8   0.0    95   136   125   165   118   174 0.80 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 398013at33208        -            280     5e-19   65.9   3.0   4   4   3.5e-05   0.00096   15.7   0.2   102   172   171   244   164   246 0.76 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 398013at33208        -            280   3.2e-18   63.2   0.1   1   5    0.0025     0.068    9.6   0.0    92   133   154   196   149   214 0.82 -
