#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
393419at33208_7004_0:004d14|TRINITY_DN82555_c7_g2_i5:434-2257|+   -            512 393419at33208        -            427  3.5e-154  511.1   0.0   1   1  1.4e-155  6.5e-153  506.9   0.0    10   427     1   512     1   512 0.88 -
573237at33208_294128_0:00043d|TRINITY_DN81668_c5_g1_i2:122-1099|+ -            326 393419at33208        -            427   1.3e-28   97.4   0.4   1   2   3.5e-26   1.6e-23   80.6   0.3     4   160     8   167     5   200 0.91 -
573237at33208_294128_0:00043d|TRINITY_DN81668_c5_g1_i2:122-1099|+ -            326 393419at33208        -            427   1.3e-28   97.4   0.4   2   2   2.7e-06    0.0013   15.0   0.0   375   418   273   316   241   322 0.78 -
274992at33208_6183_0:001ac5|TRINITY_DN88812_c2_g1_i5:257-2371|-   -            705 393419at33208        -            427   2.9e-25   86.3   0.0   1   3   1.8e-15   8.2e-13   45.3   0.0     5   159     2   157     1   163 0.80 -
274992at33208_6183_0:001ac5|TRINITY_DN88812_c2_g1_i5:257-2371|-   -            705 393419at33208        -            427   2.9e-25   86.3   0.0   2   3   1.6e-05    0.0074   12.5   0.0   368   420   324   376   303   381 0.88 -
274992at33208_6183_0:001ac5|TRINITY_DN88812_c2_g1_i5:257-2371|-   -            705 393419at33208        -            427   2.9e-25   86.3   0.0   3   3   3.2e-09   1.5e-06   24.7   0.0     4   152   395   556   393   563 0.73 -
573237at33208_51338_0:001297|TRINITY_DN88812_c2_g1_i5:1412-2371|- -            320 393419at33208        -            427   1.2e-13   48.1   0.1   1   1   3.4e-16   1.6e-13   47.6   0.1     5   160     2   158     1   164 0.80 -
436007at33208_6573_0:005728|TRINITY_DN79633_c8_g1_i3:199-2396|-   -            620 393419at33208        -            427   1.4e-11   41.2   0.4   1   2   6.3e-14   2.9e-11   40.2   0.0    17   153    14   155     7   166 0.81 -
436007at33208_6573_0:005728|TRINITY_DN79633_c8_g1_i3:199-2396|-   -            620 393419at33208        -            427   1.4e-11   41.2   0.4   2   2      0.66   3.1e+02   -2.7   0.1   385   413   383   411   374   413 0.86 -
436007at33208_32507_0:002f2e|TRINITY_DN90124_c6_g1_i2:3609-4787|- -            393 393419at33208        -            427   4.5e-10   36.3   0.2   1   2   6.5e-10     3e-07   27.0   0.0    24   117     1    94     1   143 0.89 -
436007at33208_32507_0:002f2e|TRINITY_DN90124_c6_g1_i2:3609-4787|- -            393 393419at33208        -            427   4.5e-10   36.3   0.2   2   2   0.00055      0.25    7.4   0.2   385   419   245   279   236   287 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/393419at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/393419at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/393419at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:25 2026
# [ok]
