#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
227979at33208_211228_0:0013d5|TRINITY_DN84811_c8_g2_i3:952-3102|- -            717 227979at33208        -            609  8.6e-261  864.1   4.7   1   1  2.7e-263  1.1e-260  863.8   4.7     1   599     1   661     1   671 0.95 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 227979at33208        -            609   2.5e-11   40.2   0.1   1   7     0.069        28    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 227979at33208        -            609   2.5e-11   40.2   0.1   2   7   1.6e-05    0.0063   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 227979at33208        -            609   2.5e-11   40.2   0.1   3   7   0.00038      0.15    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 227979at33208        -            609   2.5e-11   40.2   0.1   4   7     0.011       4.5    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 227979at33208        -            609   2.5e-11   40.2   0.1   5   7    0.0054       2.1    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 227979at33208        -            609   2.5e-11   40.2   0.1   6   7     0.055        22    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 227979at33208        -            609   2.5e-11   40.2   0.1   7   7      0.65   2.6e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 227979at33208        -            609   1.1e-06   24.9   1.2   1   3     0.002      0.79    5.5   0.1    81   149   151   221   122   250 0.69 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 227979at33208        -            609   1.1e-06   24.9   1.2   2   3   2.9e-05     0.011   11.6   0.0    54   115   394   454   368   458 0.88 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-   -            589 227979at33208        -            609   1.1e-06   24.9   1.2   3   3    0.0075         3    3.6   0.1    86   115   467   496   457   510 0.89 -
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+  -           1081 227979at33208        -            609   1.2e-05   21.4   0.9   1   3     0.055        22    0.7   0.1   345   412   233   304    96   320 0.58 -
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+  -           1081 227979at33208        -            609   1.2e-05   21.4   0.9   2   3   1.1e-06   0.00043   16.3   0.0    56   115   363   422   352   426 0.89 -
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+  -           1081 227979at33208        -            609   1.2e-05   21.4   0.9   3   3      0.11        43   -0.2   0.0   118   221   468   494   434   549 0.54 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 227979at33208        -            609   6.5e-05   19.0   0.1   1   5    0.0045       1.8    4.3   0.0   170   223   114   167    79   230 0.65 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 227979at33208        -            609   6.5e-05   19.0   0.1   2   5     0.093        37   -0.0   0.0    61   111   309   360   299   392 0.65 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 227979at33208        -            609   6.5e-05   19.0   0.1   3   5      0.06        24    0.6   0.1   353   418   417   484   410   505 0.64 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 227979at33208        -            609   6.5e-05   19.0   0.1   4   5     0.026        10    1.8   0.0   353   419   640   712   633   732 0.81 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|- -            883 227979at33208        -            609   6.5e-05   19.0   0.1   5   5    0.0074       2.9    3.6   0.0    40   111   801   872   787   876 0.89 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i4:168-3713|- -           1182 227979at33208        -            609   0.00054   16.0   0.5   1   3     0.054        21    0.8   0.0    47   115   519   587   497   607 0.77 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i4:168-3713|- -           1182 227979at33208        -            609   0.00054   16.0   0.5   2   3   3.7e-05     0.015   11.2   0.1     9   122   728   840   723   851 0.86 -
