#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 327301at33208        -            257   3.4e-72  240.1   0.0   1   1   2.5e-73   5.9e-72  239.3   0.0     2   249    11   295    10   299 0.86 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257   3.2e-25   86.2   1.3   1   7    0.0014     0.032   10.8   0.0    33   246    18    46    10    55 0.58 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257   3.2e-25   86.2   1.3   2   7    0.0043       0.1    9.2   0.0    30   243    57    85    46    95 0.69 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257   3.2e-25   86.2   1.3   3   7   5.9e-08   1.4e-06   25.1   0.0    28    69    97   138    86   143 0.88 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257   3.2e-25   86.2   1.3   4   7   5.6e-06   0.00013   18.6   0.0    29    64   140   175   137   184 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257   3.2e-25   86.2   1.3   5   7    0.0035      0.08    9.5   0.0    33    66   186   219   177   225 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257   3.2e-25   86.2   1.3   6   7   7.2e-05    0.0017   15.0   0.0     2    63   188   258   187   269 0.75 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257   3.2e-25   86.2   1.3   7   7     0.056       1.3    5.5   0.0   189   239   239   291   231   292 0.66 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   3.6e-17   59.8   5.0   1   5     0.025      0.59    6.7   0.0   219   244    11    36     2    39 0.69 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   3.6e-17   59.8   5.0   2   5   0.00018    0.0042   13.7   0.0    27    70    49    92    37    97 0.86 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   3.6e-17   59.8   5.0   3   5   0.00015    0.0035   13.9   0.0    28    62    94   128    85   140 0.77 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   3.6e-17   59.8   5.0   4   5   0.00016    0.0038   13.8   0.0     2    57   146   212   145   215 0.79 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   3.6e-17   59.8   5.0   5   5    0.0096      0.22    8.0   0.1   230   245   310   325   259   327 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257     8e-17   58.6   0.3   1   5   9.7e-10   2.2e-08   31.0   0.1     5    96    62   173    58   189 0.69 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257     8e-17   58.6   0.3   2   5      0.19       4.4    3.8   0.1    76    95   195   213   180   229 0.56 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257     8e-17   58.6   0.3   3   5    0.0002    0.0047   13.5   0.0   218   248   226   256   197   261 0.75 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257     8e-17   58.6   0.3   4   5       3.8        88   -0.5   0.0    38    62   281   305   269   313 0.67 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257     8e-17   58.6   0.3   5   5      0.17         4    3.9   0.0    30    60   315   345   303   346 0.82 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   1   8     0.053       1.2    5.6   0.0    27    54    92   119    58   133 0.68 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   2   8      0.76        18    1.8   0.0    36    63   194   221   187   225 0.84 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   3   8    0.0069      0.16    8.5   0.1   124   181   285   345   261   355 0.81 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   4   8    0.0018     0.042   10.4   0.0    19    59   377   417   349   421 0.76 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   5   8   8.4e-07     2e-05   21.3   0.0    75   168   400   502   386   508 0.71 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   6   8    0.0005     0.012   12.2   0.0   136   244   428   547   426   555 0.77 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   7   8       1.2        28    1.1   0.0     4    26   567   589   564   597 0.73 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   1.1e-16   58.2   4.7   8   8     0.032      0.75    6.3   0.0    16    68   608   660   601   669 0.83 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   1.8e-16   57.5   3.0   1   4   0.00056     0.013   12.1   0.0    41    93    18    77    13    85 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   1.8e-16   57.5   3.0   2   4      0.61        14    2.1   0.0   225   244    97   116    84   123 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   1.8e-16   57.5   3.0   3   4   4.6e-07   1.1e-05   22.2   0.1    34    93   131   197   118   207 0.78 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   1.8e-16   57.5   3.0   4   4   5.4e-06   0.00013   18.7   0.0    64    95   211   242   204   248 0.90 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 327301at33208        -            257   4.7e-16   56.1   5.2   1   4     0.031      0.72    6.4   0.1    78    93    19    34     5    42 0.80 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 327301at33208        -            257   4.7e-16   56.1   5.2   2   4   4.7e-05    0.0011   15.6   0.0   216   247    89   120    86   130 0.75 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 327301at33208        -            257   4.7e-16   56.1   5.2   3   4     7e-05    0.0016   15.0   0.1   219   243   134   158   126   164 0.89 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 327301at33208        -            257   4.7e-16   56.1   5.2   4   4       5.9   1.4e+02   -1.1   0.0    42    57   204   219   178   220 0.75 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   4.8e-16   56.1   8.8   1   4   8.1e-05    0.0019   14.8   0.1   198   249    88   133    81   139 0.80 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   4.8e-16   56.1   8.8   2   4   0.00088      0.02   11.4   0.0     4    67   148   220   145   224 0.68 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   4.8e-16   56.1   8.8   3   4   6.5e-07   1.5e-05   21.7   1.5    26   103   221   310   218   313 0.74 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   4.8e-16   56.1   8.8   4   4    0.0053      0.12    8.9   0.3    28    59   307   338   300   340 0.85 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   4.9e-16   56.1   0.6   1   6     0.022      0.51    6.9   0.0    62    93    61    92    32   102 0.67 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   4.9e-16   56.1   0.6   2   6      0.22       5.2    3.6   0.0    26    64   190   228   183   234 0.83 -
