#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 578734at33208        -            193     6e-60  199.3   7.8   1   1     3e-61   2.4e-59  197.3   7.8     3   193     6   238     1   238 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   1   8   1.3e-10     1e-08   32.2   2.2    32   132   165   271   158   273 0.72 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   2   8   3.6e-05    0.0029   14.4   0.0    70   111   269   313   262   315 0.84 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   3   8   3.9e-09   3.1e-07   27.3   1.0    67   148   312   403   310   406 0.84 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   4   8   1.6e-06   0.00012   18.8   0.3    72   147   387   473   381   474 0.80 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   5   8   5.6e-10   4.4e-08   30.1   0.7    73   148   412   497   407   499 0.89 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   6   8   1.2e-09   9.7e-08   29.0   1.1    72   149   435   521   432   523 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   7   8   2.9e-08   2.3e-06   24.5   0.8    67   146   499   587   496   588 0.87 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   5.1e-34  114.7  29.4   8   8   5.8e-07   4.6e-05   20.2   1.1    68   146   523   611   521   617 0.81 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   9.7e-29   97.5  32.4   1   5   1.4e-08   1.1e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   9.7e-29   97.5  32.4   2   5   2.2e-10   1.7e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
