#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
589773at33208_156304_0:0001a8|TRINITY_DN75406_c11_g1_i10:1190-2575|- -            462 589773at33208        -             56   3.9e-16   56.1   0.0   1   1   7.6e-18   5.3e-15   52.5   0.0     1    55   389   457   389   458 0.92 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+    -            837 589773at33208        -             56    0.0013   16.0   0.1   1   7      0.05        35    1.9   0.0     3    25     3    25     1    37 0.82 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+    -            837 589773at33208        -             56    0.0013   16.0   0.1   2   7    0.0043         3    5.3   0.0     4    26   349   371   347   373 0.84 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+    -            837 589773at33208        -             56    0.0013   16.0   0.1   3   7      0.21   1.5e+02   -0.1   0.0    23    39   386   405   381   413 0.71 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+    -            837 589773at33208        -             56    0.0013   16.0   0.1   4   7      0.21   1.4e+02   -0.1   0.0     2    26   529   553   528   559 0.86 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+    -            837 589773at33208        -             56    0.0013   16.0   0.1   5   7       1.8   1.3e+03   -3.2   0.0    33    55   696   718   685   719 0.71 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+    -            837 589773at33208        -             56    0.0013   16.0   0.1   6   7      0.76   5.3e+02   -1.9   0.0     3    20   744   761   742   767 0.85 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+    -            837 589773at33208        -             56    0.0013   16.0   0.1   7   7       2.3   1.6e+03   -3.4   0.1    28    40   790   802   789   803 0.76 -
564286at33208_222816_0:00218d|TRINITY_DN77605_c7_g2_i2:96-410|+      -            105 589773at33208        -             56     0.013   12.8   0.0   1   2   4.7e-05     0.033   11.6   0.0     2    19    13    30    12    36 0.87 -
564286at33208_222816_0:00218d|TRINITY_DN77605_c7_g2_i2:96-410|+      -            105 589773at33208        -             56     0.013   12.8   0.0   2   2       0.9   6.2e+02   -2.2   0.0    17    30    48    61    42    77 0.63 -
547099at33208_1629725_0:0007aa|TRINITY_DN93237_c16_g1_i3:82-369|+    -             96 589773at33208        -             56     0.019   12.3   0.0   1   2    0.0057       3.9    4.9   0.0     4    26     1    23     1    32 0.83 -
547099at33208_1629725_0:0007aa|TRINITY_DN93237_c16_g1_i3:82-369|+    -             96 589773at33208        -             56     0.019   12.3   0.0   2   2     0.003       2.1    5.8   0.1    25    46    36    57    29    68 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/589773at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/589773at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/589773at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:27 2026
# [ok]
