#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
612760at33208_67767_0:00249d|TRINITY_DN84271_c6_g5_i1:404-577|-  -             58 612760at33208        -             88   3.4e-27   91.9   0.1   1   1   5.3e-30   3.7e-27   91.8   0.1    31    88     1    58     1    58 0.98 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|- -            114 612760at33208        -             88    0.0076   13.9   4.3   1   4     0.014        10    3.9   0.1    72    87     7    22     2    23 0.83 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|- -            114 612760at33208        -             88    0.0076   13.9   4.3   2   4      0.02        14    3.4   0.1    73    87    36    50    24    51 0.80 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|- -            114 612760at33208        -             88    0.0076   13.9   4.3   3   4    0.0046       3.2    5.4   0.1    71    86    62    77    54    79 0.84 -
590416at33208_9838_0:003f3a|TRINITY_DN85498_c2_g3_i8:2399-2740|- -            114 612760at33208        -             88    0.0076   13.9   4.3   4   4      0.21   1.5e+02    0.1   0.0    66    81    84    99    79   104 0.75 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+  -            122 612760at33208        -             88     0.047   11.3   8.3   1   5      0.02        14    3.4   0.1    72    87     2    17     1    18 0.87 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+  -            122 612760at33208        -             88     0.047   11.3   8.3   2   5     0.043        30    2.3   0.1    69    87    26    44    16    45 0.78 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+  -            122 612760at33208        -             88     0.047   11.3   8.3   3   5    0.0037       2.6    5.7   0.1    69    87    53    71    43    72 0.79 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+  -            122 612760at33208        -             88     0.047   11.3   8.3   4   5     0.093        65    1.3   0.0    71    87    83    99    76   100 0.79 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+  -            122 612760at33208        -             88     0.047   11.3   8.3   5   5      0.21   1.4e+02    0.1   0.0    69    82   109   122   102   122 0.81 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+  -            253 612760at33208        -             88      0.98    7.1  22.0   1   7      0.18   1.3e+02    0.3   0.1    75    86     2    13     1    15 0.85 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+  -            253 612760at33208        -             88      0.98    7.1  22.0   2   7     0.058        40    1.9   0.1    73    87    56    70    46    71 0.84 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+  -            253 612760at33208        -             88      0.98    7.1  22.0   3   7    0.0021       1.5    6.5   1.4    50    85    60    96    53    99 0.84 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+  -            253 612760at33208        -             88      0.98    7.1  22.0   4   7      0.16   1.1e+02    0.5   0.1    70    85   109   124   100   129 0.77 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+  -            253 612760at33208        -             88      0.98    7.1  22.0   5   7      0.68   4.7e+02   -1.5   0.1    70    87   140   157   130   158 0.77 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+  -            253 612760at33208        -             88      0.98    7.1  22.0   6   7    0.0013      0.89    7.2   0.9    56    86   153   184   137   186 0.71 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+  -            253 612760at33208        -             88      0.98    7.1  22.0   7   7     0.029        20    2.9   0.2    49    84   202   238   189   242 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/612760at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/612760at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/612760at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:27 2026
# [ok]
