#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
465703at33208_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+     -            281 465703at33208        -            212   7.1e-94  310.6   6.4   1   1   1.8e-95   1.2e-92  306.5   6.4     1   209     3   238     3   241 0.91 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i11:6031-8711|- -            827 465703at33208        -            212   5.7e-07   26.6   7.9   1   3   3.5e-09   2.4e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i11:6031-8711|- -            827 465703at33208        -            212   5.7e-07   26.6   7.9   2   3     0.012       8.1    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i11:6031-8711|- -            827 465703at33208        -            212   5.7e-07   26.6   7.9   3   3     0.071        50    0.6   0.3   110   150   597   641   569   648 0.77 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i7:502-1215|+    -            238 465703at33208        -            212   0.00066   16.6   1.0   1   3      0.03        21    1.9   0.0   167   196    65    94    52   101 0.86 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i7:502-1215|+    -            238 465703at33208        -            212   0.00066   16.6   1.0   2   3     0.044        30    1.3   0.4    49    91   144   188   124   201 0.67 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i7:502-1215|+    -            238 465703at33208        -            212   0.00066   16.6   1.0   3   3   0.00012     0.086    9.7   0.0   123   151   201   229   197   235 0.90 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.023   11.5   6.8   1   4      0.15     1e+02   -0.4   0.2   116   155    55    95    42   102 0.74 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.023   11.5   6.8   2   4     0.011       7.8    3.3   0.2   170   190   327   347   222   353 0.88 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.023   11.5   6.8   3   4    0.0011      0.76    6.6   0.1   166   198   357   389   347   399 0.82 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.023   11.5   6.8   4   4     0.037        26    1.6   0.0   175   199   400   424   396   434 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/465703at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/465703at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/465703at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:26 2026
# [ok]
