#                                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
65302at33208_136037_0:002690|TRINITY_DN89515_c8_g1_i2:88-3486|+ -           1133 65302at33208         -            976         0 1478.0   2.5   1   1         0         0 1471.8   2.5     1   976     4  1133     4  1133 0.89 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|- -           1027 65302at33208         -            976   3.9e-43  144.6   0.0   1   4   7.2e-07   0.00066   14.8   0.0   177   293    37   172    13   176 0.69 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|- -           1027 65302at33208         -            976   3.9e-43  144.6   0.0   2   4   4.1e-18   3.8e-15   52.0   0.0   300   443   207   368   192   381 0.83 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|- -           1027 65302at33208         -            976   3.9e-43  144.6   0.0   3   4   5.5e-05     0.051    8.5   0.0   525   634   502   612   468   635 0.83 -
57158at33208_7004_0:0039af|TRINITY_DN84498_c11_g3_i3:530-3610|- -           1027 65302at33208         -            976   3.9e-43  144.6   0.0   4   4   1.7e-21   1.6e-18   63.2   0.0   710   959   747  1014   738  1023 0.79 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|- -           1402 65302at33208         -            976   5.7e-28   94.5   0.0   1   4   8.8e-05     0.082    7.9   0.0   231   301   325   397   227   406 0.65 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|- -           1402 65302at33208         -            976   5.7e-28   94.5   0.0   2   4   1.1e-11     1e-08   30.7   0.0   290   424   447   607   413   645 0.74 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|- -           1402 65302at33208         -            976   5.7e-28   94.5   0.0   3   4      0.15   1.4e+02   -2.8   0.0   607   635   975  1003   973  1006 0.92 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|- -           1402 65302at33208         -            976   5.7e-28   94.5   0.0   4   4   8.9e-18   8.2e-15   50.9   0.0   707   966  1118  1397  1081  1402 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/65302at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/65302at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/65302at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:27 2026
# [ok]
