#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 197652at33208        -            436  7.2e-225  744.1  11.0   1   1  5.1e-222  1.2e-220  730.2  11.0     1   436     3   509     3   509 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 197652at33208        -            436   8.7e-40  134.2   9.1   1   5     3e-10   6.8e-09   32.4   0.4   272   336     7    71     1    72 0.92 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 197652at33208        -            436   8.7e-40  134.2   9.1   2   5   1.9e-16   4.4e-15   52.8   0.1   254   337    72   156    70   162 0.92 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 197652at33208        -            436   8.7e-40  134.2   9.1   3   5   2.2e-11   5.1e-10   36.1   0.0   255   334   115   196   113   198 0.92 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 197652at33208        -            436   8.7e-40  134.2   9.1   4   5   8.1e-08   1.9e-06   24.3   0.1   268   344   171   251   154   262 0.73 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 197652at33208        -            436   8.7e-40  134.2   9.1   5   5   5.6e-06   0.00013   18.3   0.1   254   334   199   285   196   288 0.79 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 197652at33208        -            436   1.2e-28   97.5   3.1   1   2   1.6e-11   3.8e-10   36.5   0.1   259   336    10    88     7    92 0.94 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 197652at33208        -            436   1.2e-28   97.5   3.1   2   2   5.1e-18   1.2e-16   58.0   0.5   188   333   101   253    99   258 0.87 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 197652at33208        -            436     5e-26   88.8   0.2   1   4     0.033      0.76    5.8   0.0   185   216    53    84    44    90 0.89 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 197652at33208        -            436     5e-26   88.8   0.2   2   4   8.1e-11   1.9e-09   34.2   0.2   263   336    96   171    84   182 0.89 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 197652at33208        -            436     5e-26   88.8   0.2   3   4   3.9e-10     9e-09   32.0   0.0   268   336   185   254   174   263 0.90 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 197652at33208        -            436     5e-26   88.8   0.2   4   4   0.00042    0.0096   12.1   0.0   268   331   278   341   257   346 0.89 -
