#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
514121at33208_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+      -            271 514121at33208        -            220   2.8e-88  292.3   8.9   1   1   7.2e-90   5.7e-88  291.3   8.9    20   215    41   252     5   256 0.90 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 514121at33208        -            220   1.1e-81  270.8  44.2   1   4   2.8e-27   2.2e-25   86.6   4.9    23   176   164   319   149   322 0.93 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 514121at33208        -            220   1.1e-81  270.8  44.2   2   4   8.4e-23   6.7e-21   72.0   2.4    21   177   323   484   320   486 0.93 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 514121at33208        -            220   1.1e-81  270.8  44.2   3   4   1.8e-28   1.4e-26   90.5   8.2    20   178   416   577   412   578 0.94 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 514121at33208        -            220   1.1e-81  270.8  44.2   4   4   1.5e-20   1.2e-18   64.6   5.1    32   151   500   620   498   623 0.95 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 514121at33208        -            220   5.1e-52  173.7  24.6   1   3   8.6e-10   6.8e-08   29.5   0.2    32    97    28    94    21    95 0.90 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 514121at33208        -            220   5.1e-52  173.7  24.6   2   3   1.3e-27     1e-25   87.8   5.9    26   178    67   221    67   222 0.95 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 514121at33208        -            220   5.1e-52  173.7  24.6   3   3   3.2e-25   2.5e-23   79.9   9.6    38   177   219   358   217   363 0.95 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 514121at33208        -            220   5.9e-46  153.9  28.2   1   3     2e-17   1.6e-15   54.4   3.3    32   129    34   132    21   132 0.87 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 514121at33208        -            220   5.9e-46  153.9  28.2   2   3   5.1e-16     4e-14   49.8   4.7    55   164    82   193    78   200 0.89 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 514121at33208        -            220   5.9e-46  153.9  28.2   3   3   3.3e-24   2.7e-22   76.6   4.5    32   175   201   346   196   351 0.95 -
