knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN81229_c1_g1	TRINITY_DN76831_c11_g2
TRINITY_DN81229_c3_g1	TRINITY_DN89641_c0_g1
TRINITY_DN81229_c2_g1	TRINITY_DN92810_c0_g2
TRINITY_DN88471_c2_g3	TRINITY_DN93288_c12_g1
TRINITY_DN80418_c10_g1	TRINITY_DN93288_c11_g1
TRINITY_DN81229_c4_g1	TRINITY_DN90515_c1_g1
TRINITY_DN88471_c2_g2	TRINITY_DN89641_c5_g1
TRINITY_DN88471_c2_g1	TRINITY_DN93288_c13_g1
TRINITY_DN89789_c6_g2	TRINITY_DN93288_c11_g2
TRINITY_DN88471_c1_g1	TRINITY_DN72297_c9_g1
TRINITY_DN82695_c4_g1	TRINITY_DN92506_c6_g1
TRINITY_DN88471_c2_g4	TRINITY_DN89641_c2_g1
TRINITY_DN87001_c10_g1	TRINITY_DN92289_c18_g9
TRINITY_DN90492_c0_g1	TRINITY_DN84738_c6_g1
TRINITY_DN89600_c0_g1	TRINITY_DN90565_c0_g3
TRINITY_DN75844_c7_g4	TRINITY_DN81092_c8_g1
TRINITY_DN90300_c6_g4	TRINITY_DN89752_c3_g2
TRINITY_DN72829_c0_g1	TRINITY_DN90125_c11_g2
TRINITY_DN89789_c6_g1	TRINITY_DN91982_c2_g1
TRINITY_DN92998_c1_g2	TRINITY_DN72479_c9_g3
TRINITY_DN88506_c5_g1	TRINITY_DN76218_c9_g2
TRINITY_DN81856_c6_g2	TRINITY_DN87307_c6_g1
TRINITY_DN81856_c6_g1	TRINITY_DN87286_c10_g1
TRINITY_DN92998_c1_g1	TRINITY_DN72803_c1_g1
TRINITY_DN86973_c5_g1	TRINITY_DN82553_c9_g2
TRINITY_DN81856_c5_g3	TRINITY_DN81250_c1_g1
TRINITY_DN74491_c8_g1	TRINITY_DN85417_c2_g1
TRINITY_DN93113_c6_g1	TRINITY_DN72763_c2_g1
TRINITY_DN90300_c6_g2	TRINITY_DN91634_c1_g1
TRINITY_DN72829_c0_g2	TRINITY_DN81547_c1_g1
TRINITY_DN89212_c6_g1	TRINITY_DN85243_c1_g1
TRINITY_DN76200_c1_g1	TRINITY_DN83954_c7_g1
TRINITY_DN90492_c0_g2	TRINITY_DN93681_c7_g1
TRINITY_DN73327_c10_g1	TRINITY_DN86171_c2_g4
TRINITY_DN78644_c14_g3	TRINITY_DN90706_c1_g1
TRINITY_DN91064_c9_g1	TRINITY_DN86114_c3_g1
TRINITY_DN92761_c2_g1	TRINITY_DN81998_c5_g2
TRINITY_DN89999_c0_g1	TRINITY_DN83136_c13_g1
TRINITY_DN91064_c7_g1	TRINITY_DN90515_c2_g1
TRINITY_DN83898_c2_g2	TRINITY_DN90218_c9_g1
TRINITY_DN81856_c5_g1	TRINITY_DN78613_c5_g1
TRINITY_DN86973_c3_g1	TRINITY_DN71421_c11_g1
TRINITY_DN88085_c8_g1	TRINITY_DN89982_c0_g1
TRINITY_DN86973_c2_g1	TRINITY_DN90711_c0_g1
TRINITY_DN90813_c1_g1	TRINITY_DN90447_c9_g1
TRINITY_DN93020_c1_g1	TRINITY_DN85095_c2_g2
TRINITY_DN85470_c13_g1	TRINITY_DN91090_c0_g1
TRINITY_DN74429_c11_g3	TRINITY_DN92721_c14_g5
TRINITY_DN85942_c3_g1	TRINITY_DN85290_c15_g2
TRINITY_DN87024_c0_g1	TRINITY_DN86483_c4_g1
TRINITY_DN93113_c3_g2	TRINITY_DN90225_c1_g1
TRINITY_DN91770_c14_g1	TRINITY_DN90711_c0_g2
TRINITY_DN93113_c3_g3	TRINITY_DN92063_c1_g1
TRINITY_DN93748_c7_g3	TRINITY_DN109241_c0_g1
	TRINITY_DN80744_c3_g1
	TRINITY_DN91467_c15_g1
	TRINITY_DN80501_c9_g3
	TRINITY_DN81619_c1_g1
	TRINITY_DN86114_c3_g2
	TRINITY_DN76458_c10_g1
	TRINITY_DN92810_c0_g1
	TRINITY_DN83265_c6_g1
	TRINITY_DN85970_c1_g1
	TRINITY_DN72803_c1_g2
	TRINITY_DN93025_c5_g3
	TRINITY_DN84919_c0_g1
	TRINITY_DN91691_c7_g1
	TRINITY_DN89166_c2_g1
	TRINITY_DN92853_c0_g2
	TRINITY_DN84338_c7_g1
	TRINITY_DN82891_c2_g1
	TRINITY_DN81547_c0_g1
	TRINITY_DN75244_c14_g1
	TRINITY_DN74035_c8_g3
	TRINITY_DN93174_c0_g1
	TRINITY_DN72763_c1_g3
	TRINITY_DN84821_c1_g1
	TRINITY_DN92378_c1_g2
	TRINITY_DN88958_c9_g2
	TRINITY_DN90308_c2_g1
	TRINITY_DN84821_c0_g1
	TRINITY_DN82330_c11_g1
	TRINITY_DN77942_c12_g1
	TRINITY_DN72803_c2_g1
	TRINITY_DN90565_c1_g1
	TRINITY_DN74993_c15_g3
	TRINITY_DN91575_c4_g1
	TRINITY_DN85878_c16_g2
	TRINITY_DN89150_c12_g1
	TRINITY_DN92596_c17_g3
	TRINITY_DN71242_c0_g1
	TRINITY_DN88085_c7_g1
	TRINITY_DN78468_c9_g2
	TRINITY_DN85095_c2_g4
	TRINITY_DN85970_c0_g1
	TRINITY_DN85314_c14_g1
	TRINITY_DN89079_c0_g1
	TRINITY_DN87781_c12_g1
	TRINITY_DN84792_c1_g1
	TRINITY_DN75481_c2_g1
	TRINITY_DN77099_c5_g1
	TRINITY_DN85820_c0_g1
	TRINITY_DN72358_c8_g1
	TRINITY_DN84528_c0_g1
	TRINITY_DN76872_c13_g2
	TRINITY_DN85095_c2_g1
	TRINITY_DN73052_c14_g1
	TRINITY_DN109241_c0_g3
	TRINITY_DN72369_c2_g1
	TRINITY_DN77007_c3_g1
	TRINITY_DN76399_c10_g1
	TRINITY_DN70344_c0_g1
	TRINITY_DN90447_c9_g2
	TRINITY_DN84095_c9_g1
	TRINITY_DN89027_c0_g1
	TRINITY_DN93344_c6_g2
	TRINITY_DN89608_c1_g1
	TRINITY_DN92612_c7_g1
	TRINITY_DN73052_c14_g3
	TRINITY_DN87827_c11_g4
	TRINITY_DN91050_c1_g1
	TRINITY_DN89769_c2_g1
	TRINITY_DN86171_c2_g2
	TRINITY_DN74017_c1_g1
	TRINITY_DN65756_c0_g1
	TRINITY_DN82818_c2_g1
	TRINITY_DN91691_c7_g2
	TRINITY_DN92612_c1_g1
	TRINITY_DN76457_c5_g1
	TRINITY_DN89735_c11_g1
	TRINITY_DN74142_c11_g1
	TRINITY_DN92057_c1_g1
	TRINITY_DN80615_c0_g1
	TRINITY_DN80408_c12_g1
	TRINITY_DN72302_c3_g1
	TRINITY_DN77075_c3_g1
	TRINITY_DN80672_c0_g1
	TRINITY_DN86485_c0_g3
	TRINITY_DN91691_c9_g1
	TRINITY_DN84715_c0_g1
	TRINITY_DN90181_c0_g1
	TRINITY_DN89817_c0_g1
	TRINITY_DN90616_c8_g3
	TRINITY_DN71319_c5_g1
	TRINITY_DN83985_c13_g2
	TRINITY_DN77289_c15_g2
	TRINITY_DN86161_c9_g1
	TRINITY_DN85331_c3_g1
	TRINITY_DN86171_c5_g1
	TRINITY_DN83262_c10_g1
	TRINITY_DN85095_c3_g1
	TRINITY_DN92612_c1_g2
	TRINITY_DN93701_c4_g2
	TRINITY_DN91050_c6_g4
	TRINITY_DN75179_c3_g3
	TRINITY_DN71819_c12_g2
	TRINITY_DN91691_c6_g1
	TRINITY_DN90168_c7_g1
	TRINITY_DN91975_c1_g1
	TRINITY_DN92612_c5_g1
	TRINITY_DN86647_c0_g1
	TRINITY_DN85889_c11_g1
	TRINITY_DN85149_c1_g1
	TRINITY_DN84528_c1_g1
	TRINITY_DN72776_c1_g1
	TRINITY_DN72776_c0_g2
	TRINITY_DN86171_c3_g1
	TRINITY_DN74618_c11_g2
	TRINITY_DN92200_c12_g3
	TRINITY_DN78806_c11_g1
	TRINITY_DN91050_c6_g3
	TRINITY_DN81432_c4_g1
	TRINITY_DN82160_c12_g1
	TRINITY_DN93681_c8_g1
	TRINITY_DN86171_c2_g3
	TRINITY_DN91284_c4_g1
	TRINITY_DN91330_c6_g2
	TRINITY_DN71421_c18_g3
	TRINITY_DN84567_c7_g1
	TRINITY_DN82509_c13_g1
	TRINITY_DN80486_c7_g1
	TRINITY_DN91773_c2_g1
	TRINITY_DN82346_c20_g1
	TRINITY_DN77007_c2_g1
	TRINITY_DN71421_c18_g1
	TRINITY_DN76854_c8_g1
	TRINITY_DN93054_c8_g2
	TRINITY_DN88213_c2_g1
	TRINITY_DN83140_c0_g1
	TRINITY_DN83886_c9_g1
	TRINITY_DN90969_c13_g3
	TRINITY_DN101446_c7_g1
	TRINITY_DN87971_c9_g2
	TRINITY_DN89608_c1_g2
	TRINITY_DN89527_c4_g1
	TRINITY_DN101450_c2_g3
	TRINITY_DN90934_c0_g2
	TRINITY_DN73052_c19_g1
	TRINITY_DN89003_c3_g2
	TRINITY_DN73996_c7_g1
	TRINITY_DN90491_c7_g1
	TRINITY_DN93344_c6_g1
	TRINITY_DN86171_c2_g5
	TRINITY_DN93681_c4_g1
	TRINITY_DN82828_c13_g1
	TRINITY_DN86485_c0_g4
	TRINITY_DN89045_c7_g1
	TRINITY_DN90103_c11_g1
	TRINITY_DN81713_c7_g1
	TRINITY_DN73550_c0_g1
	TRINITY_DN83265_c7_g1
	TRINITY_DN90273_c8_g1
	TRINITY_DN87053_c6_g2
	TRINITY_DN73604_c2_g1
	TRINITY_DN74306_c1_g1
	TRINITY_DN82346_c14_g1
	TRINITY_DN73287_c0_g1
	TRINITY_DN74925_c7_g1
	TRINITY_DN92295_c0_g1
