#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83303at6656_6973_0:00313d|TRINITY_DN91732_c6_g2_i1:1-318|+        -            106 83303at6656          -            284   3.4e-62  207.7   1.5   1   1   7.3e-64     4e-62  207.5   1.5    27   126     5   106     2   106 0.97 -
83303at6656_121845_0:000632|TRINITY_DN91732_c5_g4_i1:75-347|+     -             91 83303at6656          -            284     1e-26   91.3   0.5   1   1   2.6e-28   1.5e-26   90.8   0.5     2    69    12    91    11    91 0.86 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   1.5e-19   67.7  12.6   1   4     2e-10   1.1e-08   32.1   1.3    28   101     3    78     1    84 0.88 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   1.5e-19   67.7  12.6   2   4     6e-10   3.3e-08   30.5   1.1    22   151    86   216    81   217 0.86 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   1.5e-19   67.7  12.6   3   4     0.012      0.65    6.6   0.1    32    63   243   274   227   307 0.79 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 83303at6656          -            284   1.5e-19   67.7  12.6   4   4       1.7        93   -0.5   0.0    30    60   292   323   275   325 0.64 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 83303at6656          -            284   2.2e-14   50.8   0.9   1   4    0.0002     0.011   12.4   0.0    33   100     3    69     1    75 0.83 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 83303at6656          -            284   2.2e-14   50.8   0.9   2   4     4e-05    0.0022   14.7   0.1   134   210    58   127    56   129 0.75 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 83303at6656          -            284   2.2e-14   50.8   0.9   3   4   0.00032     0.017   11.8   0.0   169   209   128   168   125   173 0.85 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 83303at6656          -            284   2.2e-14   50.8   0.9   4   4    0.0049      0.27    7.9   0.0   170   205   171   206   161   211 0.83 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 83303at6656          -            284   5.5e-13   46.2   4.2   1   2   1.5e-08     8e-07   26.0   0.3    27   144    35   147     1   152 0.78 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 83303at6656          -            284   5.5e-13   46.2   4.2   2   2   3.9e-07   2.2e-05   21.3   0.3    27   146   162   280   158   282 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 83303at6656          -            284   7.8e-12   42.4   8.5   1   3      0.01      0.58    6.8   0.0    30    74     2    47     1    58 0.79 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 83303at6656          -            284   7.8e-12   42.4   8.5   2   3   7.8e-08   4.3e-06   23.6   0.4    27   147    95   210    90   210 0.81 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 83303at6656          -            284   7.8e-12   42.4   8.5   3   3     0.091       5.1    3.7   0.1    32   200   263   294   227   323 0.72 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 83303at6656          -            284   8.7e-11   39.0   0.7   1   4   5.2e-06   0.00029   17.6   0.1   130   249    63   187    55   211 0.76 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 83303at6656          -            284   8.7e-11   39.0   0.7   2   4      0.69        38    0.8   0.0    27    61   218   252   185   258 0.72 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 83303at6656          -            284   8.7e-11   39.0   0.7   3   4   7.2e-05     0.004   13.9   0.0    17    63   257   304   252   308 0.77 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 83303at6656          -            284   8.7e-11   39.0   0.7   4   4      0.33        18    1.9   0.0    24    59   307   342   303   345 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 83303at6656          -            284   1.6e-10   38.2   0.5   1   2   0.00016    0.0088   12.8   0.6    27   110    35   117    24   157 0.81 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 83303at6656          -            284   1.6e-10   38.2   0.5   2   2   2.7e-07   1.5e-05   21.9   0.0    27   150   165   288   157   317 0.86 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 83303at6656          -            284   1.8e-09   34.7   1.1   1   1   8.5e-11   4.7e-09   33.3   1.1     3   153   181   340   179   353 0.75 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 83303at6656          -            284   2.7e-09   34.1   1.8   1   3    0.0094      0.52    6.9   0.2   145   203    11    64     1    75 0.72 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 83303at6656          -            284   2.7e-09   34.1   1.8   2   3   1.3e-07   7.2e-06   22.9   0.0    27    97   109   179    91   190 0.87 -
