#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 40929at6656          -            563    5e-205  679.6   0.0   1   1  3.3e-206  7.1e-205  679.1   0.0     1   464   104   619   104   619 0.91 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 40929at6656          -            563   3.2e-77  257.7  11.3   1   5   1.8e-07   3.8e-06   23.0   0.0    56   101     1    46     1    77 0.78 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 40929at6656          -            563   3.2e-77  257.7  11.3   2   5   8.6e-12   1.9e-10   37.3   0.0   238   297   180   242   173   246 0.91 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 40929at6656          -            563   3.2e-77  257.7  11.3   3   5   4.7e-53     1e-51  173.5   2.7   327   465   303   441   300   443 0.97 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 40929at6656          -            563   3.2e-77  257.7  11.3   4   5   9.5e-09     2e-07   27.2   0.0   414   457   432   475   431   489 0.89 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 40929at6656          -            563   3.2e-77  257.7  11.3   5   5     0.023      0.49    6.2   0.1   335   363   493   521   482   521 0.88 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 40929at6656          -            563   7.2e-48  160.8   1.8   1   3   1.7e-17   3.7e-16   56.1   0.7   377   471     2    96     1    97 0.97 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 40929at6656          -            563   7.2e-48  160.8   1.8   2   3     7e-30   1.5e-28   97.0   0.2   334   468    85   220    83   227 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 40929at6656          -            563   7.2e-48  160.8   1.8   3   3   3.7e-05   0.00078   15.4   0.0   387   448   225   289   219   289 0.86 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 40929at6656          -            563   9.2e-48  160.4  14.4   1   3   3.5e-26   7.5e-25   84.8   2.0   336   453     1   118     1   120 0.98 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 40929at6656          -            563   9.2e-48  160.4  14.4   2   3   4.8e-24     1e-22   77.7   1.2   329   454    78   203    75   209 0.96 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 40929at6656          -            563   9.2e-48  160.4  14.4   3   3   2.7e-06   5.9e-05   19.1   0.1   334   366   209   241   201   244 0.88 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 40929at6656          -            563   1.3e-42  143.4  15.3   1   4   1.1e-16   2.4e-15   53.4   2.5   334   453     4    84     1    88 0.48 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 40929at6656          -            563   1.3e-42  143.4  15.3   2   4   1.8e-15   3.9e-14   49.4   0.1   372   449    89   169    86   175 0.93 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 40929at6656          -            563   1.3e-42  143.4  15.3   3   4   2.6e-07   5.6e-06   22.5   0.2   370   408   176   214   173   218 0.88 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 40929at6656          -            563   1.3e-42  143.4  15.3   4   4   2.5e-08   5.5e-07   25.8   0.1   369   450   232   324   229   325 0.83 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 40929at6656          -            563   2.2e-42  142.7  12.0   1   2   1.7e-32   3.6e-31  105.6   4.7   330   473     8   151     4   156 0.95 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 40929at6656          -            563   2.2e-42  142.7  12.0   2   2   3.3e-15   7.1e-14   48.5   0.7   352   432   114   194   113   203 0.94 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 40929at6656          -            563   2.6e-42  142.4   6.0   1   3   1.1e-12   2.4e-11   40.2   0.1   396   464   239   307   236   308 0.97 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 40929at6656          -            563   2.6e-42  142.4   6.0   2   3     1e-17   2.2e-16   56.8   0.1   334   453   303   424   296   432 0.89 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 40929at6656          -            563   2.6e-42  142.4   6.0   3   3   1.3e-19   2.9e-18   63.1   0.3   332   449   387   503   383   504 0.93 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 40929at6656          -            563   5.8e-38  128.1   0.2   1   2   1.9e-20   4.2e-19   65.8   0.0   336   463     5   133     1   133 0.91 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 40929at6656          -            563   5.8e-38  128.1   0.2   2   2   2.4e-19     5e-18   62.3   0.1   334   443   130   239   122   248 0.71 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 40929at6656          -            563   3.5e-37  125.5   1.9   1   3   8.3e-06   0.00018   17.5   0.0   380   434    69   123    56   131 0.90 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 40929at6656          -            563   3.5e-37  125.5   1.9   2   3   3.2e-16   6.8e-15   51.9   0.0   348   467   129   247   123   252 0.92 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 40929at6656          -            563   3.5e-37  125.5   1.9   3   3   6.4e-20   1.4e-18   64.1   0.3   334   449   240   356   238   358 0.97 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 40929at6656          -            563   9.6e-37  124.1   4.3   1   3   1.1e-17   2.3e-16   56.8   0.5   332   453    49   172    44   187 0.92 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 40929at6656          -            563   9.6e-37  124.1   4.3   2   3       0.2       4.3    3.0   0.0   490   517   186   213   175   215 0.80 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 40929at6656          -            563   9.6e-37  124.1   4.3   3   3   3.3e-20   7.1e-19   65.1   0.0   330   448   216   342   212   345 0.89 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 40929at6656          -            563   1.1e-36  123.8  11.7   1   3   2.6e-08   5.6e-07   25.8   0.2   334   411     1    91     1    96 0.77 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 40929at6656          -            563   1.1e-36  123.8  11.7   2   3   2.3e-17   4.8e-16   55.7   0.1   334   448    97   210    92   213 0.95 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 40929at6656          -            563   1.1e-36  123.8  11.7   3   3   7.8e-15   1.7e-13   47.3   2.5   348   420   232   304   222   316 0.90 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 40929at6656          -            563   8.7e-36  120.9   8.1   1   3   9.1e-14     2e-12   43.8   1.6   333   465    36   172    29   178 0.87 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 40929at6656          -            563   8.7e-36  120.9   8.1   2   3   4.3e-16   9.2e-15   51.5   0.1   376   457   167   250   164   257 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 40929at6656          -            563   8.7e-36  120.9   8.1   3   3   3.5e-10   7.4e-09   32.0   0.2   379   449   258   328   249   329 0.94 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 40929at6656          -            563   6.9e-34  114.6  16.6   1   5   6.6e-05    0.0014   14.6   0.1   337   379   103   145    97   157 0.87 -
