#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 56523at6656          -            483  8.3e-227  750.8  21.1   1   1  9.9e-229    1e-226  750.5  21.1     7   483   128   641   122   641 0.94 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 56523at6656          -            483   2.9e-42  142.2  23.8   1   4   5.1e-13   5.4e-11   39.1   0.2    48   126    15    95     5    97 0.91 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 56523at6656          -            483   2.9e-42  142.2  23.8   2   4   1.5e-08   1.5e-06   24.4   0.1    67   118    82   133    80   135 0.92 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 56523at6656          -            483   2.9e-42  142.2  23.8   3   4   2.7e-13   2.8e-11   40.0   3.3   355   446    92   184    92   189 0.94 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 56523at6656          -            483   2.9e-42  142.2  23.8   4   4   4.6e-23   4.9e-21   72.3   3.3   237   396   180   346   179   351 0.85 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 56523at6656          -            483   1.6e-40  136.5   5.8   1   2   8.8e-29   9.2e-27   91.1   1.2   287   429     2   149     1   150 0.90 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 56523at6656          -            483   1.6e-40  136.5   5.8   2   2   1.1e-17   1.1e-15   54.6   0.2   354   432   120   198   120   199 0.98 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 56523at6656          -            483   7.2e-36  121.2  30.4   1   4   2.8e-13   2.9e-11   40.0   6.2   200   308     4   117     1   127 0.83 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 56523at6656          -            483   7.2e-36  121.2  30.4   2   4   4.8e-16     5e-14   49.1   2.5   221   305   126   210   117   213 0.94 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 56523at6656          -            483   7.2e-36  121.2  30.4   3   4   2.4e-12   2.6e-10   36.9   2.0   227   325   204   304   203   322 0.86 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 56523at6656          -            483   7.2e-36  121.2  30.4   4   4   1.1e-05    0.0012   14.9   1.1   226   278   311   363   293   365 0.84 -
87527at6656_34740_0:003847|TRINITY_DN91669_c1_g1_i4:830-1363|+      -            178 56523at6656          -            483   5.9e-31  104.9  11.6   1   2     1e-19   1.1e-17   61.2   4.5   329   427     5   104     1   107 0.94 -
87527at6656_34740_0:003847|TRINITY_DN91669_c1_g1_i4:830-1363|+      -            178 56523at6656          -            483   5.9e-31  104.9  11.6   2   2   1.1e-16   1.1e-14   51.3   0.8    52   131    99   177    97   178 0.92 -
87527at6656_35525_0:001861|TRINITY_DN75758_c13_g1_i1:587-1147|+     -            187 56523at6656          -            483   7.4e-28   94.7  12.1   1   2   5.9e-13   6.2e-11   38.9   6.5   351   434     3    88     1    91 0.83 -
87527at6656_35525_0:001861|TRINITY_DN75758_c13_g1_i1:587-1147|+     -            187 56523at6656          -            483   7.4e-28   94.7  12.1   2   2   1.7e-19   1.8e-17   60.5   0.6   341   434    87   180    85   185 0.94 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 56523at6656          -            483   3.6e-27   92.5   0.6   1   2   5.2e-17   5.5e-15   52.3   0.7    56   135     3    82     1    88 0.96 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 56523at6656          -            483   3.6e-27   92.5   0.6   2   2   8.2e-13   8.6e-11   38.5   0.0   350   436    88   172    84   176 0.88 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 56523at6656          -            483   3.3e-26   89.3  13.2   1   3   1.3e-14   1.4e-12   44.4   3.0    57   126    40   109    14   111 0.72 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 56523at6656          -            483   3.3e-26   89.3  13.2   2   3     3e-14   3.1e-12   43.2   1.9    51   116   103   168   103   175 0.93 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 56523at6656          -            483   3.3e-26   89.3  13.2   3   3   0.00011     0.012   11.6   0.1    54    85   174   205   171   205 0.80 -
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 56523at6656          -            483     6e-26   88.5   7.3   1   2   1.7e-25   1.7e-23   80.3   1.9   331   462    17   151     9   152 0.94 -
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 56523at6656          -            483     6e-26   88.5   7.3   2   2   1.6e-06   0.00017   17.7   0.3    35    97   136   201   132   218 0.50 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 56523at6656          -            483   1.8e-25   86.9   9.2   1   2     1e-15   1.1e-13   48.0   3.2    33   134    17   122     2   128 0.88 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 56523at6656          -            483   1.8e-25   86.9   9.2   2   2   4.5e-14   4.8e-12   42.6   0.4   352   435   134   220   126   229 0.88 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 56523at6656          -            483   1.4e-23   80.6   9.5   1   3   3.8e-08     4e-06   23.1   1.0    60   110     4    54     1    56 0.88 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 56523at6656          -            483   1.4e-23   80.6   9.5   2   3   1.8e-14   1.9e-12   43.9   1.3    59   119    49   108    49   113 0.94 -
