#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
60682at6656_6958_0:00195d|TRINITY_DN77170_c8_g2_i3:265-702|+     -            146 60682at6656          -            267   4.9e-33  112.0   0.1   1   1   4.5e-35   5.9e-33  111.7   0.1     2   130     4   145     3   146 0.85 -
60682at6656_217634_0:0035ec|TRINITY_DN88197_c2_g3_i2:780-1259|+  -            160 60682at6656          -            267   1.6e-31  107.0   0.0   1   1   2.6e-33   3.4e-31  105.9   0.0     1   126    10   149    10   155 0.88 -
60682at6656_6973_0:006d1e|TRINITY_DN86588_c12_g3_i3:2933-3361|-  -            143 60682at6656          -            267   3.3e-31  106.0   0.0   1   1   2.9e-33   3.8e-31  105.8   0.0     8   131     1   130     1   141 0.88 -
60682at6656_35525_0:0055a8|TRINITY_DN57379_c0_g1_i3:7-591|-      -            195 60682at6656          -            267   1.3e-30  104.1   0.0   1   1   1.1e-32   1.5e-30  103.8   0.0     2   157     3   170     2   179 0.84 -
60682at6656_77166_0:00277b|TRINITY_DN90309_c12_g2_i1:754-1266|+  -            171 60682at6656          -            267   5.5e-30  102.0   0.0   1   1   5.1e-32   6.7e-30  101.7   0.0     2   130     1   137     1   163 0.87 -
60682at6656_64793_0:000e92|TRINITY_DN90464_c10_g4_i1:789-1355|+  -            189 60682at6656          -            267   2.1e-29  100.1   0.0   1   1   1.8e-31   2.4e-29   99.9   0.0     2   128    55   188    54   189 0.89 -
60682at6656_6973_0:006d1e|TRINITY_DN82374_c9_g3_i1:547-879|-     -            111 60682at6656          -            267   4.1e-26   89.3   0.0   1   1   3.1e-28   4.1e-26   89.2   0.0    39   125    23   111     1   111 0.88 -
60682at6656_126957_0:0002e6|TRINITY_DN83462_c10_g1_i7:63-666|-   -             98 60682at6656          -            267     5e-20   69.3   0.4   1   1     4e-22   5.3e-20   69.2   0.4   181   256     2    97     1    98 0.91 -
60682at6656_6973_0:006475|TRINITY_DN76249_c11_g1_i2:85-378|+     -             98 60682at6656          -            267   4.7e-10   36.6   0.0   1   1   3.7e-12   4.9e-10   36.6   0.0    45   129     9    98     1    98 0.83 -
160705at6656_7004_0:003f1b|TRINITY_DN73389_c13_g6_i6:2130-2759|- -            210 60682at6656          -            267   0.00077   16.2   0.0   1   2         8   1.1e+03   -3.9   0.0   228   237    30    39    28    53 0.73 -
160705at6656_7004_0:003f1b|TRINITY_DN73389_c13_g6_i6:2130-2759|- -            210 60682at6656          -            267   0.00077   16.2   0.0   2   2   1.2e-05    0.0015   15.2   0.0    64   106   114   157   109   165 0.87 -
