#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
143626at6656_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-     -            115 143626at6656         -             90   1.3e-60  199.1   0.4   1   1   1.9e-62   1.5e-60  198.9   0.4     1    90    10    99    10    99 0.99 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90     2e-18   63.9   0.1   1   5    0.0049      0.37    8.5   0.1    11    70     4    64     2    77 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90     2e-18   63.9   0.1   2   5   0.00024     0.018   12.7   0.0    11    75   349   416   342   424 0.74 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90     2e-18   63.9   0.1   3   5   0.00075     0.057   11.1   0.0     8    38   528   558   524   585 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90     2e-18   63.9   0.1   4   5     0.025       1.9    6.2   0.0     5    63   642   701   639   709 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 143626at6656         -             90     2e-18   63.9   0.1   5   5   7.2e-06   0.00055   17.6   0.0    11    68   745   805   739   826 0.81 -
143626at6656_1049336_0:001332|TRINITY_DN78468_c9_g1_i1:43-207|-     -             55 143626at6656         -             90   3.5e-15   53.5   0.8   1   1   6.8e-17   5.2e-15   52.9   0.8    60    90     1    31     1    31 0.97 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   6.7e-12   42.9   0.1   1   4    0.0028      0.21    9.3   0.0    13    69     7    65     3    81 0.79 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   6.7e-12   42.9   0.1   2   4    0.0048      0.37    8.5   0.0    11    63   130   184   124   197 0.81 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   6.7e-12   42.9   0.1   3   4   8.1e-06   0.00061   17.4   0.0     8    77   348   426   344   435 0.73 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 143626at6656         -             90   6.7e-12   42.9   0.1   4   4      0.67        51    1.7   0.0    11    32   504   525   499   538 0.87 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 143626at6656         -             90   1.1e-11   42.2   0.0   1   3    0.0018      0.14    9.9   0.0     9    32     4    27     1    41 0.86 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 143626at6656         -             90   1.1e-11   42.2   0.0   2   3   6.2e-05    0.0047   14.6   0.0     9    79   123   196   116   204 0.81 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 143626at6656         -             90   1.1e-11   42.2   0.0   3   3   8.9e-05    0.0067   14.1   0.0    27    88   260   326   248   328 0.75 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 143626at6656         -             90   3.7e-11   40.6   0.0   1   3     0.032       2.5    5.9   0.0    13    54     3    47     1    64 0.66 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 143626at6656         -             90   3.7e-11   40.6   0.0   2   3    0.0006     0.045   11.4   0.0     8    86    85   168    80   174 0.81 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 143626at6656         -             90   3.7e-11   40.6   0.0   3   3   2.7e-06   0.00021   18.9   0.0    11    81   366   439   361   444 0.80 -
39506at6656_7176_0:001e33|TRINITY_DN81038_c3_g2_i5:314-805|-        -            164 143626at6656         -             90   5.6e-10   36.8   0.0   1   2   1.6e-06   0.00012   19.7   0.0     4    60     5    64     3    81 0.83 -
39506at6656_7176_0:001e33|TRINITY_DN81038_c3_g2_i5:314-805|-        -            164 143626at6656         -             90   5.6e-10   36.8   0.0   2   2   3.8e-05    0.0029   15.3   0.0    11    64   103   159    96   164 0.75 -
143626at6656_7493_0:00073d|TRINITY_DN80683_c11_g1_i2:345-602|-      -             86 143626at6656         -             90     7e-10   36.5   0.0   1   1   1.1e-11   8.2e-10   36.2   0.0    10    83     3    79     1    85 0.82 -
137711at6656_62324_0:00096a|TRINITY_DN81419_c9_g1_i1:561-851|-      -             97 143626at6656         -             90     4e-09   34.0   0.0   1   1   6.8e-11   5.2e-09   33.7   0.0     5    82     3    83     2    89 0.87 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 143626at6656         -             90     1e-08   32.8   0.2   1   3   1.4e-05    0.0011   16.6   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 143626at6656         -             90     1e-08   32.8   0.2   2   3       2.7   2.1e+02   -0.3   0.0    10    21    94   105    83   110 0.79 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 143626at6656         -             90     1e-08   32.8   0.2   3   3    0.0002     0.015   13.0   0.0    10    65   111   169   104   175 0.80 -
137711at6656_6958_0:001629|TRINITY_DN91187_c13_g1_i1:120-542|+      -            141 143626at6656         -             90   2.6e-07   28.2   0.0   1   1   4.7e-09   3.6e-07   27.8   0.0    12    80    39   110    35   120 0.84 -
80689at6656_56086_0:002e85|TRINITY_DN73894_c3_g1_i1:395-880|+       -            162 143626at6656         -             90   4.8e-07   27.4   0.0   1   2   7.1e-07   5.4e-05   20.8   0.0    11    67     2    64     1    71 0.80 -
80689at6656_56086_0:002e85|TRINITY_DN73894_c3_g1_i1:395-880|+       -            162 143626at6656         -             90   4.8e-07   27.4   0.0   2   2     0.069       5.2    4.8   0.0    12    56    83   130    77   150 0.80 -
137711at6656_441921_0:0017da|TRINITY_DN76980_c8_g1_i1:79-306|-      -             76 143626at6656         -             90   6.4e-07   27.0   0.0   1   1   9.6e-09   7.3e-07   26.8   0.0    11    73     1    65     1    73 0.85 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 143626at6656         -             90   8.9e-07   26.5   0.0   1   2      0.67        51    1.7   0.0    10    63     7    63     2    73 0.77 -
