#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+   -            459 93152at6656          -            344  4.6e-140  464.0  10.0   1   1  5.8e-142  7.3e-140  463.4  10.0     2   332    41   395    40   408 0.92 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 93152at6656          -            344   2.5e-17   60.4   4.5   1   4    0.0058      0.73    6.3   0.1    71   121     8    58     5    64 0.80 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 93152at6656          -            344   2.5e-17   60.4   4.5   2   4   0.00088      0.11    9.0   0.0   213   266    65   118    52   120 0.83 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 93152at6656          -            344   2.5e-17   60.4   4.5   3   4   4.2e-13   5.3e-11   39.7   0.2   192   286   112   206   105   210 0.93 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 93152at6656          -            344   2.5e-17   60.4   4.5   4   4    0.0057      0.72    6.3   0.0    38    94   211   269   206   278 0.72 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+    -            358 93152at6656          -            344   2.8e-14   50.4   3.1   1   2   2.9e-14   3.7e-12   43.5   0.5   144   333    92   289    66   299 0.88 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+    -            358 93152at6656          -            344   2.8e-14   50.4   3.1   2   2    0.0038      0.48    6.9   0.1   207   265   296   354   287   358 0.81 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+  -            329 93152at6656          -            344   8.2e-14   48.9   0.3   1   2   0.00012     0.015   11.9   0.0   121   174    75   128    15   144 0.87 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+  -            329 93152at6656          -            344   8.2e-14   48.9   0.3   2   2   1.1e-11   1.4e-09   35.0   0.2   124   267   146   296   130   320 0.88 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+   -            135 93152at6656          -            344   1.2e-13   48.3   0.4   1   1   3.1e-15     4e-13   46.6   0.4   184   296    18   133     3   134 0.89 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+   -            498 93152at6656          -            344   3.4e-13   46.8   2.8   1   2     0.056       7.1    3.1   0.0   288   331   152   195   133   204 0.81 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+   -            498 93152at6656          -            344   3.4e-13   46.8   2.8   2   2   6.8e-14   8.6e-12   42.3   1.5   125   315   245   443   228   463 0.84 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+  -            550 93152at6656          -            344   2.4e-12   44.1   6.2   1   4   0.00039      0.05   10.1   0.1   192   239    11    58     3    70 0.85 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+  -            550 93152at6656          -            344   2.4e-12   44.1   6.2   2   4     0.064       8.1    2.9   0.0   292   321    80   109    73   123 0.77 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+  -            550 93152at6656          -            344   2.4e-12   44.1   6.2   3   4   0.00082       0.1    9.1   0.5   197   245   246   294   234   299 0.66 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+  -            550 93152at6656          -            344   2.4e-12   44.1   6.2   4   4   2.3e-07   2.9e-05   20.8   0.0   126   287   313   471   308   478 0.85 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 93152at6656          -            344   1.3e-11   41.7   5.2   1   4    0.0058      0.74    6.3   0.7    66   167    85   186    70   217 0.58 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 93152at6656          -            344   1.3e-11   41.7   5.2   2   4   3.6e-05    0.0046   13.6   0.0   130   249   272   402   265   404 0.75 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 93152at6656          -            344   1.3e-11   41.7   5.2   3   4   9.3e-09   1.2e-06   25.4   0.0    40   184   344   511   339   516 0.80 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 93152at6656          -            344   1.3e-11   41.7   5.2   4   4    0.0074      0.94    6.0   0.1   110   161   502   555   498   574 0.84 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 93152at6656          -            344     5e-11   39.7   6.8   1   7      0.29        37    0.7   0.0   136   167   308   339   285   394 0.71 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 93152at6656          -            344     5e-11   39.7   6.8   2   7     0.057       7.2    3.0   0.0   141   223   343   423   314   423 0.81 -
