#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i1:41-2104|+    -            688 31333at6656          -            560  2.9e-240  796.2  14.0   1   1  3.4e-241  4.4e-239  792.3  14.0     5   557    15   686    12   688 0.87 -
55094at6656_294128_0:002e5b|TRINITY_DN90053_c5_g5_i2:186-1379|+   -            398 31333at6656          -            560   1.7e-10   37.7   0.2   1   1   2.5e-12   3.2e-10   36.7   0.2   185   460    72   395    59   398 0.69 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 31333at6656          -            560   3.7e-09   33.2   0.1   1   4     0.003       0.4    6.7   0.0   189   224     5    41     2    44 0.75 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 31333at6656          -            560   3.7e-09   33.2   0.1   2   4   8.1e-06    0.0011   15.2   0.0   159   222    51   123    43   133 0.73 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 31333at6656          -            560   3.7e-09   33.2   0.1   3   4     0.035       4.6    3.2   0.0   189   224   131   167   121   171 0.76 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 31333at6656          -            560   3.7e-09   33.2   0.1   4   4    0.0051      0.67    6.0   0.0   398   466   137   210   132   233 0.68 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 31333at6656          -            560     3e-07   26.9   0.5   1   4   0.00097      0.13    8.3   0.0   158   219    10    80     3    87 0.61 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 31333at6656          -            560     3e-07   26.9   0.5   2   4     0.018       2.3    4.2   0.0   188   220    90   123    82   131 0.80 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 31333at6656          -            560     3e-07   26.9   0.5   3   4    0.0023      0.31    7.1   0.0   430   462   177   210   159   218 0.65 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 31333at6656          -            560     3e-07   26.9   0.5   4   4     0.098        13    1.7   0.0   438   461   230   253   212   259 0.84 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+  -            287 31333at6656          -            560   4.1e-07   26.5   0.5   1   3     3e-08     4e-06   23.2   0.0   157   218     4    78     2   128 0.81 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+  -            287 31333at6656          -            560   4.1e-07   26.5   0.5   2   3      0.31        41    0.1   0.0   430   465   174   209   166   214 0.72 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+  -            287 31333at6656          -            560   4.1e-07   26.5   0.5   3   3      0.81   1.1e+02   -1.3   0.0   431   462   220   252   211   258 0.79 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 31333at6656          -            560   1.4e-06   24.8   0.9   1   4    0.0021      0.28    7.2   0.0   435   461    11    38     2    76 0.91 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 31333at6656          -            560   1.4e-06   24.8   0.9   2   4      0.26        35    0.3   0.0   424   470   185   231   165   242 0.85 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 31333at6656          -            560   1.4e-06   24.8   0.9   3   4     0.024       3.2    3.7   0.1   430   460   248   279   242   284 0.82 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 31333at6656          -            560   1.4e-06   24.8   0.9   4   4   0.00092      0.12    8.4   0.0   190   227   290   329   283   333 0.77 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 31333at6656          -            560   9.7e-06   22.0   0.6   1   2   8.5e-05     0.011   11.8   0.1   422   458    53    89    18    99 0.82 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 31333at6656          -            560   9.7e-06   22.0   0.6   2   2   0.00061     0.081    9.0   0.0   186   230    99   144    92   174 0.81 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-    -            307 31333at6656          -            560   1.6e-05   21.2   0.0   1   3   8.8e-06    0.0012   15.1   0.0   187   225    17    56    10    61 0.87 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-    -            307 31333at6656          -            560   1.6e-05   21.2   0.0   2   3       1.1   1.5e+02   -1.8   0.0   416   452    62    96    59   129 0.76 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-    -            307 31333at6656          -            560   1.6e-05   21.2   0.0   3   3     0.052       6.9    2.6   0.0   408   464   170   228   158   272 0.60 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 31333at6656          -            560   1.9e-05   21.0   0.7   1   3   5.4e-06   0.00072   15.8   0.1   158   219    13    86     5    93 0.73 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 31333at6656          -            560   1.9e-05   21.0   0.7   2   3     0.062       8.1    2.4   0.0   426   455    96   125    86   130 0.78 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 31333at6656          -            560   1.9e-05   21.0   0.7   3   3       1.3   1.7e+02   -2.0   0.0   426   456   294   325   286   325 0.75 -
60356at6656_126957_0:001075|TRINITY_DN74360_c12_g2_i2:0-1751|+    -            584 31333at6656          -            560    0.0001   18.6   0.0   1   1   1.4e-06   0.00018   17.8   0.0   392   460   233   306   223   317 0.73 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 31333at6656          -            560    0.0001   18.5   0.0   1   2      0.48        64   -0.5   0.0   433   462   362   391   322   398 0.81 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 31333at6656          -            560    0.0001   18.5   0.0   2   2   3.6e-06   0.00048   16.4   0.0   157   219   402   473   386   481 0.75 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+   -            374 31333at6656          -            560   0.00017   17.8   2.0   1   2   1.7e-05    0.0023   14.1   0.8   158   280     5   148     1   155 0.71 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+   -            374 31333at6656          -            560   0.00017   17.8   2.0   2   2      0.72        95   -1.1   0.0   228   253   285   314   266   339 0.53 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+    -            572 31333at6656          -            560   0.00031   17.0   0.2   1   2     0.015         2    4.4   0.0   146   219   255   343   251   349 0.66 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+    -            572 31333at6656          -            560   0.00031   17.0   0.2   2   2   0.00033     0.044    9.9   0.0   412   468   418   474   375   479 0.82 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 31333at6656          -            560   0.00041   16.6   0.2   1   4       3.4   4.5e+02   -3.4   0.0   433   457    11    35     5    47 0.78 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 31333at6656          -            560   0.00041   16.6   0.2   2   4      0.26        35    0.3   0.0   426   461    59    94    51   101 0.85 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 31333at6656          -            560   0.00041   16.6   0.2   3   4     0.088        12    1.9   0.0   431   462   105   136    96   147 0.74 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 31333at6656          -            560   0.00041   16.6   0.2   4   4   0.00066     0.087    8.9   0.0   362   461   186   298   173   305 0.66 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 31333at6656          -            560   0.00058   16.1   1.4   1   4      0.18        23    0.9   0.0   184   218    36    70    11    77 0.78 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 31333at6656          -            560   0.00058   16.1   1.4   2   4     0.045       5.9    2.9   0.0   392   462    41   117    32   141 0.64 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 31333at6656          -            560   0.00058   16.1   1.4   3   4      0.16        21    1.1   0.0   160   179   174   194   158   248 0.52 -
