#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31886at6656_438503_0:00162f|TRINITY_DN88427_c12_g1_i2:75-2320|+   -            683 31886at6656          -            574    1e-279  926.3  48.0   1   1  3.3e-282  1.7e-279  925.6  48.0     1   574     7   662     7   662 0.92 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 31886at6656          -            574   2.3e-29   99.7   9.6   1   5    0.0072       3.6    3.3   0.0   416   458   275   317   269   324 0.78 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 31886at6656          -            574   2.3e-29   99.7   9.6   2   5   3.4e-10   1.7e-07   27.5   1.0   304   478   325   492   318   526 0.82 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 31886at6656          -            574   2.3e-29   99.7   9.6   3   5   4.9e-16   2.5e-13   46.8   0.0    72   269   528   728   519   731 0.91 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 31886at6656          -            574   2.3e-29   99.7   9.6   4   5   1.5e-06   0.00075   15.5   0.0    76   152   735   812   727   825 0.87 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 31886at6656          -            574   2.3e-29   99.7   9.6   5   5   0.00027      0.14    8.0   0.5   100   170   824   894   810   912 0.81 -
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 31886at6656          -            574   8.4e-29   97.9  32.2   1   6   0.00012     0.059    9.2   0.2    60   116    11    68     7    76 0.85 -
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 31886at6656          -            574   8.4e-29   97.9  32.2   2   6     4e-11     2e-08   30.6   1.7    89   192    83   188    74   202 0.82 -
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 31886at6656          -            574   8.4e-29   97.9  32.2   3   6    0.0014      0.71    5.7   0.3   328   441   238   348   196   370 0.68 -
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 31886at6656          -            574   8.4e-29   97.9  32.2   4   6   1.3e-09   6.4e-07   25.6   1.9    68   167   379   500   365   534 0.63 -
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 31886at6656          -            574   8.4e-29   97.9  32.2   5   6   6.1e-11   3.1e-08   30.0   2.2   101   269   468   648   462   654 0.71 -
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 31886at6656          -            574   8.4e-29   97.9  32.2   6   6   2.1e-09     1e-06   24.9   0.2   404   486   617   701   611   721 0.76 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i9:2396-3697|-   -            434 31886at6656          -            574   6.2e-12   42.2  10.1   1   2   4.8e-07   0.00024   17.1   1.9   103   212    42   158     8   167 0.70 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i9:2396-3697|-   -            434 31886at6656          -            574   6.2e-12   42.2  10.1   2   2     8e-10     4e-07   26.3   0.2   166   259   260   356   247   367 0.81 -
31886at6656_307491_0:002302|TRINITY_DN85170_c12_g1_i4:2046-3910|- -            469 31886at6656          -            574     1e-05   21.7  13.2   1   4       0.1        53   -0.5   0.0   472   483     5    16     1    35 0.80 -
31886at6656_307491_0:002302|TRINITY_DN85170_c12_g1_i4:2046-3910|- -            469 31886at6656          -            574     1e-05   21.7  13.2   2   4     0.018       9.3    2.0   0.1   268   315    70   119    64   134 0.79 -
31886at6656_307491_0:002302|TRINITY_DN85170_c12_g1_i4:2046-3910|- -            469 31886at6656          -            574     1e-05   21.7  13.2   3   4     8e-06     0.004   13.1   2.4   212   265   137   190   116   209 0.82 -
31886at6656_307491_0:002302|TRINITY_DN85170_c12_g1_i4:2046-3910|- -            469 31886at6656          -            574     1e-05   21.7  13.2   4   4   1.6e-05    0.0083   12.0   0.4   350   453   210   320   198   332 0.79 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 31886at6656          -            574   0.00059   15.8   0.0   1   1   3.5e-06    0.0018   14.3   0.0    83   178   120   215   114   225 0.94 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/31886at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/31886at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/31886at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
