#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 71018at6656          -            402  1.3e-118  393.8   1.7   1   1  4.4e-119    9e-118  391.0   1.7    98   402     1   359     1   359 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 71018at6656          -            402   2.2e-54  182.3   7.1   1   3     5e-15     1e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 71018at6656          -            402   2.2e-54  182.3   7.1   2   3   4.6e-29   9.4e-28   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 71018at6656          -            402   2.2e-54  182.3   7.1   3   3   1.7e-17   3.4e-16   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 71018at6656          -            402   1.7e-46  156.2   1.1   1   3   7.8e-16   1.6e-14   51.0   0.1   293   366     1    74     1    79 0.97 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 71018at6656          -            402   1.7e-46  156.2   1.1   2   3   1.3e-19   2.6e-18   63.5   0.1   293   376    85   168    81   178 0.90 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 71018at6656          -            402   1.7e-46  156.2   1.1   3   3   1.4e-12   2.8e-11   40.3   0.0   298   363   174   239   169   242 0.95 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 71018at6656          -            402   1.2e-44  150.2   1.6   1   3   1.2e-14   2.4e-13   47.1   0.1   264   360   232   330   226   333 0.94 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 71018at6656          -            402   1.2e-44  150.2   1.6   2   3   1.4e-19   2.8e-18   63.3   0.0   281   376   335   432   330   437 0.90 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 71018at6656          -            402   1.2e-44  150.2   1.6   3   3   1.5e-16     3e-15   53.4   0.1   293   399   391   503   388   504 0.86 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 71018at6656          -            402   8.2e-44  147.4   1.8   1   3   9.9e-16     2e-14   50.6   0.1   288   387    48   148    44   152 0.93 -
