#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
20267at6656_35525_0:001778|TRINITY_DN91361_c6_g1_i9:260-2853|+     -            828 20267at6656          -            684  1.2e-220  731.7   5.6   1   1  1.3e-221    1e-219  728.7   5.6     4   684     2   813     1   813 0.86 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 20267at6656          -            684   1.2e-11   41.1   1.4   1   2   1.9e-08   1.5e-06   24.2   0.2    40   116    30   110    17   126 0.84 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 20267at6656          -            684   1.2e-11   41.1   1.4   2   2   6.8e-06   0.00053   15.8   0.0    60   113   137   191   130   214 0.86 -
12771at6656_438503_0:000499|TRINITY_DN91570_c5_g4_i1:420-2723|-    -            768 20267at6656          -            684   1.9e-11   40.4   4.8   1   1   4.6e-13   3.6e-11   39.5   4.8   474   684   447   679   439   679 0.80 -
42577at6656_35525_0:004a6b|TRINITY_DN88709_c6_g1_i7:111-2741|+     -            877 20267at6656          -            684   2.9e-11   39.8   4.0   1   3       1.6   1.3e+02   -2.0   0.1   392   440   327   371   307   377 0.68 -
42577at6656_35525_0:004a6b|TRINITY_DN88709_c6_g1_i7:111-2741|+     -            877 20267at6656          -            684   2.9e-11   39.8   4.0   2   3    0.0035      0.27    6.8   0.1   494   558   462   527   415   531 0.85 -
42577at6656_35525_0:004a6b|TRINITY_DN88709_c6_g1_i7:111-2741|+     -            877 20267at6656          -            684   2.9e-11   39.8   4.0   3   3   3.1e-11   2.4e-09   33.4   0.1   506   572   657   723   653   726 0.95 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 20267at6656          -            684   4.5e-10   35.9   0.1   1   6    0.0062      0.48    6.0   0.0    59    98    47    86     8    94 0.83 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 20267at6656          -            684   4.5e-10   35.9   0.1   2   6   0.00011    0.0085   11.8   0.0    54   117    86   153    84   157 0.81 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 20267at6656          -            684   4.5e-10   35.9   0.1   3   6      0.12       9.4    1.7   0.0    54    93   131   170   131   182 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 20267at6656          -            684   4.5e-10   35.9   0.1   4   6   0.00026      0.02   10.6   0.0    60    95   181   216   174   237 0.86 -
