#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53318at6656_136037_0:0022da|TRINITY_DN80344_c7_g1_i9:126-1689|-   -            396 53318at6656          -            341  5.5e-121  401.0   6.6   1   1  1.7e-122  2.4e-120  398.9   6.6     7   340    10   395     5   396 0.86 -
98725at6656_45779_0:00121c|TRINITY_DN82030_c10_g3_i2:1684-3906|+  -            741 53318at6656          -            341   2.8e-06   23.9   0.6   1   3   0.00013     0.019   11.3   0.1    24    48   197   221   172   227 0.82 -
98725at6656_45779_0:00121c|TRINITY_DN82030_c10_g3_i2:1684-3906|+  -            741 53318at6656          -            341   2.8e-06   23.9   0.6   2   3       1.2   1.8e+02   -1.8   0.0     7    30   295   319   292   324 0.79 -
98725at6656_45779_0:00121c|TRINITY_DN82030_c10_g3_i2:1684-3906|+  -            741 53318at6656          -            341   2.8e-06   23.9   0.6   3   3   0.00044     0.064    9.5   0.0    24    47   545   568   530   580 0.82 -
98725at6656_62625_0:000309|TRINITY_DN80638_c7_g1_i2:287-1891|-    -            535 53318at6656          -            341   4.6e-06   23.2   0.0   1   2   0.00028      0.04   10.2   0.0    23    43     6    26     4    60 0.84 -
98725at6656_62625_0:000309|TRINITY_DN80638_c7_g1_i2:287-1891|-    -            535 53318at6656          -            341   4.6e-06   23.2   0.0   2   2   0.00036     0.052    9.8   0.0    20    46   292   318   268   327 0.78 -
98725at6656_110193_0:000545|TRINITY_DN87078_c11_g1_i1:1551-3050|+ -            500 53318at6656          -            341   9.5e-06   22.1   0.0   1   5    0.0044      0.63    6.3   0.0    25    52     1    27     1    51 0.86 -
98725at6656_110193_0:000545|TRINITY_DN87078_c11_g1_i1:1551-3050|+ -            500 53318at6656          -            341   9.5e-06   22.1   0.0   2   5     0.018       2.6    4.2   0.0   108   154    57   112    33   163 0.74 -
98725at6656_110193_0:000545|TRINITY_DN87078_c11_g1_i1:1551-3050|+ -            500 53318at6656          -            341   9.5e-06   22.1   0.0   3   5       1.6   2.4e+02   -2.2   0.0   307   335   194   222   161   226 0.79 -
98725at6656_110193_0:000545|TRINITY_DN87078_c11_g1_i1:1551-3050|+ -            500 53318at6656          -            341   9.5e-06   22.1   0.0   4   5     0.014       2.1    4.6   0.0    25    47   264   286   243   292 0.90 -
98725at6656_110193_0:000545|TRINITY_DN87078_c11_g1_i1:1551-3050|+ -            500 53318at6656          -            341   9.5e-06   22.1   0.0   5   5       0.3        44    0.2   0.0   104   151   317   368   307   373 0.69 -
98725at6656_217634_0:002a18|TRINITY_DN74051_c0_g1_i2:185-2293|+   -            703 53318at6656          -            341     8e-05   19.1   0.0   1   3     0.012       1.8    4.8   0.0    24    48   221   245   210   256 0.83 -
98725at6656_217634_0:002a18|TRINITY_DN74051_c0_g1_i2:185-2293|+   -            703 53318at6656          -            341     8e-05   19.1   0.0   2   3   0.00025     0.036   10.4   0.0    19    48   489   518   482   526 0.80 -
98725at6656_217634_0:002a18|TRINITY_DN74051_c0_g1_i2:185-2293|+   -            703 53318at6656          -            341     8e-05   19.1   0.0   3   3       1.1   1.6e+02   -1.6   0.0   139   155   595   611   592   612 0.87 -
70201at6656_222816_0:001bb0|TRINITY_DN93263_c8_g1_i1:673-1461|-   -            263 53318at6656          -            341   0.00019   17.8   0.0   1   2   5.6e-06   0.00081   15.8   0.0    11    54    57   100    47   108 0.87 -
70201at6656_222816_0:001bb0|TRINITY_DN93263_c8_g1_i1:673-1461|-   -            263 53318at6656          -            341   0.00019   17.8   0.0   2   2      0.57        82   -0.7   0.0   105   126   126   148   116   151 0.77 -
60299at6656_438502_0:0000d0|TRINITY_DN79770_c2_g1_i4:1048-1638|+  -            197 53318at6656          -            341   0.00037   16.9   0.0   1   2   0.00022     0.032   10.5   0.0    24    45    39    60    34    73 0.78 -
60299at6656_438502_0:0000d0|TRINITY_DN79770_c2_g1_i4:1048-1638|+  -            197 53318at6656          -            341   0.00037   16.9   0.0   2   2     0.019       2.7    4.2   0.0   138   188   142   191   123   194 0.80 -
60299at6656_438502_0:0000d0|TRINITY_DN79770_c2_g2_i9:1201-1791|-  -            197 53318at6656          -            341   0.00037   16.9   0.0   1   2   0.00022     0.032   10.5   0.0    24    45    39    60    34    73 0.78 -
60299at6656_438502_0:0000d0|TRINITY_DN79770_c2_g2_i9:1201-1791|-  -            197 53318at6656          -            341   0.00037   16.9   0.0   2   2     0.019       2.7    4.2   0.0   138   188   142   191   123   194 0.80 -
98725at6656_110193_0:000545|TRINITY_DN80485_c5_g1_i2:827-2152|+   -            442 53318at6656          -            341    0.0013   15.1   2.5   1   4     0.016       2.3    4.4   0.2    19    44    24    48    13    58 0.77 -
98725at6656_110193_0:000545|TRINITY_DN80485_c5_g1_i2:827-2152|+   -            442 53318at6656          -            341    0.0013   15.1   2.5   2   4       0.2        29    0.8   0.1    73   124    58   103    53   142 0.74 -
98725at6656_110193_0:000545|TRINITY_DN80485_c5_g1_i2:827-2152|+   -            442 53318at6656          -            341    0.0013   15.1   2.5   3   4    0.0037      0.53    6.5   0.0    26    47   284   305   277   314 0.84 -
98725at6656_110193_0:000545|TRINITY_DN80485_c5_g1_i2:827-2152|+   -            442 53318at6656          -            341    0.0013   15.1   2.5   4   4       1.1   1.7e+02   -1.7   0.0    83   118   320   350   306   356 0.67 -
70201at6656_438502_0:0002eb|TRINITY_DN81940_c6_g2_i3:185-1030|+   -            282 53318at6656          -            341    0.0015   14.9   0.1   1   2    0.0041      0.59    6.4   0.0    24    47    35    58    20    64 0.83 -
70201at6656_438502_0:0002eb|TRINITY_DN81940_c6_g2_i3:185-1030|+   -            282 53318at6656          -            341    0.0015   14.9   0.1   2   2    0.0045      0.64    6.2   0.2    92   149    78   146    63   163 0.71 -
98725at6656_1629725_0:00159a|TRINITY_DN88835_c2_g1_i1:1358-2379|- -            286 53318at6656          -            341    0.0022   14.4   0.5   1   3    0.0036      0.52    6.6   0.0    20    47    32    59    23    99 0.85 -
98725at6656_1629725_0:00159a|TRINITY_DN88835_c2_g1_i1:1358-2379|- -            286 53318at6656          -            341    0.0022   14.4   0.5   2   3     0.013       1.9    4.7   0.1   138   155   144   161    70   165 0.69 -
98725at6656_1629725_0:00159a|TRINITY_DN88835_c2_g1_i1:1358-2379|- -            286 53318at6656          -            341    0.0022   14.4   0.5   3   3      0.84   1.2e+02   -1.2   0.0    44    70   212   238   207   250 0.80 -
60299at6656_6832_0:001706|TRINITY_DN79933_c3_g1_i2:456-1331|+     -            292 53318at6656          -            341    0.0058   13.0   0.1   1   2   0.00031     0.045   10.0   0.0    24    56    87   118    81   190 0.78 -
60299at6656_6832_0:001706|TRINITY_DN79933_c3_g1_i2:456-1331|+     -            292 53318at6656          -            341    0.0058   13.0   0.1   2   2      0.14        21    1.3   0.1   137   155   186   204   138   273 0.78 -
66299at6656_126957_0:000caa|TRINITY_DN84438_c8_g2_i3:129-1247|-   -            285 53318at6656          -            341    0.0071   12.7   0.0   1   1   7.9e-05     0.011   12.0   0.0    23    43    82   102    73   113 0.83 -
87139at6656_54969_0:0002fd|TRINITY_DN84626_c11_g4_i9:476-5920|-   -           1815 53318at6656          -            341    0.0077   12.6   0.0   1   2   0.00065     0.094    9.0   0.0    25    46   371   392   354   396 0.75 -
87139at6656_54969_0:0002fd|TRINITY_DN84626_c11_g4_i9:476-5920|-   -           1815 53318at6656          -            341    0.0077   12.6   0.0   2   2      0.26        37    0.5   0.0    23    45   698   720   682   731 0.80 -
66299at6656_13249_0:000736|TRINITY_DN77812_c9_g1_i3:284-1387|+    -            368 53318at6656          -            341    0.0088   12.4   0.1   1   2       1.5   2.2e+02   -2.1   0.1   297   321    14    41     7    59 0.57 -
66299at6656_13249_0:000736|TRINITY_DN77812_c9_g1_i3:284-1387|+    -            368 53318at6656          -            341    0.0088   12.4   0.1   2   2   0.00024     0.035   10.4   0.0    24    48   167   191   158   200 0.81 -
70201at6656_114398_0:00297a|TRINITY_DN70560_c0_g1_i2:707-1375|+   -            223 53318at6656          -            341    0.0095   12.3   0.0   1   2   0.00018     0.026   10.8   0.0    19    53    34    67    26    79 0.77 -
70201at6656_114398_0:00297a|TRINITY_DN70560_c0_g1_i2:707-1375|+   -            223 53318at6656          -            341    0.0095   12.3   0.0   2   2       1.4     2e+02   -2.0   0.1   105   120    94   109    82   113 0.81 -
92184at6656_112268_0:0014e0|TRINITY_DN75119_c15_g3_i1:1979-3874|+ -            632 53318at6656          -            341     0.013   11.8   0.0   1   1   0.00018     0.026   10.8   0.0     9    45    23    59    15    88 0.84 -
70201at6656_294128_0:000f2a|TRINITY_DN83187_c17_g3_i3:364-1929|-  -            437 53318at6656          -            341     0.019   11.3   0.0   1   2    0.0031      0.44    6.8   0.0    25    50   163   188   154   194 0.89 -
70201at6656_294128_0:000f2a|TRINITY_DN83187_c17_g3_i3:364-1929|-  -            437 53318at6656          -            341     0.019   11.3   0.0   2   2     0.085        12    2.0   0.0   101   123   215   236   200   240 0.77 -
60299at6656_32264_0:00096d|TRINITY_DN78492_c12_g1_i2:301-1245|+   -            315 53318at6656          -            341      0.02   11.2   0.0   1   2   0.00036     0.051    9.9   0.0    23    56   104   136    97   143 0.79 -
60299at6656_32264_0:00096d|TRINITY_DN78492_c12_g1_i2:301-1245|+   -            315 53318at6656          -            341      0.02   11.2   0.0   2   2       2.8   4.1e+02   -3.0   0.0   138   154   205   221   188   222 0.72 -
70201at6656_88501_0:00102e|TRINITY_DN71310_c0_g1_i1:1282-2124|+   -            281 53318at6656          -            341     0.023   11.0   0.1   1   2    0.0018      0.26    7.6   0.0    23    48    45    70    32    74 0.84 -
