#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 118807at6656         -            237   1.1e-97  323.7   5.5   1   1   1.1e-98   2.3e-97  322.6   5.5     1   237     9   277     9   277 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 118807at6656         -            237   1.4e-56  189.2   5.7   1   3   1.2e-28   2.5e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 118807at6656         -            237   1.4e-56  189.2   5.7   2   3   9.7e-17   2.1e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 118807at6656         -            237   1.4e-56  189.2   5.7   3   3   1.8e-17   3.8e-16   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 118807at6656         -            237   1.3e-50  169.6   1.5   1   3   1.4e-28   2.9e-27   93.1   0.3     3   138    53   190    51   193 0.90 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 118807at6656         -            237   1.3e-50  169.6   1.5   2   3   2.5e-12   5.2e-11   39.9   0.0    58   121   194   257   183   260 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 118807at6656         -            237   1.3e-50  169.6   1.5   3   3   5.5e-15   1.2e-13   48.6   0.0    16   113   235   341   235   346 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 118807at6656         -            237     4e-42  141.8  19.4   1   3   4.5e-14   9.5e-13   45.6   2.3    32   120     1    86     1    96 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 118807at6656         -            237     4e-42  141.8  19.4   2   3   8.7e-11   1.8e-09   34.9   0.6    59   115    67   121    63   122 0.94 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 118807at6656         -            237     4e-42  141.8  19.4   3   3   3.4e-26   7.2e-25   85.3   2.7     6   157    97   246    92   246 0.92 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 118807at6656         -            237   2.6e-35  119.5   0.2   1   3   1.3e-25   2.8e-24   83.4   0.3     6   172   163   333   158   347 0.90 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 118807at6656         -            237   2.6e-35  119.5   0.2   2   3   1.2e-07   2.5e-06   24.6   0.0    60   127   344   409   327   413 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 118807at6656         -            237   2.6e-35  119.5   0.2   3   3     0.012      0.26    8.2   0.0     8    34   423   449   417   456 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 118807at6656         -            237   2.9e-35  119.3   0.0   1   3   4.3e-17     9e-16   55.5   0.0    42   160     3   124     1   128 0.87 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 118807at6656         -            237   2.9e-35  119.3   0.0   2   3   1.1e-21   2.2e-20   70.6   0.0     4   120    91   208    88   216 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 118807at6656         -            237   2.9e-35  119.3   0.0   3   3      0.75        16    2.3   0.0     2    47   215   261   214   277 0.81 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237   5.8e-35  118.3   0.1   1   4   5.3e-06   0.00011   19.2   0.0    83   122    97   136    85   141 0.70 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237   5.8e-35  118.3   0.1   2   4   1.2e-08   2.5e-07   27.9   0.0    41   140   139   246   137   250 0.89 -
