#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 50947at6656          -            438  6.8e-224  741.1   7.8   1   1  3.7e-225  8.3e-224  740.8   7.8    52   438    39   447    11   447 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 50947at6656          -            438   8.7e-43  144.3   4.8   1   3   3.1e-21   6.9e-20   68.8   0.3   157   277     2   121     1   122 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 50947at6656          -            438   8.7e-43  144.3   4.8   2   3   1.1e-15   2.4e-14   50.6   0.0   154   240    83   168    82   175 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 50947at6656          -            438   8.7e-43  144.3   4.8   3   3   1.9e-12   4.2e-11   39.9   0.2   208   290   178   264   172   272 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 50947at6656          -            438   5.3e-33  112.1   0.0   1   3   9.7e-22   2.2e-20   70.5   0.0   149   315    44   210    26   214 0.88 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 50947at6656          -            438   5.3e-33  112.1   0.0   2   3   2.1e-06   4.6e-05   20.0   0.0   153   210   217   276   211   282 0.85 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 50947at6656          -            438   5.3e-33  112.1   0.0   3   3     7e-06   0.00016   18.2   0.0   260   311   289   340   278   346 0.69 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 50947at6656          -            438   2.5e-32  109.8   3.2   1   2   2.5e-20   5.7e-19   65.8   1.0   158   312     1   154     1   155 0.88 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 50947at6656          -            438   2.5e-32  109.8   3.2   2   2   6.8e-16   1.5e-14   51.2   0.0   156   313    83   239    79   242 0.89 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 50947at6656          -            438   1.6e-30  103.9   9.8   1   3   1.1e-08   2.6e-07   27.4   0.1   195   277     7    86     2    88 0.69 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 50947at6656          -            438   1.6e-30  103.9   9.8   2   3   2.3e-10   5.1e-09   33.0   0.3   153   238    49   129    48   130 0.86 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 50947at6656          -            438   1.6e-30  103.9   9.8   3   3   2.8e-19   6.3e-18   62.4   0.5   159   315    95   245    90   246 0.82 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 50947at6656          -            438   1.1e-27   94.6   0.1   1   2   8.2e-12   1.8e-10   37.8   0.0   157   313     2   168     1   173 0.82 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 50947at6656          -            438   1.1e-27   94.6   0.1   2   2   5.2e-16   1.2e-14   51.6   0.0   151   283   175   302   168   303 0.82 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 50947at6656          -            438     2e-27   93.7   2.5   1   2   4.4e-14   9.7e-13   45.3   0.1   154   240    10    95     2    97 0.90 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 50947at6656          -            438     2e-27   93.7   2.5   2   2   6.6e-16   1.5e-14   51.3   0.7   151   243    91   182    87   196 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 50947at6656          -            438   1.4e-26   90.9   0.0   1   2   3.1e-09     7e-08   29.3   0.0   156   254     3   102     1   106 0.90 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 50947at6656          -            438   1.4e-26   90.9   0.0   2   2   4.1e-21   9.2e-20   68.4   0.0   153   317    85   247    83   256 0.89 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 50947at6656          -            438   1.5e-26   90.8   2.5   1   5   5.5e-10   1.2e-08   31.8   0.1   155   237     3    87     1    92 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 50947at6656          -            438   1.5e-26   90.8   2.5   2   5   8.2e-10   1.8e-08   31.2   0.0   155   234    92   173    87   178 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 50947at6656          -            438   1.5e-26   90.8   2.5   3   5   2.3e-08   5.2e-07   26.4   0.0   156   231   138   214   133   225 0.85 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 50947at6656          -            438   1.5e-26   90.8   2.5   4   5       4.1        92   -0.8   0.0   153   188   236   271   215   279 0.63 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 50947at6656          -            438   1.5e-26   90.8   2.5   5   5   0.00024    0.0055   13.1   0.0   157   189   292   324   275   325 0.91 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 50947at6656          -            438   1.7e-25   87.3   0.0   1   3   1.4e-19   3.2e-18   63.4   0.0   155   414     7   264     2   266 0.81 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 50947at6656          -            438   1.7e-25   87.3   0.0   2   3   4.1e-07   9.1e-06   22.3   0.0   213   316   191   294   186   300 0.90 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 50947at6656          -            438   1.7e-25   87.3   0.0   3   3   0.00036    0.0081   12.6   0.0   366   422   260   314   258   317 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 50947at6656          -            438   6.8e-25   85.3   0.0   1   4    0.0021     0.046   10.1   0.0   187   234    85   133    81   138 0.80 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 50947at6656          -            438   6.8e-25   85.3   0.0   2   4     1e-06   2.3e-05   21.0   0.0   154   239   138   230   134   234 0.87 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 50947at6656          -            438   6.8e-25   85.3   0.0   3   4   0.00016    0.0037   13.7   0.0   157   215   233   288   229   302 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 50947at6656          -            438   6.8e-25   85.3   0.0   4   4   4.4e-11   9.9e-10   35.4   0.0   176   266   334   425   327   429 0.85 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 50947at6656          -            438     6e-24   82.2   0.5   1   4   7.6e-12   1.7e-10   37.9   0.0   197   315   155   274   149   277 0.88 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 50947at6656          -            438     6e-24   82.2   0.5   2   4   1.1e-14   2.5e-13   47.2   0.1   173   320   258   403   253   412 0.85 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 50947at6656          -            438     6e-24   82.2   0.5   3   4    0.0011     0.025   11.0   0.0   387   413   384   410   379   442 0.88 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 50947at6656          -            438     6e-24   82.2   0.5   4   4       7.7   1.7e+02   -1.7   0.0   290   315   423   448   416   452 0.71 -
