#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 79915at6656          -            248  6.5e-106  351.0   8.4   1   1  1.6e-106    4e-105  348.4   8.4     1   248    13   312    13   312 0.88 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 79915at6656          -            248   2.6e-25   87.0   0.3   1   3   2.5e-05   0.00063   17.0   0.1   170   226     5    72     1    72 0.63 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 79915at6656          -            248   2.6e-25   87.0   0.3   2   3   2.3e-07   5.8e-06   23.6   0.0   163   201    82   120    79   124 0.93 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 79915at6656          -            248   2.6e-25   87.0   0.3   3   3   3.4e-10   8.5e-09   32.9   0.0    20   123   130   242   127   244 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 79915at6656          -            248   4.8e-24   82.8   3.0   1   4   5.4e-08   1.4e-06   25.7   0.7   165   232     2    80     1    82 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 79915at6656          -            248   4.8e-24   82.8   3.0   2   4   1.9e-06   4.6e-05   20.7   0.0   162   199    83   120    80   125 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 79915at6656          -            248   4.8e-24   82.8   3.0   3   4   6.7e-07   1.7e-05   22.1   0.0   161   240   124   217   120   225 0.78 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 79915at6656          -            248   4.8e-24   82.8   3.0   4   4    0.0029     0.071   10.2   0.0    68   110   230   277   217   283 0.75 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 79915at6656          -            248   1.4e-21   74.8   5.6   1   6   3.3e-06   8.2e-05   19.9   0.0    21   129    63   183    54   191 0.72 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 79915at6656          -            248   1.4e-21   74.8   5.6   2   6     0.067       1.7    5.7   0.0    59    92   194   229   186   250 0.73 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 79915at6656          -            248   1.4e-21   74.8   5.6   3   6    0.0052      0.13    9.4   0.3   144   200   354   416   309   462 0.77 -
