#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+    -            358 55417at6656          -            496  3.1e-114  379.7  13.7   1   1  5.2e-115  7.2e-113  375.2  13.7   197   495     4   353     2   354 0.86 -
55417at6656_218467_0:002d86|TRINITY_DN82157_c12_g1_i1:406-1500|-  -            365 55417at6656          -            496   3.8e-57  191.4  17.3   1   3     5e-43   6.9e-41  137.8   2.1     1   115    33   174    33   196 0.84 -
55417at6656_218467_0:002d86|TRINITY_DN82157_c12_g1_i1:406-1500|-  -            365 55417at6656          -            496   3.8e-57  191.4  17.3   2   3   6.2e-08   8.5e-06   22.1   0.5   101   138   191   228   183   243 0.79 -
55417at6656_218467_0:002d86|TRINITY_DN82157_c12_g1_i1:406-1500|-  -            365 55417at6656          -            496   3.8e-57  191.4  17.3   3   3   2.1e-13     3e-11   40.1   2.9   130   212   263   355   252   358 0.75 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+   -            135 55417at6656          -            496   2.8e-26   89.6   0.6   1   1   3.2e-27   4.5e-25   85.7   0.5   294   414     8   129     4   132 0.96 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+  -            154 55417at6656          -            496   7.3e-26   88.3   1.4   1   2   3.3e-16   4.6e-14   49.3   0.1   331   416     1    87     1    95 0.81 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+  -            154 55417at6656          -            496   7.3e-26   88.3   1.4   2   2   1.4e-12   1.9e-10   37.4   0.2   292   347    98   153    85   154 0.90 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+   -            459 55417at6656          -            496   6.2e-20   68.7   8.1   1   2   1.7e-10   2.3e-08   30.5   1.0   315   458    85   232    71   239 0.88 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+   -            459 55417at6656          -            496   6.2e-20   68.7   8.1   2   2   4.1e-14   5.7e-12   42.4   1.0   298   461   238   405   233   418 0.90 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 55417at6656          -            496   5.9e-18   62.2   2.5   1   3      0.13        17    1.2   0.1   379   437    10    68     6    74 0.84 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 55417at6656          -            496   5.9e-18   62.2   2.5   2   3   7.2e-19     1e-16   58.1   0.2   305   458    71   228    59   235 0.89 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 55417at6656          -            496   5.9e-18   62.2   2.5   3   3     0.082        11    1.9   0.0   371   406   240   275   233   282 0.89 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+  -            550 55417at6656          -            496   1.5e-13   47.7   9.4   1   3   1.4e-06   0.00019   17.6   0.5   350   453    15   122     2   146 0.79 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+  -            550 55417at6656          -            496   1.5e-13   47.7   9.4   2   3   9.5e-09   1.3e-06   24.7   2.7   293   455   256   421   252   427 0.85 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+  -            550 55417at6656          -            496   1.5e-13   47.7   9.4   3   3    0.0034      0.46    6.4   0.0   296   338   428   470   421   486 0.65 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+  -            329 55417at6656          -            496   1.9e-12   44.0   0.0   1   2   2.4e-06   0.00033   16.8   0.0   312   404    83   176    80   181 0.71 -
