#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109174at6656_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-   -            316 109174at6656         -            256   4.6e-68  226.8   2.1   1   1   5.6e-68   4.2e-66  220.4   2.1     1   248     2   315     2   316 0.82 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   3.4e-08   30.6   1.3   1   4   0.00025     0.018   11.8   0.0   194   238     9    56     6    64 0.81 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   3.4e-08   30.6   1.3   2   4      0.59        44    0.7   0.0    90   110    66    86    55    92 0.75 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   3.4e-08   30.6   1.3   3   4     0.059       4.4    4.0   0.0   210   240   148   178   146   183 0.80 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 109174at6656         -            256   3.4e-08   30.6   1.3   4   4    0.0094      0.69    6.7   0.2    87   156   182   245   172   246 0.58 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 109174at6656         -            256     7e-07   26.3   0.0   1   3    0.0001    0.0077   13.1   0.0    89   110    45    66    32    71 0.84 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 109174at6656         -            256     7e-07   26.3   0.0   2   3    0.0011     0.079    9.7   0.0    87   113   129   155    76   166 0.82 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 109174at6656         -            256     7e-07   26.3   0.0   3   3    0.0012     0.088    9.6   0.0    88   113   130   155   124   212 0.71 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   1.9e-06   24.9   0.2   1   5         1        75   -0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   1.9e-06   24.9   0.2   2   5      0.23        17    2.1   0.0    90   113    62    85    52    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   1.9e-06   24.9   0.2   3   5    0.0012     0.088    9.6   0.0    91   118   105   132    88   144 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   1.9e-06   24.9   0.2   4   5     0.029       2.1    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   1.9e-06   24.9   0.2   5   5       1.2        88   -0.2   0.0    69   116   311   363   308   368 0.80 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 109174at6656         -            256   1.6e-05   21.8   0.0   1   3    0.0037      0.27    8.0   0.0   125   166    11    52     5    65 0.87 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 109174at6656         -            256   1.6e-05   21.8   0.0   2   3     0.064       4.7    3.9   0.0   170   193   114   137    61   140 0.62 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 109174at6656         -            256   1.6e-05   21.8   0.0   3   3     0.024       1.8    5.3   0.0    89   113   161   186   147   195 0.87 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 109174at6656         -            256   1.7e-05   21.7   0.5   1   1   1.4e-06    0.0001   19.2   0.5   122   232    25   151    16   163 0.79 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   1.9e-05   21.6   0.0   1   4       2.1   1.6e+02   -1.1   0.0   209   232    26    49     8    59 0.70 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   1.9e-05   21.6   0.0   2   4       1.1        79   -0.1   0.0   210   233    69    92    65   102 0.86 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   1.9e-05   21.6   0.0   3   4   1.5e-05    0.0011   15.9   0.0   167   236   102   179    91   191 0.74 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   1.9e-05   21.6   0.0   4   4       1.2        86   -0.2   0.0   170   191   232   253   214   262 0.68 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-      -            181 109174at6656         -            256   6.1e-05   20.0   0.1   1   2    0.0016      0.12    9.2   0.0   141   193    16    79     5    98 0.73 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-      -            181 109174at6656         -            256   6.1e-05   20.0   0.1   2   2    0.0025      0.19    8.5   0.0    89   109   101   121    87   128 0.87 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 109174at6656         -            256   7.5e-05   19.6   0.2   1   4    0.0026      0.19    8.5   0.0   171   208    55    93    41   107 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 109174at6656         -            256   7.5e-05   19.6   0.2   2   4       0.2        15    2.3   0.0    72   111   119   161   100   175 0.57 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 109174at6656         -            256   7.5e-05   19.6   0.2   3   4       4.8   3.6e+02   -2.2   0.0    87   109   179   201   175   205 0.71 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 109174at6656         -            256   7.5e-05   19.6   0.2   4   4     0.089       6.6    3.4   0.0   162   191   435   466   387   470 0.76 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 109174at6656         -            256   7.7e-05   19.6   0.1   1   3      0.15        11    2.7   0.0    90   113   153   176    97   186 0.83 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 109174at6656         -            256   7.7e-05   19.6   0.1   2   3   0.00024     0.017   11.9   0.0   148   225   161   253   145   273 0.68 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 109174at6656         -            256   7.7e-05   19.6   0.1   3   3   0.00055     0.041   10.7   0.1    91   122   195   226   184   346 0.53 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 109174at6656         -            256   0.00011   19.2   0.4   1   5       1.4     1e+02   -0.4   0.0    88   113   233   258   230   268 0.85 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 109174at6656         -            256   0.00011   19.2   0.4   2   5       1.3        97   -0.4   0.0    62    81   276   295   250   317 0.77 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 109174at6656         -            256   0.00011   19.2   0.4   3   5     0.024       1.8    5.3   0.0    94   208   367   400   276   418 0.70 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 109174at6656         -            256   0.00011   19.2   0.4   4   5     0.015       1.1    6.0   0.0    13    69   423   479   419   486 0.85 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 109174at6656         -            256   0.00011   19.2   0.4   5   5      0.53        39    0.9   0.0   208   223   488   503   484   504 0.90 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 109174at6656         -            256   0.00025   17.9   0.0   1   3     0.045       3.4    4.4   0.0    28    64    32    71    15    94 0.70 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 109174at6656         -            256   0.00025   17.9   0.0   2   3    0.0024      0.18    8.6   0.0    89   118   126   157   114   163 0.80 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 109174at6656         -            256   0.00025   17.9   0.0   3   3      0.46        34    1.1   0.0    19    44   193   218   186   241 0.88 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 109174at6656         -            256   0.00028   17.8   0.2   1   4     0.042       3.1    4.5   0.0   130   162    40    72     7    92 0.71 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 109174at6656         -            256   0.00028   17.8   0.2   2   4      0.03       2.2    5.0   0.0    89   110    93   114    81   125 0.86 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 109174at6656         -            256   0.00028   17.8   0.2   3   4      0.58        43    0.8   0.0    64    83   138   157   120   162 0.61 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 109174at6656         -            256   0.00028   17.8   0.2   4   4      0.26        19    1.9   0.0    89   110   271   292   225   308 0.85 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 109174at6656         -            256   0.00038   17.4   0.5   1   4       1.4     1e+02   -0.4   0.0    42    83    23    66    15    77 0.80 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 109174at6656         -            256   0.00038   17.4   0.5   2   4    0.0017      0.13    9.0   0.0    25   115   118   208   114   222 0.76 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 109174at6656         -            256   0.00038   17.4   0.5   3   4       2.6   1.9e+02   -1.4   0.0    66   112   228   247   208   261 0.66 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 109174at6656         -            256   0.00038   17.4   0.5   4   4       1.5   1.1e+02   -0.5   0.0    63    88   309   334   304   336 0.89 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 109174at6656         -            256   0.00044   17.1   0.0   1   3     0.024       1.7    5.3   0.0   192   241   153   208   149   216 0.84 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 109174at6656         -            256   0.00044   17.1   0.0   2   3      0.09       6.6    3.4   0.0   191   233   196   243   192   259 0.73 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 109174at6656         -            256   0.00044   17.1   0.0   3   3     0.014         1    6.1   0.0   172   225   261   321   247   351 0.85 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 109174at6656         -            256   0.00046   17.1   0.0   1   5    0.0017      0.12    9.1   0.0    90   116    85   111    78   119 0.90 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 109174at6656         -            256   0.00046   17.1   0.0   2   5       1.2        92   -0.3   0.0    90   114   127   151   115   165 0.79 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 109174at6656         -            256   0.00046   17.1   0.0   3   5       3.9   2.9e+02   -1.9   0.0    96   113   214   231   200   236 0.62 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 109174at6656         -            256   0.00046   17.1   0.0   4   5      0.57        42    0.8   0.0    64    96   309   337   289   346 0.67 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 109174at6656         -            256   0.00046   17.1   0.0   5   5       1.4   1.1e+02   -0.5   0.0   209   233   350   374   347   385 0.78 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-     -            155 109174at6656         -            256   0.00064   16.6   0.0   1   3      0.72        53    0.5   0.0    63   107    11    28     4    45 0.61 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-     -            155 109174at6656         -            256   0.00064   16.6   0.0   2   3     0.018       1.3    5.7   0.0   209   237    57    85    53    97 0.88 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-     -            155 109174at6656         -            256   0.00064   16.6   0.0   3   3    0.0074      0.55    7.0   0.0    90   115    98   123    88   154 0.90 -
118807at6656_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-   -            196 109174at6656         -            256   0.00088   16.1   0.2   1   2   0.00062     0.046   10.5   0.1    90   193     2   114     1   135 0.68 -
118807at6656_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-   -            196 109174at6656         -            256   0.00088   16.1   0.2   2   2      0.15        11    2.7   0.0   139   160   138   159   128   174 0.71 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 109174at6656         -            256   0.00091   16.1   0.3   1   3       2.4   1.7e+02   -1.2   0.0   192   208   186   202   176   207 0.84 -
