#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 87527at6656          -            232   1.3e-97  323.4   4.1   1   1   1.6e-99   1.6e-97  323.1   4.1     3   228     4   250     1   253 0.93 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 87527at6656          -            232   4.4e-52  174.4  34.8   1   4   3.4e-20   3.3e-18   63.6   3.5    47   182   179   318   163   320 0.89 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 87527at6656          -            232   4.4e-52  174.4  34.8   2   4   1.6e-11   1.5e-09   35.2   1.1    47   158   317   432   303   438 0.85 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 87527at6656          -            232   4.4e-52  174.4  34.8   3   4   1.5e-18   1.5e-16   58.2   5.3    46   162   434   552   416   553 0.90 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 87527at6656          -            232   4.4e-52  174.4  34.8   4   4     6e-19   5.8e-17   59.5   2.3    47   161   504   621   503   637 0.95 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 87527at6656          -            232     7e-38  127.9  26.8   1   4     2e-15   1.9e-13   48.0   2.5    45   138    36   132     2   132 0.80 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 87527at6656          -            232     7e-38  127.9  26.8   2   4   2.4e-15   2.3e-13   47.7   5.1    48   171    62   192    60   196 0.85 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 87527at6656          -            232     7e-38  127.9  26.8   3   4   1.6e-07   1.6e-05   22.0   0.1    86   138   200   251   176   255 0.81 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 87527at6656          -            232     7e-38  127.9  26.8   4   4     1e-14     1e-12   45.6   0.6    51   140   255   347   250   351 0.94 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 87527at6656          -            232     7e-25   85.4   5.0   1   2   1.2e-14   1.2e-12   45.3   1.9    50   163     3   118     1   119 0.93 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 87527at6656          -            232     7e-25   85.4   5.0   2   2     8e-14   7.9e-12   42.7   0.1    47   129   115   198   113   199 0.96 -
87527at6656_34740_0:003847|TRINITY_DN91669_c1_g1_i4:830-1363|+      -            178 87527at6656          -            232   2.1e-24   83.8  11.9   1   2   6.9e-12   6.8e-10   36.4   2.9    70   142     3    74     1    78 0.81 -
87527at6656_34740_0:003847|TRINITY_DN91669_c1_g1_i4:830-1363|+      -            178 87527at6656          -            232   2.1e-24   83.8  11.9   2   2   3.8e-17   3.7e-15   53.6   3.7    47   146    72   172    67   177 0.92 -
87527at6656_35525_0:001861|TRINITY_DN75758_c13_g1_i1:587-1147|+     -            187 87527at6656          -            232   6.5e-24   82.2  10.3   1   1   1.1e-25   1.1e-23   81.5  10.3    26   200     2   183     1   186 0.91 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 87527at6656          -            232   4.9e-21   72.8  32.6   1   4   5.3e-06   0.00052   17.1   3.4    70   146     1    76     1    84 0.76 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 87527at6656          -            232   4.9e-21   72.8  32.6   2   4   3.6e-08   3.6e-06   24.2   7.1    45   160    68   189    67   191 0.82 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 87527at6656          -            232   4.9e-21   72.8  32.6   3   4   1.6e-11   1.5e-09   35.2   4.6    47   137   190   284   187   306 0.82 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 87527at6656          -            232   4.9e-21   72.8  32.6   4   4   0.00017     0.016   12.2   0.8    38    85   313   361   291   364 0.69 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 87527at6656          -            232   1.6e-20   71.2  10.4   1   1   3.6e-20   3.6e-18   63.5   6.5    47   162    77   193    75   205 0.94 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 87527at6656          -            232   1.7e-20   71.1  19.9   1   4   1.2e-11   1.2e-09   35.5   5.2    38   172   609   744   602   747 0.83 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 87527at6656          -            232   1.7e-20   71.1  19.9   2   4   1.2e-06   0.00012   19.2   0.1    50   108   802   863   800   871 0.88 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 87527at6656          -            232   1.7e-20   71.1  19.9   3   4      0.66        64    0.4   0.1   118   135   937   954   930   973 0.58 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 87527at6656          -            232   1.7e-20   71.1  19.9   4   4   1.2e-06   0.00012   19.2   0.7    50   111   988  1052   980  1063 0.79 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 87527at6656          -            232   2.6e-20   70.5  30.4   1   3   5.2e-08   5.1e-06   23.7   4.2    31   132     3   107     1   110 0.80 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 87527at6656          -            232   2.6e-20   70.5  30.4   2   3   1.6e-10   1.6e-08   31.9   6.7    49   154    45   159    43   160 0.85 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 87527at6656          -            232   2.6e-20   70.5  30.4   3   3   3.1e-13     3e-11   40.8   3.7    45   157   116   234   109   237 0.87 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 87527at6656          -            232   1.8e-19   67.7   2.2   1   2   1.8e-19   1.8e-17   61.2   1.2    55   187     3   139     1   143 0.88 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 87527at6656          -            232   1.8e-19   67.7   2.2   2   2   0.00017     0.017   12.2   0.0    48    86   111   149   109   161 0.88 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 87527at6656          -            232   2.1e-18   64.2  15.3   1   3   2.1e-09     2e-07   28.3   2.8    72   175    31   138    17   140 0.52 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 87527at6656          -            232   2.1e-18   64.2  15.3   2   3   2.3e-12   2.3e-10   37.9   3.3    42   172   141   280   136   314 0.82 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 87527at6656          -            232   2.1e-18   64.2  15.3   3   3     0.068       6.7    3.6   0.0    86   109   312   335   296   356 0.80 -
132857at6656_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 87527at6656          -            232   3.1e-18   63.6   9.9   1   2   9.5e-12   9.3e-10   35.9   0.8    63   121     1    61     1    62 0.90 -
132857at6656_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 87527at6656          -            232   3.1e-18   63.6   9.9   2   2   2.2e-11   2.2e-09   34.7   2.8    47   107    55   117    53   123 0.90 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 87527at6656          -            232   1.4e-17   61.5   3.4   1   2      0.47        46    0.9   0.1    99   143     1    47     1    49 0.63 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 87527at6656          -            232   1.4e-17   61.5   3.4   2   2   2.8e-19   2.7e-17   60.6   2.6    47   154    44   154    30   157 0.90 -
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 87527at6656          -            232   2.3e-17   60.8   6.8   1   3     1e-06    0.0001   19.4   0.2    91   138    36    82    13    85 0.51 -
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 87527at6656          -            232   2.3e-17   60.8   6.8   2   3   2.1e-11     2e-09   34.8   0.2    48   109    83   146    80   155 0.92 -
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 87527at6656          -            232   2.3e-17   60.8   6.8   3   3    0.0031       0.3    8.0   0.2    54    92   158   195   151   230 0.73 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 87527at6656          -            232   3.1e-17   60.4  20.4   1   4   0.00025     0.025   11.6   0.2    94   157     6    74     3    74 0.70 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 87527at6656          -            232   3.1e-17   60.4  20.4   2   4   6.9e-10   6.8e-08   29.8   3.8    47   156    54   172    39   175 0.73 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 87527at6656          -            232   3.1e-17   60.4  20.4   3   4   1.3e-07   1.3e-05   22.3   0.3    45   153   126   241   123   242 0.75 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 87527at6656          -            232   3.1e-17   60.4  20.4   4   4   1.9e-09   1.8e-07   28.4   0.3    39   130   186   288   183   289 0.82 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 87527at6656          -            232   1.2e-16   58.4   7.2   1   2   4.7e-06   0.00046   17.3   0.5    47    87    15    55     3    56 0.90 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 87527at6656          -            232   1.2e-16   58.4   7.2   2   2   2.1e-16     2e-14   51.2   1.3    49   174    40   168    38   169 0.89 -
132857at6656_72036_0:00037d|TRINITY_DN85551_c9_g1_i1:724-1248|-     -            175 87527at6656          -            232   2.1e-14   51.1   7.9   1   1   3.1e-16     3e-14   50.6   7.9    36   173    29   170    17   174 0.86 -
87527at6656_121845_0:0018b4|TRINITY_DN75940_c8_g5_i1:0-344|-        -            115 87527at6656          -            232   5.1e-13   46.6   6.5   1   2   1.3e-09   1.3e-07   28.9   0.8   100   173     1    73     1    84 0.71 -
87527at6656_121845_0:0018b4|TRINITY_DN75940_c8_g5_i1:0-344|-        -            115 87527at6656          -            232   5.1e-13   46.6   6.5   2   2   5.7e-09   5.6e-07   26.8   0.5    46   115    37   107    35   115 0.89 -
87575at6656_294128_0:00319d|TRINITY_DN83605_c10_g1_i6:2079-2984|-   -            302 87527at6656          -            232   7.2e-12   42.8  30.5   1   2   3.8e-12   3.7e-10   37.2  20.9    15   176    21   186    15   190 0.87 -
87575at6656_294128_0:00319d|TRINITY_DN83605_c10_g1_i6:2079-2984|-   -            302 87527at6656          -            232   7.2e-12   42.8  30.5   2   2   0.00059     0.058   10.4   1.8    47   132   191   277   189   290 0.81 -
132857at6656_378494_0:004f86|TRINITY_DN91669_c1_g1_i4:2064-2432|+   -            123 87527at6656          -            232   1.3e-11   42.0   0.8   1   1   2.5e-13   2.4e-11   41.1   0.8    82   182    13   118     3   123 0.44 -
87527at6656_6669_0:004541|TRINITY_DN71258_c0_g1_i1:522-1139|+       -            206 87527at6656          -            232   1.4e-10   38.6  10.2   1   3   4.9e-05    0.0048   13.9   0.4    99   155    17    73     2    83 0.69 -
87527at6656_6669_0:004541|TRINITY_DN71258_c0_g1_i1:522-1139|+       -            206 87527at6656          -            232   1.4e-10   38.6  10.2   2   3   6.1e-06    0.0006   16.9   0.5    96   140    94   138    86   153 0.77 -
87527at6656_6669_0:004541|TRINITY_DN71258_c0_g1_i1:522-1139|+       -            206 87527at6656          -            232   1.4e-10   38.6  10.2   3   3   5.7e-05    0.0055   13.7   0.9    42    84   160   201   131   204 0.35 -
132857at6656_88501_0:0018fa|TRINITY_DN84755_c16_g1_i1:358-876|+     -            173 87527at6656          -            232   2.4e-09   34.5   1.0   1   2   1.1e-08   1.1e-06   25.8   0.1    83   155     8    81     1    87 0.67 -
132857at6656_88501_0:0018fa|TRINITY_DN84755_c16_g1_i1:358-876|+     -            173 87527at6656          -            232   2.4e-09   34.5   1.0   2   2    0.0041       0.4    7.6   0.1    29   131    88   171    73   173 0.50 -
132857at6656_378494_0:004f86|TRINITY_DN92851_c12_g1_i1:541-897|+    -            119 87527at6656          -            232   4.8e-09   33.6   1.7   1   1   5.5e-11   5.4e-09   33.4   1.7    54   155     2   107     1   116 0.86 -
87527at6656_1155016_0:000bd3|TRINITY_DN72727_c13_g1_i14:1266-1628|+ -            121 87527at6656          -            232   7.3e-09   33.0   1.5   1   1   1.2e-10   1.2e-08   32.3   1.1    52   137     2    90     1    97 0.83 -
87527at6656_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+       -            171 87527at6656          -            232   3.8e-08   30.6   7.9   1   2   1.4e-07   1.3e-05   22.3   1.1    75   157     4    88     1    92 0.66 -
87527at6656_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+       -            171 87527at6656          -            232   3.8e-08   30.6   7.9   2   2   2.5e-06   0.00025   18.2   2.6    48   146    69   164    64   170 0.90 -
87527at6656_121845_0:002a7b|TRINITY_DN78702_c6_g4_i1:18-188|-       -             57 87527at6656          -            232   1.7e-07   28.5   0.1   1   1   1.7e-09   1.7e-07   28.5   0.1    87   139     4    55     1    57 0.80 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 87527at6656          -            232   8.5e-07   26.2   7.4   1   3       3.8   3.7e+02   -2.1   0.0    29    54    49    74    32    79 0.62 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 87527at6656          -            232   8.5e-07   26.2   7.4   2   3   5.2e-06   0.00051   17.1   0.7    53   108    93   149    88   170 0.88 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 87527at6656          -            232   8.5e-07   26.2   7.4   3   3   0.00015     0.014   12.4   0.6    40    86   171   219   157   223 0.83 -
123853at6656_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 87527at6656          -            232   0.00034   17.7   1.7   1   1   5.4e-06   0.00053   17.1   1.7    15   109    44   154    33   168 0.73 -
60762at6656_121845_0:0034c8|TRINITY_DN78802_c0_g5_i2:1314-2807|+    -            498 87527at6656          -            232   0.00041   17.4   0.4   1   1   7.2e-06   0.00071   16.7   0.4    32   107   402   482   376   497 0.77 -
113668at6656_136037_0:00184c|TRINITY_DN71058_c0_g2_i1:401-1429|+    -            343 87527at6656          -            232   0.00065   16.8   1.3   1   1     1e-05     0.001   16.1   1.3    98   176   247   326   174   334 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/87527at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/87527at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/87527at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
