#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 107802at6656         -            224   8.2e-96  317.4   0.6   1   1   7.3e-97     2e-95  316.1   0.6     1   224    36   304    36   304 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 107802at6656         -            224   7.9e-30  101.6   0.2   1   6   0.00031    0.0083   13.2   0.0   182   218     2    38     1    44 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 107802at6656         -            224   7.9e-30  101.6   0.2   2   6    0.0016     0.043   10.8   0.0   180   218    42    80    36    83 0.71 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 107802at6656         -            224   7.9e-30  101.6   0.2   3   6   2.9e-09     8e-08   29.6   0.0   153   219    57   123    56   128 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 107802at6656         -            224   7.9e-30  101.6   0.2   4   6   7.2e-08   1.9e-06   25.0   0.0   173   219   119   165   117   171 0.93 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 107802at6656         -            224   7.9e-30  101.6   0.2   5   6    0.0012     0.031   11.3   0.0   186   219   175   208   168   214 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 107802at6656         -            224   7.9e-30  101.6   0.2   6   6   4.5e-05    0.0012   15.9   0.0   156   204   232   280   222   289 0.89 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 107802at6656         -            224   8.9e-29   98.1   0.5   1   5     0.059       1.6    5.7   0.0   183   215     1    33     1    40 0.69 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 107802at6656         -            224   8.9e-29   98.1   0.5   2   5     2e-08   5.4e-07   26.9   0.0   155   216    15    76    10    80 0.92 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 107802at6656         -            224   8.9e-29   98.1   0.5   3   5   2.6e-06   7.1e-05   19.9   0.0   179   215    81   117    75   123 0.89 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 107802at6656         -            224   8.9e-29   98.1   0.5   4   5   1.5e-05    0.0004   17.5   0.1   182   216   126   160   115   167 0.86 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 107802at6656         -            224   8.9e-29   98.1   0.5   5   5   8.9e-09   2.4e-07   28.0   0.0   152   212   180   240   167   243 0.90 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 107802at6656         -            224   1.2e-24   84.6   0.0   1   6      0.36       9.7    3.1   0.0   185   214   211   240   203   244 0.86 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 107802at6656         -            224   1.2e-24   84.6   0.0   2   6     5e-05    0.0014   15.7   0.0   175   223   304   352   300   353 0.90 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 107802at6656         -            224   1.2e-24   84.6   0.0   3   6   1.8e-05   0.00049   17.2   0.0   173   215   344   386   342   390 0.92 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 107802at6656         -            224   1.2e-24   84.6   0.0   4   6   2.9e-07     8e-06   23.0   0.0   178   218   391   431   386   436 0.91 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 107802at6656         -            224   1.2e-24   84.6   0.0   5   6   3.4e-06   9.1e-05   19.6   0.0   182   218   437   473   428   477 0.88 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 107802at6656         -            224   1.2e-24   84.6   0.0   6   6       1.4        39    1.2   0.0   182   210   493   521   482   521 0.86 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 107802at6656         -            224   1.9e-24   84.0   0.1   1   6   7.7e-07   2.1e-05   21.7   0.0   177   214    94   131    56   136 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 107802at6656         -            224   1.9e-24   84.0   0.1   2   6    0.0012     0.032   11.2   0.0   175   221   134   180   130   182 0.88 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 107802at6656         -            224   1.9e-24   84.0   0.1   3   6     0.028      0.75    6.8   0.0   164   215   217   265   199   269 0.74 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 107802at6656         -            224   1.9e-24   84.0   0.1   4   6      0.36       9.7    3.1   0.0    14    45   269   300   263   312 0.86 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 107802at6656         -            224   1.9e-24   84.0   0.1   5   6   2.2e-07   6.1e-06   23.4   0.0   158   218   334   395   318   400 0.88 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 107802at6656         -            224   1.9e-24   84.0   0.1   6   6    0.0015      0.04   10.9   0.0   175   210   394   429   392   429 0.92 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 107802at6656         -            224     2e-21   74.0   0.0   1   5   5.7e-08   1.6e-06   25.4   0.0   153   218    18    83     4    88 0.91 -
