#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
81292at6656_407821_0:004d4f|TRINITY_DN81046_c10_g2_i1:65-475|+   -            137 81292at6656          -            249   3.5e-63  210.8   0.7   1   1   3.4e-65   4.5e-63  210.4   0.7     1   122     1   137     1   137 0.94 -
81292at6656_108931_0:0028ae|TRINITY_DN81417_c5_g3_i5:532-990|+   -            153 81292at6656          -            249   1.8e-45  152.8   0.2   1   1   1.6e-47   2.2e-45  152.5   0.2   124   249    10   152     4   152 0.86 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-  -            278 81292at6656          -            249   1.2e-20   71.5   1.0   1   4   2.4e-06   0.00032   17.7   0.1    26    64    12    62     1    78 0.78 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-  -            278 81292at6656          -            249   1.2e-20   71.5   1.0   2   4   1.4e-07   1.8e-05   21.7   0.0   129   203    49   129    37   145 0.78 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-  -            278 81292at6656          -            249   1.2e-20   71.5   1.0   3   4   7.1e-07   9.4e-05   19.4   0.0   135   202   147   220   130   225 0.75 -
81292at6656_13037_0:00399f|TRINITY_DN83986_c5_g1_i1:1572-2405|-  -            278 81292at6656          -            249   1.2e-20   71.5   1.0   4   4   1.5e-05     0.002   15.0   0.1    40    65   224   247   220   274 0.88 -
81292at6656_7038_0:001f42|TRINITY_DN78428_c7_g3_i2:2834-3628|-   -            265 81292at6656          -            249   4.2e-17   59.9   0.2   1   2   5.3e-15     7e-13   46.0   0.0    27   213     1   215     1   223 0.81 -
81292at6656_7038_0:001f42|TRINITY_DN78428_c7_g3_i2:2834-3628|-   -            265 81292at6656          -            249   4.2e-17   59.9   0.2   2   2     7e-05    0.0093   12.8   0.2   121   165   218   263   211   265 0.83 -
81292at6656_32264_0:0012da|TRINITY_DN74614_c4_g1_i5:574-1425|-   -            284 81292at6656          -            249     6e-14   49.5   6.2   1   4   0.00072     0.095    9.5   0.0   173   202     6    35     3    43 0.89 -
81292at6656_32264_0:0012da|TRINITY_DN74614_c4_g1_i5:574-1425|-   -            284 81292at6656          -            249     6e-14   49.5   6.2   2   4   9.9e-05     0.013   12.4   0.2    23   122    15   131    13   133 0.79 -
81292at6656_32264_0:0012da|TRINITY_DN74614_c4_g1_i5:574-1425|-   -            284 81292at6656          -            249     6e-14   49.5   6.2   3   4   0.00011     0.015   12.2   0.0    43    64   135   158   132   163 0.87 -
