#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 96592at6656          -            260  6.3e-119  393.7   4.3   1   1  3.4e-117  1.2e-115  382.9   4.3     1   260     1   321     1   321 0.87 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260     2e-25   87.3   3.8   1   4   5.8e-13   2.1e-11   41.3   0.3     3    91     9   102     7   120 0.75 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260     2e-25   87.3   3.8   2   4    0.0037      0.13    9.2   0.0     3    42   138   177   136   205 0.79 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260     2e-25   87.3   3.8   3   4       2.1        75    0.2   0.0   227   245   226   244   221   256 0.82 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 96592at6656          -            260     2e-25   87.3   3.8   4   4   2.3e-10   8.3e-09   32.8   0.1   215   251   256   292   244   301 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   5.3e-22   76.0   4.2   1   5   5.3e-06   0.00019   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   5.3e-22   76.0   4.2   2   5   1.1e-09   3.9e-08   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   5.3e-22   76.0   4.2   3   5   0.00026    0.0095   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   5.3e-22   76.0   4.2   4   5   4.9e-05    0.0018   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   5.3e-22   76.0   4.2   5   5      0.86        31    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 96592at6656          -            260   1.3e-16   58.4   9.8   1   3     0.035       1.3    6.0   0.2    33    67     1    36     1    37 0.80 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 96592at6656          -            260   1.3e-16   58.4   9.8   2   3   2.3e-07   8.2e-06   23.0   0.1    17    76    25    88    21    92 0.86 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 96592at6656          -            260   1.3e-16   58.4   9.8   3   3   4.8e-11   1.8e-09   35.0   1.3     2   161    92   246    91   246 0.85 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   1.8e-16   57.9   1.7   1   5       0.1       3.7    4.5   0.0     2    34     1    33     1    39 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   1.8e-16   57.9   1.7   2   5     0.032       1.2    6.1   0.0   227   254    63    90    59    95 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   1.8e-16   57.9   1.7   3   5   8.7e-06   0.00031   17.8   0.1     4    63    99   156    96   180 0.81 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   1.8e-16   57.9   1.7   4   5   0.00039     0.014   12.4   0.0     2    75   180   255   179   262 0.74 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   1.8e-16   57.9   1.7   5   5   0.00038     0.014   12.4   0.0   220   251   260   291   256   302 0.88 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   1.9e-16   57.9   1.0   1   4    0.0023     0.082    9.9   0.0   220   258    12    50     8    52 0.89 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   1.9e-16   57.9   1.0   2   4    0.0022     0.078    9.9   0.0     2    33    54    85    53    95 0.87 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   1.9e-16   57.9   1.0   3   4   9.5e-08   3.4e-06   24.2   0.0     2    52    96   146    94   151 0.93 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   1.9e-16   57.9   1.0   4   4   0.00023    0.0083   13.1   0.0     4    55   140   191   140   206 0.91 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   9.8e-16   55.5   0.7   1   6   0.00064     0.023   11.7   0.0     4    53     1    50     1    54 0.94 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   9.8e-16   55.5   0.7   2   6     0.026      0.92    6.4   0.0     4    35    43    74    40    89 0.80 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   9.8e-16   55.5   0.7   3   6   0.00041     0.015   12.3   0.0   220   259    83   122    76   123 0.88 -
