89757	2+180	0	11444	1	154415at6656_69820_0:002e55|TRINITY_DN79275_c22_g1_i1|+|88|4.688e-19|1|2|181|2[2]:181[181]:180[180]
148721	456-348	0	71201	-1	115208at6656_35525_0:0055a7|TRINITY_DN90197_c2_g3_i2|-|90|1.172e-19|1|109|456|456[456]:109[109]:348[348]
220162	587+1974	0	144126	1	40691at6656_39758_0:0020db|TRINITY_DN90721_c6_g1_i4|+|400|5.618e-113|1|587|2560|587[587]:2560[2560]:1974[1974]
220166	1628-660	0	11931	-1	28325at6656_7004_0:001d80|TRINITY_DN88980_c8_g1_i3|-|120|1.091e-28|1|969|1628|1628[1628]:969[969]:660[660]
183599	1530+315	0	62551	1	135391at6656_454923_0:00192c|TRINITY_DN93788_c3_g1_i3|+|50|1.289e-07|1|1530|1844|1530[1530]:1844[1844]:315[315]
183665	1447-960	0	103749	-1	104198at6656_218467_0:0009b5|TRINITY_DN92304_c10_g1_i4|-|373|7.541e-105|1|488|1447|1447[1447]:488[488]:960[960]
183668	4+1518	0	41254	1	66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1|+|474|2.974e-135|1|4|1521|4[4]:1521[1521]:1518[1518]
36792	2401-1264	0	108178	-1	96601at6656_294128_0:0032e5|TRINITY_DN93531_c8_g1_i6|-|566|6.006e-163|2|1138|2401|2401[2401]:1589[1589]:813[813]|1317[1314]:1138[1138]:180[177]
36799	1930+381	0	52652	1	123631at6656_438503_0:001c72|TRINITY_DN90577_c10_g1_i1|+|66|1.966e-12|1|1930|2310|1930[1930]:2310[2310]:381[381]
202042	594-435	0	5232	-1	11384at6656_113334_0:00157d|TRINITY_DN93564_c13_g1_i3|-|83|1.5e-17|1|160|594|594[594]:160[160]:435[435]
202049	933-723	0	71652	-1	128030at6656_1041015_0:003175|TRINITY_DN93726_c3_g2_i3|-|171|4.847e-44|1|211|933|933[933]:211[211]:723[723]
183423	4578-894	0	102434	-1	6453at6656_123851_0:00087c|TRINITY_DN92374_c3_g1_i9|-|62|3.146e-11|1|3685|4578|4578[4578]:3685[3685]:894[894]
183425	4611+492	0	29107	1	123631at6656_418985_0:003021|TRINITY_DN87402_c9_g1_i3|+|77|9.6e-16|1|4611|5102|4611[4611]:5102[5102]:492[492]
531981	2123+873	0	105981	1	22358at6656_114398_0:002012|TRINITY_DN92981_c4_g1_i7|+|156|1.588e-39|1|2123|2995|2123[2123]:2995[2995]:873[873]
531985	531+1824	0	148449	1	26653at6656_294128_0:00281c|TRINITY_DN88193_c12_g1_i1|+|1044|7.696e-307|1|531|2354|531[531]:2354[2354]:1824[1824]
531988	2473-492	0	149466	-1	62580at6656_39758_0:0018c7|TRINITY_DN89840_c11_g2_i1|-|42|3.299e-05|1|1982|2473|2473[2473]:1982[1982]:492[492]
531989	2071-951	0	137741	-1	132340at6656_54969_0:0029cc|TRINITY_DN82559_c14_g1_i4|-|271|3.824e-74|1|1121|2071|2071[2071]:1121[1121]:951[951]
550283	95+1389	0	77225	1	149973at6656_7004_0:004abf|TRINITY_DN92918_c0_g2_i1|+|225|2.691e-60|1|95|1483|95[95]:1483[1483]:1389[1389]
